A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,0.719589912472648,1.7072552004058843,2.93546405228758,4.468847390123452,0.7587518845494188,12.016847061023757,2.4168068400647025,0.6078616776982307,0.634301311163273
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,0.7164917186932872,1.7005602822162276,2.9354705882352903,4.441107799999999,0.7124085552935159,12.102897447884253,2.428759311584888,0.6101281269066503,0.6685770649257621
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,0.7175328607078063,1.6931052358735095,2.92947058823529,4.4140721,0.6687383058765289,12.09885081085151,2.4285615664358575,0.612369871402327,0.6701293841664866
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,0.7269111860360342,1.6960324791588215,2.95832679738562,4.495889975308622,0.7146748483091945,12.094744577538435,2.444104572884682,0.60516406670253,0.7734799329059447
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,0.7293718162952249,1.6869474067997439,2.94899346405229,4.462589812345674,0.6607584688199926,12.081511755892134,2.440262301469313,0.6078616776982309,0.7623214644008521
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,0.7329544288568053,1.6839404822986146,2.93664705882353,4.444261200000001,0.6452996054097924,12.051692844908498,2.425538973730245,0.6093845216331506,0.7084096365249587
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,0.762652507621951,1.696713208259742,3.00922222222222,4.691084104938261,0.8281680235148705,11.434068861560984,2.440310973512212,0.5891980360065475,0.9365175639958793
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,0.7718339753801611,1.6882987220447283,2.9907647058823503,4.6620084,0.7880015884091324,11.338185390857157,2.4173611855748263,0.5913660555884093,0.8550700899224718
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,0.7670434253845442,1.682641107561232,2.9932156862745103,4.6356777777777625,0.7291473603061892,11.447712438845429,2.433329692190109,0.5933544303797481,0.9059348160618671
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,0.8517042101905751,1.4807934204160618,2.7845,3.9593506400000003,-1.5767657829789308,9.907568564079092,2.301627564316739,0.6534239414532148,0.526300209451371
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,0.8549785098227118,1.4745336812602687,2.7779,3.9385713200000003,-1.6836574464421419,9.919361620072177,2.298664984121678,0.6554368486596316,0.5145129832348189
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,0.8552390667520411,1.472187288381542,2.7712000000000003,3.92246774,-1.7130238882754558,9.911105491904255,2.293874168199298,0.6571165724799579,0.49677960621275463
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,0.8682961034787502,1.4569065025009618,2.7592999999999996,3.887295499999999,-1.9655446689911358,10.017739585546572,2.2884735849056606,0.6602403274792025,0.4747069681270113
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,0.8690548763791575,1.4549480169426263,2.7531,3.87509924,-2.005961218732154,9.947932198161272,2.2816497487437184,0.661638216223369,0.4554205166146608
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,0.8698840538796581,1.4507462686567163,2.7464,3.8545612799999995,-2.0705019507927753,9.977401532278789,2.279290232246164,0.6637461834594451,0.4439478504354361
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,0.8898414904905723,1.4067618044248635,2.6939,3.6954620800000013,-3.0014757095029947,9.936065951032054,2.2529546857957885,0.6808278867102396,0.3522058610775527
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,0.8941982063882062,1.4013781223083548,2.6853,3.67672659,-3.1199344318198854,9.911600793671253,2.2454147998993204,0.6829201666325206,0.3309684672680024
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,0.893608766313716,1.3995591336016866,2.6786,3.66126873,-3.156076535877124,9.880639080557073,2.2401922999496726,0.6847907964116963,0.31620795961459874
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,0.9477501220606676,1.6198137847159877,3.11626797385621,5.146423975308621,0.5050680127268211,9.914117205572763,2.3891581208989123,0.5538802387839266,1.213265902382309
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,0.9508136923353041,1.6110314901070941,3.1093790849673297,5.112734064197552,0.36094526101617624,9.916154249015063,2.3889807340603717,0.556001729783158,1.2028729364772677
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,0.9484304882426815,1.6073741903338297,3.10304575163399,5.083504938271593,0.2919837302876348,9.935415825538598,2.3896906318082882,0.5579665220086801,1.1960344972904748
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,0.9469068303571424,1.6098677011837241,3.1158692810457502,5.114760671604928,0.34718614897041916,9.825520225414287,2.3968894691958207,0.5561047948591208,1.2621809437083034
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,0.9525130449579075,1.6013071895424817,3.10486928104575,5.080799549382706,0.21954735416839935,9.80101150418963,2.3894369685963004,0.5582780224551833,1.2134371712957677
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,0.9560990617151027,1.5945307693834256,3.09708496732027,5.05271253086422,0.10192282102000276,9.813436795075432,2.3862892345662425,0.5600497822028611,1.1857680984015186
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,0.9525101897999252,1.5990635756728058,3.10828758169935,5.079883456790117,0.16573838989854336,9.8025985706434,2.39497408992237,0.558312655086849,1.244784706448469
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,0.9646369557562063,1.5923844636715905,3.08816339869281,5.051076916049373,0.1236575314302149,9.729966749416977,2.3696142640437294,0.560154353644116,1.104230079997067
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,0.9641897371979792,1.585094053668539,3.08294117647059,5.017862,-0.016673336431026257,9.71572443741006,2.3722031184601136,0.562429696287964,1.1113858139119777
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,0.7897354520228508,1.4185310010006216,2.6808111150505303,3.4703586550107386,-0.9599376866187123,15.160084656146468,2.405231876309777,0.7056633232176793,0.5608377094547418
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,0.7834705118983648,1.4124056616209535,2.68207364512042,3.4426240970604534,-0.9772384865319824,15.285549488263328,2.421422654576862,0.7092116708283429,0.6080495469519509
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,0.7807753968950808,1.408185887142303,2.67544096514556,3.416773683711755,-0.980172781113038,15.428241070239464,2.4227922276482854,0.7125635512804329,0.6067873352375784
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,0.7886210184505068,1.46813627969238,2.7421320007289802,3.6862258922242024,-0.6985552614182823,14.283768416713098,2.410980151777272,0.6801239164145074,0.6110310676496414
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,0.799226201440369,1.4563887159378162,2.72269089389181,3.651300646101719,-0.8302181311868326,14.16859750318514,2.3898329018557862,0.68402533646069,0.5520703034648796
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,0.7908406504408854,1.4531961784547556,2.72051836597616,3.6212124244176787,-0.8273345187907063,14.311486728839498,2.401362601447755,0.6876471744152151,0.5767920213502657
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,0.8043224603600833,1.4369744180122304,2.72672355813221,3.615637279481358,-1.0009717606638266,14.29246991828886,2.4121708495100833,0.6877914032809088,0.6301503445850395
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,0.8048799434614331,1.4306083586510072,2.71635086936838,3.585456031860981,-1.055273571825467,14.32466073810501,2.40748732752803,0.6913804476054274,0.611661565612137
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,0.8061850053147698,1.4231289612296076,2.7057198249862804,3.553518969489269,-1.1154559576165903,14.387494724041803,2.403321922166158,0.6951913213891346,0.5950244903293248
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,0.6579959164396003,1.6892932794145963,2.8548496732026143,4.110115086419752,0.47643443857448653,12.574251102744208,2.436824141130851,0.6412083214591053,0.4808392236594424
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,0.6572833755676656,1.6855123249400912,2.850516339869281,4.09136788271605,0.45217972074346263,12.608913728375526,2.437327372493699,0.642994927484461,0.47988656727303636
