A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,4.291619634567897,0.3611438963536243,1.4632111111111101,16.05631885653961,2.25395294117647,2.152371274387713,1.29035294117647
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,4.265989200000001,0.35398682841043927,1.4578,15.747724224942106,2.26027058823529,2.1518058103340945,1.29647058823529
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,4.2417175,0.35128047260545614,1.4523000000000001,15.497921050921406,2.26097058823529,2.1518509590461377,1.29647058823529
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,4.340549264197511,0.35702692465904706,1.47944444444444,16.456681588141286,2.28018235294118,2.1518633788360875,1.30588235294118
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,4.310702923456786,0.3548198854200575,1.47291111111111,16.155114391598982,2.27908235294118,2.1517791632485643,1.30388235294118
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,4.2920355,0.35715273685342475,1.4687999999999999,16.017001199316155,2.27014705882353,2.1512060030785016,1.29564705882353
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,4.5782946604938175,0.3897721767594098,1.5347222222222199,19.03730780958402,2.3123,2.162751264620614,1.312
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,4.5531866,0.3943632726893259,1.5296,18.844570920787408,2.3013647058823503,2.1627421725239615,1.29976470588235
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,4.528378311111097,0.3860622114668615,1.5248333333333302,18.492979603319778,2.3094823529411803,2.1618436102236425,1.30788235294118
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,3.9237925600000003,0.3777410350235233,1.3667,12.587670421684173,2.2876000000000003,2.1918938074504113,1.2541
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,3.90640228,0.3758619781084094,1.3638,12.437524301991688,2.2869,2.1911704745336813,1.2522
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,3.8889599000000006,0.37519855434354044,1.3593000000000002,12.296774361364795,2.2831,2.190902283060849,1.2494
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,3.8685913199999997,0.3706988643866367,1.3617000000000001,12.128087237303744,2.2843,2.1866757983839937,1.2447
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,3.8543722800000007,0.37244382691544264,1.3562,12.018628682625232,2.2805,2.188203157489411,1.2417
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,3.8344476599999995,0.36978748174697995,1.3523999999999998,11.85251494664468,2.2782999999999998,2.1869833895040927,1.2398
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,3.6909475200000004,0.3578177559912854,1.3210000000000002,10.685692726041559,2.2692,2.185657322095585,1.2251
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,3.6742215599999994,0.3580544765416921,1.3173,10.565063862876439,2.2659000000000002,2.1855833189778924,1.221
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,3.6561531100000004,0.35791937273163044,1.3115,10.432125271042231,2.2617000000000003,2.186010695802185,1.2183
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,5.271978019753066,0.4895607505258195,1.70444444444444,28.15439009342301,2.42542352941177,2.2052154674322626,1.31082352941177
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,5.242709508641996,0.4869798502065916,1.69915555555556,27.710521653626934,2.42722352941177,2.2054361877463275,1.31082352941177
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,5.210388271604928,0.4836043543269718,1.6922222222222199,27.232420827593582,2.42582352941177,2.204686098654709,1.31082352941177
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,5.242217382716039,0.488150152656217,1.6943222222222198,27.61892349454212,2.43464705882353,2.2100170098478067,1.31764705882353
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,5.212138227160484,0.4877197177959318,1.68872222222222,27.21681566451778,2.4322470588235303,2.210232397639907,1.31364705882353
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,5.1876737530864405,0.48577823858852753,1.68505555555556,26.878746931593096,2.43132941176471,2.209548169315949,1.31152941176471
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,5.21430256790123,0.4867037074879548,1.6891111111111101,27.20345957786893,2.43727647058824,2.2111632979198284,1.31717647058824
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,5.188431016049372,0.49165182745781266,1.68482222222222,26.989134133112923,2.42404117647059,2.2106549014360897,1.30294117647059
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,5.1556666,0.48876233044398754,1.677,26.483662793925234,2.42664117647059,2.211741900686458,1.30494117647059
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,3.4238736993406538,0.2152798638228507,1.309072148766035,8.546613106096858,2.262700440816665,2.1071385510319485,1.26370473145643
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,3.3957768379308173,0.20458975146079283,1.301576882387792,8.320035557674059,2.270365655281362,2.1069314417408527,1.27205736770634
