A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.4639888888888897,-2.487821296322409,0.7806709777777766,1.1283219635484614,1.7103724288840265,1.1455,0.9636,-1.0621075999999998,0.8554278172866525
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.4698,-2.494950456884655,0.773104,1.1358289818479936,1.7072029038112546,1.145,0.9638,-1.0621019999999999,0.8511963248638866
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.4767000000000001,-2.502111312916172,0.7655662,1.1365677020794365,1.7084428312159732,1.1452,0.9645,-1.0638908000000002,0.8519633303085326
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.46915555555556,-2.502020389380162,0.7780351211111058,1.158127929153748,1.7203855855855836,1.1473,0.9743,-1.0883287800000003,0.85598399234234
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.47748888888888974,-2.511034965862087,0.7686560088888877,1.157002066878562,1.7231202382026507,1.1474,0.9752,-1.0904889599999998,0.8581636813137213
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.48019999999999996,-2.514535290481276,0.76427555,1.1474392733257093,1.7266338418232994,1.1467,0.9745,-1.0882183000000003,0.8624718764187775
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.46587777777778006,-2.4941834500761058,0.8103811599999975,1.1883349314230183,1.7627237804878049,1.1628,1.0003,-1.16349768,0.8865463719512195
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.4736,-2.502587841507076,0.8017722,1.1766246366223931,1.772201013758148,1.163,1.0016,-1.1667216,0.8962089790007262
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.47836666666666994,-2.5092749717490292,0.7945665066666627,1.1861958147398672,1.767418116398307,1.1621,1.0016,-1.16581872,0.8899572330664723
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.7003000000000001,-2.690824213417523,0.59488868,1.147727418367754,1.8575969619647559,1.1972,1.0335,-1.2774124000000002,0.9866088828642056
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.7056,-2.7000122865911953,0.5875306000000001,1.1480888611427886,1.8610057019645423,1.1966,1.0347,-1.27964404,0.9887574029707715
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.7080999999999997,-2.7028458520000953,0.58386522,1.143776022693293,1.8610571314230833,1.1962,1.0337,-1.27682388,0.9896846006082919
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.7175,-2.731056187783518,0.5664374999999998,1.1513791830449105,1.8748213384751349,1.1925,1.0396,-1.286946,0.996001446131598
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.7214,-2.7305962296709376,0.5642844000000001,1.1455797866408957,1.8753949907385037,1.194,1.0388,-1.2866543999999998,0.9988944189417733
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.7246000000000004,-2.737693517628057,0.55830287,1.1441272032787546,1.8761351024358768,1.1927,1.0385,-1.2845379,0.9990473866752703
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.7671999999999997,-2.7990885955675617,0.5061999300000001,1.1383784312472451,1.8963569586156233,1.1919,1.0441,-1.2970255800000001,1.015805068973961
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.7724999999999997,-2.80676418304074,0.49988286,1.135350727968059,1.9006739557739556,1.1919,1.0449,-1.29893262,1.0199969778869777
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.7752999999999999,-2.8077377227992084,0.49702817999999976,1.129644452519084,1.899839300664861,1.1922,1.0434,-1.2956829600000004,1.0210469342526471
