A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.3582078645282043,-1.190161187441945,4.493380775047923,-1.6967480927547607,2.3471878941176465,-1.472203555412414,-0.10158166678875724
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.3683911024368275,-1.170662615024066,4.477409251536755,-1.6813506680874861,2.3530893529411725,-1.4173675840115463,-0.1084647779011958
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.37765034200047376,-1.156749245751281,4.4624005880619935,-1.666301437711958,2.354991282352937,-1.397271953314006,-0.10911962918915208
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.3788418664277402,-1.1591911315685495,4.530624747679927,-1.694066567853885,2.390135566470592,-1.3894178532225845,-0.12831897410509274
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.38920795237990846,-1.1441895510466318,4.510457563710865,-1.6729334932987685,2.390490550588239,-1.376692867434559,-0.12730318969261556
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.38842109433972527,-1.1460122686523329,4.4925239242118336,-1.6652016194867665,2.38006720882353,-1.4132017267741184,-0.11894105574502833
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.39505108038034475,-1.1775358645361433,4.743337219021876,-1.8044987392075802,2.47554244,-1.4468813671948797,-0.14954873537938607
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.39988599186895435,-1.1742030506086452,4.729108764585996,-1.7852216341164933,2.466705129411762,-1.4964223861358632,-0.13862253335838837
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.4100064352940085,-1.1545703871819384,4.7046017977531704,-1.7670543801246468,2.473934324705886,-1.4326906186150234,-0.14763874271753807
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.7216047378136615,-0.8516357031600301,4.411437002168096,-1.2752055802570572,2.53341855,-1.185416845721036,-0.09570619254958879
