A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,3.0397041295498584,1.2516713551826797,0.12943111273198782,1.1584359870866836,8.1028553972617,2.310099110998132,3.212097898488149
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,4.835728582437733,1.258215213442137,0.11920145190563014,1.2158788207108806,8.064957277644503,2.389594193906265,5.110605061201912
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,4.829622362162404,1.2580460039001262,0.11437350272232694,1.2521736006594235,8.02797145356319,2.441967736680441,5.101421470884267
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,6.677922373073523,1.2704846407280546,0.1180853853853785,1.2545037202843272,8.19175322274845,2.461301187898237,6.941743721522932
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,5.649845442828461,1.2680357217347753,0.11430210632900817,1.290384284534596,8.14500073876537,2.5136696228585715,5.867821270977896
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,3.634353082946768,1.258688416353083,0.11984862435303656,1.2687480248052672,8.110185055506168,2.4832501493644563,3.7797361293203267
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,1.464152081880756,1.2834304973478803,0.13081449864498462,1.2340940323819254,8.606692937203206,2.491198071620318,1.4635125645467173
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,1.0784669367106894,1.269690574891306,0.13800470673425336,1.2217327869372432,8.56256616440041,2.480314739498356,1.0759178371942038
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,1.431434063181275,1.278140105493422,0.1264970435669035,1.2816825320569845,8.526025726516616,2.560508499466687,1.4280377526749506
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,0.6184175626287942,1.212164522178229,0.023117359062275744,2.4949050958298624,7.649269440435186,4.312575337530616,0.5778297248778812
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,0.6299837528049039,1.209995674683107,0.02181558856412713,2.545596597153751,7.6192734044671475,4.3816475550685015,0.5867449844262183
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,0.6273230282549895,1.2066152071670193,0.021824651832879738,2.552206866453145,7.588933106506738,4.38793673654266,0.5851995749135792
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,0.6624140831365477,1.2017269684680938,0.02433939905198046,2.6524418859838015,7.545678085288463,4.527935489122232,0.6092000200918872
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,0.6384618551789638,1.1980367398405605,0.02320222275912065,2.6557106537542485,7.525176070679145,4.532019743469052,0.587889779595418
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,0.6556555710677126,1.1957833059196636,0.022495999354734453,2.691644082331159,7.489098721333588,4.577438847307416,0.6036473646951109
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,0.7365429457402796,1.178531040582177,0.007022536935760382,3.15295675626467,7.250692290638816,5.191533569781809,0.6642248655679659
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,0.7260328639152656,1.1737434070234476,0.007362899262899125,3.18120620070881,7.221913497757495,5.228734755002547,0.652672772453556
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,0.7176764975335609,1.170389942735223,0.00643744562094728,3.1905519332404317,7.192066473269841,5.237659279920387,0.6470032288331534
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,0.20150645811773746,1.2266940647821405,0.16173600590357906,1.4965475858343844,9.867237268661572,3.170624832181105,0.16703673683785325
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,0.2085217613119512,1.2193563111409627,0.1562806158878296,1.5418875050119198,9.823776776101012,3.23653321386509,0.17206922383669598
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,0.21875316313852147,1.2013038119531005,0.15224904764753244,1.5628607820292073,9.770797774077888,3.2597832922214747,0.18096549069872836
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,0.21101918333697575,1.225781554359806,0.14382222222221963,1.585139150076028,9.842609908319604,3.298891771528279,0.17426416578760842
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,0.2079969019357721,1.2187020027582811,0.14244906760602394,1.6151580776683023,9.795414401702478,3.3460286908273904,0.1707723739959613
