A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,0.9636,1.0,5.596896283064233,6.289906121568623,2.1090999999999998,-0.32675294117647,0.000663176145811014,2.1555124402384034
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,0.9638,1.0,5.636416772900771,6.292593317647047,2.1088,-0.33267058823529005,0.0006791735007617663,3.0472793453121527
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,0.9645,1.0,5.6445381456413175,6.281428488235283,2.1097,-0.33197058823529,0.0006777954979320109,3.0141786712845593
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,0.9743,1.0,5.69879762175214,6.383927874967321,2.1216,-0.33158235294118,0.0006820511426432529,4.582905734312254
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,0.9752,1.0,5.697386638373766,6.364362793725498,2.1226,-0.3286823529411801,0.000677075795514453,3.9200024532595266
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,0.9745,1.0,5.65307449760706,6.328488955882356,2.1212,-0.32114705882353,0.0006639735096306198,2.701249860064994
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,1.0003,1.0,5.7690536964452015,6.613229384444439,2.1631,-0.3117000000000001,0.0005909842628129778,1.9806329698972733
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,1.0016,1.0,5.7100369604342225,6.568094870588228,2.1646,-0.29816470588235,0.0005725674837741461,1.66208454523544
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,1.0016,1.0,5.759311007138144,6.576097034509807,2.1637,-0.30628235294118,0.0005855858073281079,1.926308260466375
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,1.0335,1.0,5.769857242703039,6.23965776,2.2307,-0.2205999999999999,0.00027995667831572454,1.3803485718258375
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,1.0347,1.0,5.7653493067943655,6.225627870000001,2.2313,-0.21750000000000003,0.0002749009196601301,1.3863760674096108
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,1.0337,1.0,5.750792195472181,6.205465800000001,2.2298999999999998,-0.2157,0.0002666682152883013,1.3750632799036246
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,1.0396,1.0,5.7343731464918255,6.1838285299999995,2.2321,-0.20509999999999984,0.0002655072581110176,1.4057274658527947
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,1.0388,1.0,5.722615497109053,6.1696647,2.2328,-0.20290000000000008,0.0002480412169804238,1.3910998926553644
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,1.0385,1.0,5.713770449420324,6.149815189999999,2.2312000000000003,-0.20130000000000003,0.000246251046855084,1.3894640878932554
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,1.0441,1.0,5.683300111773749,6.037660440000001,2.2359999999999998,-0.18100000000000005,0.00018119052982125736,1.4131602859544803
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,1.0449,1.0,5.6660909571691525,6.018683580000001,2.2367999999999997,-0.17610000000000015,0.00016365296359944573,1.4087152993118817
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,1.0434,1.0,5.653014721662858,5.99915925,2.2356,-0.17489999999999983,0.00014943108130236022,1.39537098826444
