A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,0.2429087234074716,2.0750547825923102,0.1596162383841593,1.29035294117647
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,0.2559553559474761,2.115487372475696,0.16616969539009868,1.29647058823529
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,0.2473058249823017,2.118261682702697,0.17571387554921158,1.29647058823529
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,0.26055315395096934,2.169982584860477,0.17191897408277815,1.30588235294118
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,0.24233741527442887,2.162070265990959,0.18428297138263233,1.30388235294118
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,0.209715089277424,2.1178239540572865,0.1896390460745059,1.29564705882353
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,0.25260006826059134,2.1494019651727445,0.18014563157750585,1.312
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,0.19477090868301317,2.0840614408939073,0.1944014348055761,1.29976470588235
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,0.21720753951574778,2.1364576847599315,0.20038609130072718,1.30788235294118
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.2149162189224525,1.8942983473571413,0.5809521105433795,1.2541
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.23908927457205542,1.894615620019148,0.5921623899127743,1.2522
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.25297809847970054,1.8862119039255911,0.5958921198261403,1.2494
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.34044240631062794,1.897327155488901,0.6214831340160487,1.2447
