A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,2.8898618997142487,0.10422489955866712
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,3.028926305804534,0.10871762613356555
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,3.221275251720055,0.11306232226418521
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,3.277220071917121,0.11508592532452103
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,3.251253259965033,0.11619552365643614
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,1.666419255838403,0.025250116216344768
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,1.2871679908838345,0.026573874971393747
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,1.4076674657977857,0.03015914555750651
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,1.8304656095533787,0.032678198978283717
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,1.9607151190807168,0.03713343108457464
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,2.100494705139442,0.041622407234050224
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,2.258082217808165,0.04809864836276544
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,2.69667067108881,0.05485558017276708
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,2.322655416263615,0.054435246211338044
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,1.2913296149185924,0.05886811964039108
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,1.4572956138932538,0.0636017715077834
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,1.5724116724460164,0.06745616712518787
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,0.7809961072747962,0.04086275621807131
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,0.8966538274402132,0.04396175663534393
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,0.928436122005894,0.04497975804496886
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,0.8544586554201563,0.04155045719970069
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,0.9333222551755831,0.04346888536926431
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,1.061546158960848,0.04742865665342348
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,2.863665828033854,0.10444446247104135
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,2.939051898839545,0.1063398898417168
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,2.9661618063217006,0.10780999193685575
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,3.038397896297014,0.11389077086410887
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,3.138538305162931,0.11737755710123378
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,3.16474308781329,0.1207135441565265
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,3.7603406344025103,0.13807830376791963
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,3.9088816419974584,0.14321623337310246
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,3.9442736465272015,0.14440341545889793
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,3.6116743018973243,0.13813333388007243
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,3.85497121827417,0.140989951697511
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,3.663882273116975,0.1457293066410238
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,2.781275413156841,0.05880589134340542
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,3.169406035086861,0.06220161099596758
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,2.850554037879766,0.06460389724128483
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,3.0074404290758543,0.11496512017607172
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,3.5300396397733143,0.12361605533348193
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,3.3230807948608674,0.12606483631467563
1.11690909973307,1.02253990550377,1.42412025207326,1.27549668851512,0,33.0,18,0.9,3.203432853083514,0.14520403055011394
1.11606231497209,1.02168062827225,1.4167251950898,1.27832184489377,0,33.0,18,0.9,3.1571403554315856,0.14822215825472035
1.11719136132007,1.02168062827225,1.41032122821752,1.26714405226522,0,33.0,18,0.9,3.4232216825180988,0.15355000280383044
1.14297125293213,1.05235682543736,1.45705493884498,1.26124807373587,0,33.0,18,0.9,4.263190607648895,0.16422941998558627
1.14334760171479,1.05089605414379,1.44981235726324,1.27242586636442,0,33.0,18,0.9,3.940975235376091,0.1649909919038797
1.14250081695381,1.05072419869748,1.44226482487805,1.26960070998578,0,33.0,18,0.9,4.047435179405786,0.16978006951382368
1.1472992639327,1.04866193334185,1.46597474984565,1.2745140254269,0,33.0,18,0.9,3.707320637098146,0.15272421548564613
1.14720517673704,1.04737301749457,1.45880840596477,1.29121929792671,0,33.0,18,0.9,3.3018316168195527,0.15310207065369003
1.14626430478039,1.04754487294088,1.45126087357958,1.27733918180555,0,33.0,18,0.9,3.6744894405599453,0.15964828201955725
1.1713,1.0246,1.76977777777778,1.31,0,42.0,7,1.9,0.4505448475302948,-0.014413265560420208
1.1705,1.0242,1.76266666666667,1.31811764705882,0,42.0,7,1.9,0.2947107366141304,-0.01192961144839183
1.1709,1.0242,1.75644444444444,1.312,0,42.0,7,1.9,0.4813739357255631,-0.009444778985182664
1.1822,1.0544,1.78488888888889,1.31682352941176,0,42.0,7,1.9,0.9327529027985135,0.0017321427709187489
1.1805,1.0523,1.77855555555556,1.32294117647059,0,42.0,7,1.9,0.7555356956805356,0.002559531631893988
1.1815,1.0556,1.77188888888889,1.30858823529412,0,42.0,7,1.9,1.2699724432953872,0.007997706764936269
1.1905,1.0674,1.83233333333333,1.31329411764706,0,42.0,7,1.9,1.0962136896976402,-0.007330828506768061
1.1897,1.0666,1.824,1.32976470588235,0,42.0,7,1.9,0.6564131291465749,-0.004496222176087481
1.1913,1.0694,1.81866666666667,1.31129411764706,0,42.0,7,1.9,1.3057687163539817,-4.545147692307965e-05
1.1744,1.1011,1.4772,1.241,0,1.0,405,0.0,7.224319322005679,0.2231605945798075
1.175,1.1024,1.4733,1.2381,0,1.0,405,0.0,7.483027160921513,0.2287408762501678
1.1743,1.1001,1.4694,1.2371,0,1.0,405,0.0,7.3780698276420384,0.2282718119520201
1.1861,1.1036,1.4767,1.2288,0,1.0,405,0.0,7.831499733288274,0.23247416033970084
1.1858,1.1026,1.4716,1.2284,0,1.0,405,0.0,7.790253730785402,0.23452566490544433
1.1855,1.105,1.4674,1.2249,0,1.0,405,0.0,8.242765294833266,0.2425100875104731
1.1913,1.0991,1.4833,1.2349,0,1.0,405,0.0,6.9919893538841125,0.21940688997737046
1.192,1.0982,1.4789,1.2317,0,1.0,405,0.0,7.0772134906331585,0.2221885593402581
1.1912,1.0976,1.4739,1.232,0,1.0,405,0.0,7.051696343761274,0.2244470679495394
1.1975,1.0987,1.71088888888889,1.31517647058824,0,93.1,12,4.4,2.859341747190479,0.0742180793632437
1.1978,1.0963,1.70588888888889,1.31517647058824,0,93.1,12,4.4,2.7950671387495647,0.07445061519432654
1.1981,1.0995,1.69966666666667,1.30494117647059,0,93.1,12,4.4,3.2818341001119,0.08159207224720831
1.207,1.1079,1.74277777777778,1.30952941176471,0,93.1,12,4.4,3.191572559027258,0.06904411640001495
1.2074,1.1061,1.737,1.31352941176471,0,93.1,12,4.4,3.0119424781452464,0.06987314705689557
1.2068,1.1075,1.73055555555556,1.31764705882353,0,93.1,12,4.4,2.9739736873358535,0.07388521218596054
1.2127,1.1078,1.75055555555556,1.30788235294118,0,93.1,12,4.4,3.1669872491754973,0.06609690428357046
1.2119,1.1066,1.74333333333333,1.31611764705882,0,93.1,12,4.4,2.889422783138655,0.06766245386295447
1.2116,1.1042,1.73755555555556,1.312,0,93.1,12,4.4,2.9606211310519095,0.0685331592699595
1.1765,1.0725,1.5209,1.271,0,28.9,6,1.5,4.242799670228271,0.1512578695272031
1.1752,1.0739,1.5166,1.2697,0,28.9,6,1.5,4.371503123326183,0.15552877416982622
1.176,1.0766,1.5122,1.266,0,28.9,6,1.5,4.614029472050559,0.16211718320437882
1.1782,1.0813,1.5027,1.2599,0,28.9,6,1.5,5.048437605514793,0.17506702306707658
1.1779,1.0805,1.4981,1.2579,0,28.9,6,1.5,5.096944899575462,0.17728954985108195
1.1776,1.0825,1.4944,1.2546,0,28.9,6,1.5,5.33130061324652,0.1828722410695713
1.1835,1.0838,1.5112,1.2595,0,28.9,6,1.5,5.086976599953957,0.17355866707859705
1.1831,1.0864,1.5065,1.2558,0,28.9,6,1.5,5.375179084629677,0.18056682057912532
1.1835,1.0858,1.5016,1.2535,0,28.9,6,1.5,5.437760719492445,0.18340263380373115
1.1726,1.03175,1.66945,1.3397,1,202.4,21,2.6,0.6054396440384434,0.03197026013527822
1.1724,1.03155,1.6637,1.33835,1,202.4,21,2.6,0.668072095088808,0.03430215978186172
1.1753,1.0419,1.6582,1.3327,1,202.4,21,2.6,1.0569575734014367,0.04545186023803631
1.1809,1.033,1.637,1.32015,1,202.4,21,2.6,1.2631397924156496,0.04896429544490204
1.18035,1.03295,1.63225,1.3183,1,202.4,21,2.6,1.3280965117131913,0.05106154700558442
1.18025,1.03205,1.6271,1.31655,1,202.4,21,2.6,1.3742238235872435,0.05271103007442572
1.188,1.0433,1.6345,1.3151,1,202.4,21,2.6,1.6232420942374823,0.05981937313574874
1.1871,1.0444,1.629,1.3123,1,202.4,21,2.6,1.741837651514998,0.06334306184663711
1.187,1.0441,1.6241,1.3114,1,202.4,21,2.6,1.78130775930913,0.06541260890497672
1.2018,1.0725,1.4844,1.2238,0,1.0,203,0.0,5.474976163923703,0.1858642534107089
1.2014,1.0747,1.4798,1.2208,0,1.0,203,0.0,5.722637871958664,0.1925801518005355
1.2013,1.0727,1.4749,1.22,0,1.0,203,0.0,5.6507054439050135,0.19317135216668613
1.2013,1.0446,1.4958,1.2366,0,1.0,203,0.0,3.8717077474417643,0.1415569557715437
1.2001,1.042,1.4914,1.2349,0,1.0,203,0.0,3.8431278459490446,0.14125603559041364
1.2017,1.0427,1.4879,1.233,0,1.0,203,0.0,3.902364801024051,0.1445406834787787
1.1961,1.0598,1.4849,1.23,0,1.0,203,0.0,4.743897027881731,0.1670442737544067
1.1953,1.0587,1.4812,1.226,0,1.0,203,0.0,4.8248731851671405,0.16875188825591894
1.1947,1.0598,1.4763,1.2254,0,1.0,203,0.0,4.918875272359367,0.17322978462665606
1.1475,0.986,1.5373,1.2991,1,167.2,13,2.8,1.2569649494739177,0.05223286606966204
1.147,0.9872,1.5312,1.2964,1,167.2,13,2.8,1.3582982109390358,0.056077027201262675
1.147,0.9851,1.5266,1.2937,1,167.2,13,2.8,1.389349050750805,0.05656516154040632
1.1535,0.9992,1.56,1.2956,1,167.2,13,2.8,1.4515889504670514,0.053555307371463
1.1524,0.9981,1.5535,1.2953,1,167.2,13,2.8,1.470114858273698,0.055524948752914985
1.1521,0.9973,1.5489,1.2929,1,167.2,13,2.8,1.5219689986796392,0.057054140336453577
1.1603,1.0227,1.5964,1.2988,1,167.2,13,2.8,1.7023396764891205,0.05717325354008617
1.1599,1.0204,1.5908,1.2968,1,167.2,13,2.8,1.7206432107492842,0.05787541832881417
1.1606,1.0208,1.5852,1.2954,1,167.2,13,2.8,1.7890180331373704,0.061023145281384195
