A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.06412146723702311,0.7189339949989074,-0.14866853211949246
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.1946016325576582,0.5818124040131979,-0.5126366787345547
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.30809305757870065,0.5281323820022238,-0.9405438381394505
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.4074127308085591,0.6120692555204391,-1.3618282703291928
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.6080294692862511,0.5549937781794225,-2.9056146285283146
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.4535348495948189,0.5889073645868688,-1.7057805292119075
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.608362349841393,1.290478687167133,-2.7457154898561713
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.49441278118174237,1.524911979341734,-1.9419475932393122
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-1.1309141507104727,0.9310251696991361,-344.197766615926
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,0.31441035113554616,0.2827265057911302,1.4277252572061514
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,0.3019588442549183,0.2833728006096641,1.4475159336188286
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,0.29879158967040453,0.2843358461546043,1.4975970259434435
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,0.2750306996548759,0.291694168436742,1.5264818295960576
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,0.27059753536032627,0.2911396121341585,1.6255280492396686
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,0.2631709742993654,0.29214039967191446,1.6455990500096807
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,0.17458790651732256,0.2952321765440497,2.1360527155718056
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,0.16574055934155804,0.29763546995438545,2.3882657968933763
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,0.16163267811553286,0.2979955695355894,2.620594600980488
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,0.8820706539355537,-0.5691980622294938,1.3366209910131082
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,0.7932653745377507,-0.7348032951558164,1.2743025743782739
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,0.7619265860100907,-0.930017628205623,1.2480433494686736
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,0.7164116007518079,-1.1109626523520142,1.187388709929212
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,0.6836385472728266,-1.4616106759602763,1.1924318019700877
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,0.658021996256746,-1.9648067912703224,1.185946419363567
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,0.6530915940718289,-1.9943085003682353,1.1483987690130155
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,0.6846329787299354,-1.3250782116359632,1.2846067826561156
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,0.6297756184619735,-3.2734406996750334,1.2293794202464539
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,0.2276133270384116,0.31889388205744673,0.8901196160178871
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,0.20417724459136996,0.314565583507204,0.8427983394367364
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,0.193910414685709,0.3151877139097247,0.8356817692826707
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,0.3448039403097305,0.31659307338672715,0.9387016254835664
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,0.32840452113870994,0.3231665201834038,0.9800708243306024
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,0.30874345874131115,0.31627684447691,0.9389422944700846
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,0.26502405252094346,0.31443465830965217,0.8875282051235052
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,0.2516633746901021,0.3151903073278263,0.8907060444368764
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,0.23625318384217328,0.3164270632996721,0.8922497223212761
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,-0.4385734311315619,0.30897229371231855,-1.7301026961916388
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,-0.529961098863294,0.30376194503317067,-2.5102273815631793
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,-0.9524896336625186,0.2936856400307735,-39.04518289630894
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,-0.1367791678407886,0.34288893367732154,-0.3394750642695434
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,-0.21552084324560014,0.34068932232627697,-0.6016979592932816
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,-0.25282996144865827,0.3379757978284064,-0.7491738547056253
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-0.12579092429883926,0.4230761592798607,-0.2910856576332008
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-0.262996283652354,0.38391438319263554,-0.7113852537489429
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,-0.2397580058140661,0.40086189616171874,-0.6504164370413602
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,0.7370891765904706,0.37663131399785643,0.9958894424851376
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,0.7221743737389754,0.36515074234708883,0.9900224328921156
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,0.6874249612286891,0.3593446160668807,0.976555241162928
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,0.8237268162154763,0.34791180185396914,1.0734210454602766
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,0.8032338232248942,0.3412242461921283,1.0645368235663177
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,0.7896985973890414,0.33600216963861684,1.0680154988067825
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,0.6313957212545588,0.3307296037944935,0.9831966620617689
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,0.6226407324362475,0.3250643146247873,0.9803287415942447
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,0.6157188481302884,0.32055179067385825,0.9851659891861186
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,0.3836324725134568,0.29417767113778376,1.0123839219850377
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,0.37622077347153043,0.2917792268584192,1.0122904786136013
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,0.3715329862451277,0.2898111369084518,1.0143174583125072
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,0.3302883575523584,0.2850550951384246,1.090870014654503
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,0.3208234077448589,0.28676640631126504,1.1087567639378024
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,0.30852257846996206,0.2875630736583767,1.1357123088117425
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,0.301562071407839,0.291162371595567,1.238995472211552
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,0.29537860576547054,0.29119460111327783,1.2824281228832939
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,0.28672518884915016,0.2880735674202025,1.2757874118605346
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,1.6006419111195118,-1.8437828482000993,1.6312016956900104
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,1.0370969399238048,4.700879258609456,1.2749351594181004
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,0.9471875879541943,2.3799222969146334,1.2333112911873332
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,1.0095289633359523,-1.8091768376869393,1.3030855780499502
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,0.896728146455065,-2.98523230863797,1.2329574405120842
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,0.8200016597674203,-33.08029364183544,1.1952830646879067
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,0.708129347880876,3.19357386105408,1.1298271238920763
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,0.6864522786224552,3.3224343879569234,1.1625117486086185
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,0.6299785318173532,1.2459683874875112,1.0604241619518366
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,0.491680608484809,0.34987868904040265,0.8501338521341827
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,0.4735902625363967,0.3485966851607824,0.8458273979739404
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,0.45735875229807643,0.3427010257869198,0.8412539357858858
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,0.590016183954203,0.32347630255933907,0.917922698206911
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,0.5731246165759574,0.32251567416410504,0.9160816741535692
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,0.5648040160632272,0.3165418488250613,0.915711118428968
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,0.5897579387882973,0.30702913170457063,0.9391781016590689
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,0.5813272668716852,0.30642780149926646,0.9428398092318659
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,0.5555160339586369,0.3037723349130875,0.9377793149398435
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,0.32835256574486166,0.3054690641467864,0.9714754989270021
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,0.32431173277523506,0.3070219131492402,0.9823118778727147
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,0.31762055679239704,0.30546827516249087,0.9903825055256636
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,0.2929119976126977,0.2995802177607158,0.9457917110599858
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,0.28259520800745497,0.2992738047096283,0.95666740345044
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,0.2689656027102749,0.2974513817532944,0.9401635437103075
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,0.23235521094726003,0.2995477347188375,0.9790330954201675
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,0.2198634138774917,0.2996065530476278,0.9915138941625787
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,0.21637709810529412,0.30079916966144715,1.0038710189501374
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,0.22692595167199966,0.3116662541325499,0.9038277071315479
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,0.22789336475019242,0.31919357184327346,0.9584987450252663
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,0.19753128251133514,0.3083606258106981,0.8870914912184854
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,0.7645772666210151,0.954916487787198,1.205222863474262
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,0.8233136908700397,1.0032983277603418,1.3267056750064334
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,0.6846008211667979,0.6987545007457109,1.1608311866248413
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,0.291364778225868,0.3033332042154458,0.8905978841948151
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,0.28524035589623514,0.3164581599681995,0.9711705186554321
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,0.25962408636128886,0.3033602920831865,0.9119130349189472
1.11690909973307,1.02253990550377,1.42412025207326,1.27549668851512,0,33.0,18,0.9,0.1663610471332418,0.31452102686138317,0.8254049833034586
1.11606231497209,1.02168062827225,1.4167251950898,1.27832184489377,0,33.0,18,0.9,0.15103413255589412,0.3138271372586426,0.8062862783025397
1.11719136132007,1.02168062827225,1.41032122821752,1.26714405226522,0,33.0,18,0.9,0.14275585424946974,0.3185391968722238,0.8477654986485671
1.14297125293213,1.05235682543736,1.45705493884498,1.26124807373587,0,33.0,18,0.9,0.15730110969169525,0.3148490976168543,0.9388024827935417
1.14334760171479,1.05089605414379,1.44981235726324,1.27242586636442,0,33.0,18,0.9,0.13806272158561178,0.3065519875479453,0.8703046119323838
1.14250081695381,1.05072419869748,1.44226482487805,1.26960070998578,0,33.0,18,0.9,0.12539842699104803,0.3085305528236578,0.8769715029073476
1.1472992639327,1.04866193334185,1.46597474984565,1.2745140254269,0,33.0,18,0.9,0.17045257248298298,0.30243198477619265,0.882419455334911
1.14720517673704,1.04737301749457,1.45880840596477,1.29121929792671,0,33.0,18,0.9,0.14847689709090908,0.29244215565437487,0.7982547323801936
1.14626430478039,1.04754487294088,1.45126087357958,1.27733918180555,0,33.0,18,0.9,0.1418309629036335,0.30036799166924505,0.8532249573878121
1.1713,1.0246,1.76977777777778,1.31,0,42.0,7,1.9,-0.0023671374344203444,-0.4265259285985926,-0.004867118187065595
1.1705,1.0242,1.76266666666667,1.31811764705882,0,42.0,7,1.9,-0.14331373058372396,-0.6065079052491716,-0.32879704945651506
1.1709,1.0242,1.75644444444444,1.312,0,42.0,7,1.9,-0.15380622273123754,-0.6565309837392832,-0.36534590645662324
1.1822,1.0544,1.78488888888889,1.31682352941176,0,42.0,7,1.9,-0.8368097396737909,-0.4521459132344112,-5.468897859570239
1.1805,1.0523,1.77855555555556,1.32294117647059,0,42.0,7,1.9,-1.5816888651310266,-0.5910639168127363,11.901657376620317
1.1815,1.0556,1.77188888888889,1.30858823529412,0,42.0,7,1.9,-1.3145655776039542,-0.5565189400542702,39.261465483947084
1.1905,1.0674,1.83233333333333,1.31329411764706,0,42.0,7,1.9,-0.11213333235126874,-0.19784516584649853,-0.25794272380947963
1.1897,1.0666,1.824,1.32976470588235,0,42.0,7,1.9,-0.5993502615390356,-0.2680481740610458,-2.286686511483174
1.1913,1.0694,1.81866666666667,1.31129411764706,0,42.0,7,1.9,-0.36731024014890257,-0.2456432141435366,-1.1196418853852264
1.1744,1.1011,1.4772,1.241,0,1.0,405,0.0,0.08981865322495933,0.3218674632343991,1.275502073204786
1.175,1.1024,1.4733,1.2381,0,1.0,405,0.0,0.08089896900923903,0.32307015126760175,1.3256334588895742
1.1743,1.1001,1.4694,1.2371,0,1.0,405,0.0,0.07828411655153251,0.3228305245348245,1.332609867789943
1.1861,1.1036,1.4767,1.2288,0,1.0,405,0.0,0.08043567889673522,0.32098857062389285,1.7493214226061131
1.1858,1.1026,1.4716,1.2284,0,1.0,405,0.0,0.0727248442882887,0.3200232197330845,1.751826672799883
1.1855,1.105,1.4674,1.2249,0,1.0,405,0.0,0.06227359771800565,0.3229280608634028,1.8722809724223057
1.1913,1.0991,1.4833,1.2349,0,1.0,405,0.0,0.09384451490643159,0.3112105728472181,1.6851158165521374
1.192,1.0982,1.4789,1.2317,0,1.0,405,0.0,0.08781882972851356,0.3117024632209402,1.8154331895300349
1.1912,1.0976,1.4739,1.232,0,1.0,405,0.0,0.0797739541251542,0.31097789769117345,1.776747797377395
1.1975,1.0987,1.71088888888889,1.31517647058824,0,93.1,12,4.4,0.5095276545323684,0.6081338679774551,0.9889029760239271
1.1978,1.0963,1.70588888888889,1.31517647058824,0,93.1,12,4.4,0.5020128170875688,0.5583556676044352,0.9840760250839349
1.1981,1.0995,1.69966666666667,1.30494117647059,0,93.1,12,4.4,0.493696947647189,0.5840701922679818,1.034357539439916
1.207,1.1079,1.74277777777778,1.30952941176471,0,93.1,12,4.4,0.577944418734198,1.3770432286434986,1.0929432696225825
1.2074,1.1061,1.737,1.31352941176471,0,93.1,12,4.4,0.5509984436551782,0.9459461285738577,1.0503792953564839
1.2068,1.1075,1.73055555555556,1.31764705882353,0,93.1,12,4.4,0.5141522363275217,0.7245357841088538,1.0006802773292531
1.2127,1.1078,1.75055555555556,1.30788235294118,0,93.1,12,4.4,0.6012924124429578,1.821920002698479,1.1396856528505952
1.2119,1.1066,1.74333333333333,1.31611764705882,0,93.1,12,4.4,0.5537513404903188,0.9556595818593966,1.0494620331350444
1.2116,1.1042,1.73755555555556,1.312,0,93.1,12,4.4,0.5559787961159564,0.9037633371423325,1.0748464676885139
1.1765,1.0725,1.5209,1.271,0,28.9,6,1.5,0.20856117126825285,0.2989610044314671,1.011923603248243
1.1752,1.0739,1.5166,1.2697,0,28.9,6,1.5,0.19935446758421846,0.3003049829958312,1.012275923235962
1.176,1.0766,1.5122,1.266,0,28.9,6,1.5,0.18704743156887668,0.30195103747113394,1.0401765361841715
1.1782,1.0813,1.5027,1.2599,0,28.9,6,1.5,0.16114028668267608,0.3032356113396975,1.0967811156880352
1.1779,1.0805,1.4981,1.2579,0,28.9,6,1.5,0.15503807422577398,0.30352208808297326,1.112424652914048
1.1776,1.0825,1.4944,1.2546,0,28.9,6,1.5,0.14629173998027276,0.30610162589264023,1.142799036121819
1.1835,1.0838,1.5112,1.2595,0,28.9,6,1.5,0.16851777151228692,0.3017533023673336,1.1394433514500208
1.1831,1.0864,1.5065,1.2558,0,28.9,6,1.5,0.15715953834834984,0.30460450557293955,1.1754162642481627
1.1835,1.0858,1.5016,1.2535,0,28.9,6,1.5,0.14965694815217942,0.3043406474868584,1.2044726090717042
1.1726,1.03175,1.66945,1.3397,1,202.4,21,2.6,0.6704220002746095,0.37245279477023957,0.960364748617444
1.1724,1.03155,1.6637,1.33835,1,202.4,21,2.6,0.646383032820423,0.36006789206588274,0.9489789242294152
1.1753,1.0419,1.6582,1.3327,1,202.4,21,2.6,0.5707324000149046,0.35460719554221887,0.9220303621575926
1.1809,1.033,1.637,1.32015,1,202.4,21,2.6,0.5545571748175598,0.32248851638981374,0.9614101293682527
1.18035,1.03295,1.63225,1.3183,1,202.4,21,2.6,0.542366516222661,0.3192088944898753,0.9599928160452438
1.18025,1.03205,1.6271,1.31655,1,202.4,21,2.6,0.5316381344018191,0.314149343781474,0.9597424651901335
1.188,1.0433,1.6345,1.3151,1,202.4,21,2.6,0.4945470477239785,0.3152132005700536,0.9545244399369298
1.1871,1.0444,1.629,1.3123,1,202.4,21,2.6,0.48010307378274153,0.31415311373829613,0.9561991973753772
1.187,1.0441,1.6241,1.3114,1,202.4,21,2.6,0.4674748723150273,0.3086160112643191,0.9517436096458031
1.2018,1.0725,1.4844,1.2238,0,1.0,203,0.0,0.14082486851055895,0.30089265664245507,2.921480856470843
1.2014,1.0747,1.4798,1.2208,0,1.0,203,0.0,0.12926072462582244,0.30325929133230445,3.2736612394169526
1.2013,1.0727,1.4749,1.22,0,1.0,203,0.0,0.12351768363044854,0.30206194421180826,3.381895687184766
1.2013,1.0446,1.4958,1.2366,0,1.0,203,0.0,0.21506840820921247,0.2842823137665785,1.9707542115383336
1.2001,1.042,1.4914,1.2349,0,1.0,203,0.0,0.21382224129489544,0.2846531576810222,2.003521224780739
1.2017,1.0427,1.4879,1.233,0,1.0,203,0.0,0.20403462017787705,0.2839271958420156,2.169163998175035
1.1961,1.0598,1.4849,1.23,0,1.0,203,0.0,0.16869001562853067,0.29705925181380904,2.0613407944534377
1.1953,1.0587,1.4812,1.226,0,1.0,203,0.0,0.16662299854682563,0.29965935981810066,2.2507786477977754
1.1947,1.0598,1.4763,1.2254,0,1.0,203,0.0,0.1547553253822248,0.2998153743747081,2.250168840694459
1.1475,0.986,1.5373,1.2991,1,167.2,13,2.8,0.532027257287176,0.28448073625556575,0.9835968802653922
1.147,0.9872,1.5312,1.2964,1,167.2,13,2.8,0.5072120130099075,0.28458411513208104,0.9775874894324418
1.147,0.9851,1.5266,1.2937,1,167.2,13,2.8,0.5068717242399331,0.2839066541180406,0.9887130284911518
1.1535,0.9992,1.56,1.2956,1,167.2,13,2.8,0.5582855325463489,0.3024105320866611,1.0267232430214492
1.1524,0.9981,1.5535,1.2953,1,167.2,13,2.8,0.5371080626595922,0.29819198033981387,1.0116704197968605
1.1521,0.9973,1.5489,1.2929,1,167.2,13,2.8,0.5292161461449776,0.2974505677842763,1.0166486006534936
1.1603,1.0227,1.5964,1.2988,1,167.2,13,2.8,0.5609744597576225,0.33856082831010803,1.027319797108355
