A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.5440471474986348,-30.97023566037055,-2.0806001064914246,1.29035294117647
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.5591646962426113,-31.139758670172814,-2.084726706059546,1.29647058823529
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.5579881110522998,-30.86960630230566,-2.0767127176326703,1.29647058823529
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.5654569094239863,-31.6125183139912,-2.084636021691475,1.30588235294118
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.5587958889284846,-31.2154645662215,-2.071371070013848,1.30388235294118
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.5391099854716075,-30.814879606275944,-2.055508436413385,1.29564705882353
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.5365429248000002,-30.457250025783267,-2.063154157364976,1.312
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.5037159628049592,-29.636648581333763,-2.0341647290881593,1.29976470588235
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.5239131928232941,-29.97270685604678,-2.0416160598624895,1.30788235294118
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.34695235828599985,-18.679589978433718,-1.722785725988122,1.2541
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.3410410527,-18.565308823401676,-1.7131427841895617,1.2522
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.33670777765200005,-18.42549481832359,-1.7080898011218766,1.2494
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.31775693625899976,-18.4626718283619,-1.6827172371885757,1.2447
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.31283505278100016,-18.15475816144818,-1.6773220260316821,1.2417
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.30941904325200004,-18.105789861151948,-1.671146197296752,1.2398
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.2716574718100001,-16.873043754385286,-1.6037483727371653,1.2251
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.26253710010000025,-16.657755293622152,-1.5927608978145307,1.221
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.25959618026099973,-16.467939981220503,-1.5888256856384544,1.2183
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.33716271302358203,-25.97813436728565,-1.8833381257028858,1.31082352941177
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.3340698480381148,-25.756374492852938,-1.872509979228349,1.31082352941177
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.3364754096934783,-25.670463650026694,-1.8693612040991738,1.31082352941177
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.34836217382454854,-25.414946433501502,-1.8778862559393499,1.31764705882353
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.3365865839892544,-25.04191805697692,-1.8627167592544802,1.31364705882353
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.3297955630348965,-24.893634351356823,-1.8521593026174499,1.31152941176471
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.3419185823120806,-25.060193825120233,-1.8632764249633078,1.31717647058824
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.30870371142886616,-24.426455770643773,-1.8390268855167415,1.30294117647059
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.3120361722828455,-24.17270024681533,-1.8325851710165943,1.30494117647059
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-0.42272697973977663,-29.963382125405214,-1.7323721571835313,1.26370473145643
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-0.44296158445191397,-30.13722026592996,-1.7403388894823497,1.27205736770634
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-0.4457424288936413,-30.22735029153701,-1.7386974454806432,1.27205736770634
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-0.4372505663346893,-30.03117511388271,-1.7883214362082702,1.27181170193428
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-0.4084225064938105,-29.12860727321862,-1.7570164843795364,1.26075674219176
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-0.42583498293227173,-29.336192191300295,-1.765947067854832,1.26628422206302
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-0.422814022693642,-29.245309103696325,-1.7469951766687308,1.27279436502251
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,-0.4176299097941787,-28.9771042246543,-1.7373328795952203,1.26996920864386
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,-0.4119286332276093,-28.770923899494285,-1.7262875325175693,1.26726688515125
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,-0.6242946180012215,-30.294995407732777,-2.1242800867681932,1.295294117647059
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,-0.6251335114268272,-30.239121988735253,-2.1217439132311586,1.295294117647059
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,-0.6335584707347856,-30.333336657125468,-2.121826649676436,1.299294117647059
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,-0.6272631191152456,-31.435566791302655,-2.146010032462673,1.2963529411764707
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,-0.6115660833348261,-30.970077394721056,-2.123783659634512,1.2922352941176471
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,-0.6056792025099127,-30.791048304690445,-2.1150709514268087,1.2902352941176471
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,-0.6268487433340124,-34.353695680808656,-2.1525713804817954,1.3058823529411767
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,-0.6382175900000001,-34.2359518095787,-2.154552216054278,1.31
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,-0.6086269756547934,-33.87579812830906,-2.125046577034939,1.299764705882353
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,-0.568277283432,-29.493422345769947,-2.014874516695958,1.3406
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,-0.567439783468,-29.271527811635593,-2.0115351066322944,1.3394
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,-0.5573759794560001,-29.02735879965257,-1.9976317784256563,1.3368
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,-0.5716491781640001,-28.30574924438894,-2.0220981629769192,1.3322
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,-0.5700883297999997,-28.222718653168364,-2.0180681395074815,1.331
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,-0.5632953823800002,-27.857802213587973,-2.009808351932339,1.3278
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,-0.5312368996,-27.160385157405983,-1.9639823711695166,1.3252
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,-0.5310417043719999,-27.022413429285848,-1.9617262287551678,1.3243
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,-0.5270369815130003,-26.75437411838646,-1.9561656113787569,1.3217
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,-0.4103956869999998,-22.401027191207785,-1.7990385665529007,1.289
1.1843,1.0411,1.5732,1.2881,0,73.6,10,6.0,-0.4098227976700002,-22.281360263107803,-1.795622884882108,1.2881
1.1837,1.0394,1.5686,1.287,0,73.6,10,6.0,-0.4101169643999997,-22.185660296457485,-1.7937016558060033,1.287
1.1852,1.0366,1.5436,1.2739,0,73.6,10,6.0,-0.38509547313300013,-20.878497057102383,-1.7573428631712207,1.2739
1.1845,1.0375,1.5389,1.2708,0,73.6,10,6.0,-0.3767637849119997,-20.72902336752397,-1.7466691337258196,1.2708
1.1855,1.0397,1.5354,1.2677,0,73.6,10,6.0,-0.36641043012,-20.423592621727746,-1.733820104438642,1.2677
1.1866,1.039,1.528,1.2587,0,73.6,10,6.0,-0.3480763540929999,-19.82346340729345,-1.71622101561692,1.2587
1.1869,1.0379,1.5229,1.2553,0,73.6,10,6.0,-0.3425741567660001,-19.55368117213042,-1.7092392986075295,1.2553
1.1873,1.0368,1.5187,1.2556,0,73.6,10,6.0,-0.3449450615680002,-19.413722725826364,-1.7078163655136813,1.2556
1.1951,1.0684,1.759777777777778,1.3105882352941178,0,92.6,11,8.2,-0.4159925692000818,-27.26408450805897,-1.9455337702466817,1.3105882352941178
1.1943,1.0672,1.7534444444444444,1.3249411764705885,0,92.6,11,8.2,-0.4524566765319772,-27.778220103648945,-1.961444645430533,1.3249411764705885
1.1945,1.0682,1.7472222222222222,1.3229411764705885,0,92.6,11,8.2,-0.4458412198371673,-27.469942591799192,-1.9500930226153148,1.3229411764705885
1.1984,1.0838,1.7713333333333334,1.3192941176470587,0,92.6,11,8.2,-0.40988621771333156,-27.525941020748977,-1.9320994139471614,1.3192941176470587
1.1977,1.0868,1.7666666666666666,1.3192941176470587,0,92.6,11,8.2,-0.40466460680675737,-27.478043868501608,-1.9207418228357251,1.3192941176470587
1.1982,1.0876,1.7586666666666666,1.3171764705882352,0,92.6,11,8.2,-0.3983045825888865,-27.073932531958842,-1.9080797719828826,1.3171764705882352
1.2063,1.0938,1.7585555555555554,1.3185882352941176,0,92.6,11,8.2,-0.3908336702215345,-26.06341690667529,-1.893778011910398,1.3185882352941176
1.2058,1.0977,1.7523333333333333,1.3103529411764705,0,92.6,11,8.2,-0.3651303802681864,-25.619146068744257,-1.868753628295871,1.3103529411764705
1.2047,1.0952,1.7467777777777778,1.3205882352941178,0,92.6,11,8.2,-0.3930665538367602,-25.99514964037846,-1.881727402664403,1.3205882352941178
1.1612,1.0524,1.6434,1.3371,1,185.9,20,4.7,-0.5089970259269999,-29.953619276483987,-1.915814603536794,1.3371
1.1609,1.0556,1.6394,1.3347,1,185.9,20,4.7,-0.49719546351899985,-29.756451405640462,-1.9003116806532088,1.3347
1.16,1.0564,1.6328,1.3326,1,185.9,20,4.7,-0.490482246312,-29.590044522798255,-1.8889141434713737,1.3326
1.1569,1.0198,1.6232,1.3326,1,185.9,20,4.7,-0.555477359328,-29.82089972048911,-1.9739722070844685,1.3326
1.1566,1.021,1.6185,1.3296,1,185.9,20,4.7,-0.5455542389759999,-29.571657166013775,-1.961415094339623,1.3296
1.1568,1.0192,1.6132,1.3279,1,185.9,20,4.7,-0.544336393167,-29.265847830600492,-1.957990095507605,1.3279
1.1564,1.0098,1.6042,1.325,1,185.9,20,4.7,-0.5533729999999999,-28.88763791064576,-1.9691028055159292,1.325
1.1552,1.009,1.5983,1.3219,1,185.9,20,4.7,-0.5467675959690004,-28.76219902683166,-1.9607828445921887,1.3219
1.1558,1.0104,1.5924,1.3186,1,185.9,20,4.7,-0.5358691768720001,-28.298474687477867,-1.9456149126946671,1.3186
1.1583,1.0365,1.5299,1.2782,0,54.8,19,4.9,-0.3948883095080001,-24.15698895963683,-1.7570919048658082,1.2782
1.1575,1.0363,1.5263,1.2755,0,54.8,19,4.9,-0.3891545398000002,-24.063576526088404,-1.7504813241859958,1.2755
1.1578,1.035,1.5215,1.2735,0,54.8,19,4.9,-0.38679983662500034,-23.79221156980396,-1.7459365277928864,1.2735
1.162,1.0442,1.5272,1.2807,0,54.8,19,4.9,-0.3879055238849998,-23.614112899356808,-1.7385375472717448,1.2807
1.1627,1.0448,1.5226,1.278,0,54.8,19,4.9,-0.38088182880000016,-23.27264825652021,-1.7286875739644971,1.278
1.1614,1.0453,1.517,1.279,0,54.8,19,4.9,-0.3822960417,-23.324305446400242,-1.7236133340519564,1.279
1.1685,1.0594,1.516,1.2729,0,54.8,19,4.9,-0.345928586535,-22.09973521916295,-1.680160209424084,1.2729
1.1694,1.0614,1.5117,1.2706,0,54.8,19,4.9,-0.33773757611200006,-21.778879005824326,-1.66817127681733,1.2706
1.1681,1.0596,1.5066,1.2679,0,54.8,19,4.9,-0.33485691640299986,-21.70692053768627,-1.6640243800791832,1.2679
1.14268899134514,1.04797451155663,1.48915101090723,1.27414552676882,1,332.9,14,2.1,-0.3671766161879891,-25.230454912087023,-1.6879485443097941,1.27414552676882
1.14090133462752,1.04556853530839,1.48198466702635,1.26309056702629,1,332.9,14,2.1,-0.3470341666149365,-24.868025122565626,-1.6719878312703278,1.26309056702629
1.14193629377983,1.04737301749457,1.4747420854446,1.27414552676882,1,332.9,14,2.1,-0.3681531098123253,-24.875782739731832,-1.675163520826861,1.27414552676882
1.15237997249858,1.06619118886477,1.67189277986974,1.29085079926863,1,332.9,14,2.1,-0.3743493620941669,-30.566171792572987,-1.8478646603770774,1.29085079926863
1.15256814688991,1.06378521261652,1.66266801806562,1.27697068314746,1,332.9,14,2.1,-0.3476317670431115,-29.546705840344305,-1.8258248982682301,1.27697068314746
1.15162727493327,1.06292593538501,1.65435810867183,1.28802564288998,1,332.9,14,2.1,-0.37344267852046054,-29.945442687804924,-1.8343819952006613,1.28802564288998
1.15567302434684,1.04969306601967,1.53283521350027,1.28937680463629,1,332.9,14,2.1,-0.3984724284482513,-25.092115685783106,-1.7448086782474375,1.28937680463629
1.15539076275985,1.05166940365215,1.52444906640562,1.27279436502251,1,332.9,14,2.1,-0.3582236526416302,-24.227975546991225,-1.7094628005087977,1.27279436502251
1.15557893715118,1.05063827097433,1.51613915701183,1.28114700127241,1,332.9,14,2.1,-0.3783426551262081,-24.25075461542151,-1.714680600820688,1.28114700127241
