A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.271662315246779,1.64511111111111,2.9648584157108213,0.39084245949651053,-2.020441448801164,13.456044563363857,63.99646624046738,1.29035294117647,2.25549917142095,4.422557655275117
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.25950485209785223,1.639,3.001546531573213,0.3965995793696703,-2.0139428327764906,13.445309605037684,62.17135110191891,1.29647058823529,1.9765790912909322,4.42821731312612
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.25511261627147097,1.633,3.0230360116830566,0.3997394815435523,-1.9937552080866137,13.449827235860452,61.87718469735474,1.29647058823529,1.8832757436925984,4.429081555751881
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.27421327381655747,1.65244444444444,2.9628937239698163,0.40559980488326325,-2.0218860720373026,13.596603492530047,63.70254052228712,1.30588235294118,2.708285914468775,4.4496935444342505
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.2710978335533394,1.64511111111111,2.9836545424811565,0.4087029784463915,-1.9929989374026043,13.615316199719006,63.78009547230081,1.30388235294118,2.6486286132623706,4.448603914733058
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.27564530446712543,1.641,2.980043640329209,0.40644504935442605,-1.9670390390318087,13.647963162204945,65.12223386400518,1.29564705882353,2.811237870643678,4.438877005627402
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.3417636744037742,1.69722222222222,2.7951197919453983,0.40844457338063145,-2.0648296991833965,13.76548932407146,73.8540880797959,1.312,8.498671950513842,4.497851117991057
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.3519263014079752,1.691,2.786302724175982,0.40644391963981935,-2.0189544097220784,13.83073368939087,77.34086794804672,1.29976470588235,11.186489698035523,4.4869856861059105
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.33723501410545653,1.68533333333333,2.8233625913971903,0.4130696292383488,-2.0169738712881733,13.818862595406422,74.26684645303332,1.30788235294118,8.67298321409076,4.49397031439028
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.30257013481894535,1.5304,3.3173282911377764,0.4851899304909578,-1.4417736350886627,13.528741920891362,98.41058003467744,1.2541,6.324585193260157,4.511764283327765
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.3014856187421533,1.5257,3.3371560508261155,0.4907372683006536,-1.422157062688455,13.571176387438554,99.70758897637613,1.2522,6.71255228593269,4.510099983285977
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.2997988054616414,1.5218,3.352176253404871,0.49160887046733476,-1.4100295019687172,13.564560330430306,100.3858942676849,1.2494,6.327789556038002,4.505953151646882
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.3040051849854928,1.5146,3.3784315441549544,0.5097311658655899,-1.3638420306344992,13.804757004418537,106.20608128758852,1.2447,11.785905599627007,4.501481970649895
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.303936296484979,1.5114,3.389919667031604,0.5082988888724885,-1.3543618373670763,13.748852270466822,107.84503467468643,1.2417,10.39266546953137,4.49971675041876
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.30088087892629956,1.5066,3.4127887568741606,0.5131632241946258,-1.3387148485361249,13.77986720112188,108.20661164934052,1.2398,10.13956390753168,4.495913507168609
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.28743844967814813,1.4688,3.6091825348773883,0.5629677565200537,-1.2032900392027845,13.924195235516057,121.13569319598244,1.2251,11.080559225886017,4.484896308415135
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.2887181306535569,1.4643,3.6301890203013554,0.5692464832885294,-1.1837551253939358,13.949019629782118,125.91463068928971,1.221,12.536985447164593,4.481467505663227
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.2864048668671082,1.4603,3.6513287137614103,0.5702946655055315,-1.173345932120015,13.90973130481976,126.90996354629955,1.2183,10.262559360393116,4.477888726723704
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.5836741813441282,1.80544444444444,2.368680860378575,0.4512600204590302,-2.0288233095772195,14.949213718011578,165.19765233803523,1.31082352941177,-4.619882558984856,4.658936987786236
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.5791394250500956,1.79855555555556,2.385169087793266,0.4555553854832249,-2.0065220987227614,14.973713956709659,166.05033774206765,1.31082352941177,-4.605910918225397,4.660666661505864
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.5715214942370437,1.79222222222222,2.403127251012181,0.4570671821123488,-1.9931059862099947,14.956976943120846,162.88530711685985,1.31082352941177,-4.6640082049235785,4.658519002662798
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.5731723512633016,1.79822222222222,2.398895042443721,0.4559976768625573,-2.0231062305939016,14.814491208465327,159.47395383125644,1.31764705882353,-4.729942375066446,4.67434590393779
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.5733973688138088,1.79122222222222,2.408358846213875,0.4580726376204825,-1.994977070368604,14.849111483554125,164.98163193640158,1.31364705882353,-4.676019482972528,4.671906349626903
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.5716049234161789,1.78555555555556,2.4185273983451108,0.4610526047814338,-1.972660345646307,14.898236829987962,167.9080711476668,1.31152941176471,-4.636889392489024,4.669772614255901
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.5707617784963448,1.79111111111111,2.414331341018454,0.46082429411016823,-1.9974269317280382,14.840076771529816,162.52688326356326,1.31717647058824,-4.685153740929746,4.677913578844521
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.5840808572797325,1.78522222222222,2.4016160054971647,0.4570749656377222,-1.9574367090309879,14.92430154913075,182.60349510183622,1.30294117647059,-4.534286414812262,4.663747152729288
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.5759033842035501,1.778,2.4248180680546634,0.4606972099576289,-1.942377773573384,14.885196676835601,179.10806464528108,1.30494117647059,-4.584170457548664,4.66773710351729
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-0.1332699359247027,1.4171063835941,4.060386293814869,0.7117694664827025,-1.1819438517708776,15.594660490042266,57.642370989745444,1.26370473145643,0.6386030036669772,4.380175358227936
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-0.11815504552493561,1.41001627741408,4.133918033642523,0.731399681877853,-1.1765576269376259,15.547509946347454,54.95167861259465,1.27205736770634,0.1350691893683158,4.387572500620232
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-0.11034108245311702,1.40338359743922,4.186016051002304,0.7460637530344103,-1.163783033710816,15.54967693534522,53.95902592667174,1.27205736770634,-0.07510264947051981,4.384458250292462
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-0.17591581877193985,1.4703202987947,3.71472432782809,0.6053218180201267,-1.326697911168036,15.290344493715745,61.35470855458447,1.27181170193428,2.1061604477190246,4.401726767247913
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-0.18241438686261024,1.46193415170005,3.7408450166431324,0.6175706928239673,-1.2844958791065686,15.385789641474384,64.40126750741648,1.26075674219176,2.7123717686356903,4.392974716640436
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-0.1663794683496731,1.45423414391314,3.804838813113266,0.6269652666563897,-1.280602237188977,15.313839766751615,61.22083526695219,1.26628422206302,1.6571212186226756,4.3944933911049
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-0.17200401227056594,1.4539291931097,3.8178572431807747,0.6565127296326438,-1.2578853780090495,15.527996034751492,62.665229176819025,1.27279436502251,2.579498182278113,4.412728246404036
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,-0.16726055699174602,1.44638166072452,3.862314777545891,0.668195300340446,-1.2372113867065082,15.539675799106382,62.54136231829157,1.26996920864386,2.274040948703699,4.408427490508013
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,-0.16256815527169066,1.43845293983503,3.91097828404451,0.68371093058816,-1.214122897206377,15.576083622480855,62.47317854838015,1.26726688515125,2.0513491244951165,4.404376147200126
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,-0.1371031259050075,1.5595555555555554,3.371236540753678,0.3908582813452961,-1.9928109589527099,12.74320403334373,48.760914166516635,1.295294117647059,-0.0765617968696084,4.378301238471947
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,-0.13258257204974022,1.555222222222222,3.3915046212089064,0.3927124135524411,-1.9817150196839541,12.741996854852774,48.39253545480335,1.295294117647059,-0.11676337662128411,4.37721906915473
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,-0.12649735545552265,1.5511111111111109,3.419185692357428,0.39829200193077635,-1.9702074628964135,12.761675825297496,47.76253618206938,1.299294117647059,-0.16143890165240427,4.381980791956963
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,-0.15168711489207487,1.577888888888889,3.293542407931159,0.3840256784022919,-2.0479242427578614,12.797778598100036,49.63277710744815,1.2963529411764707,0.09653760268663047,4.377220666884705
