A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,-0.07448670197143979,-0.6815111111111101,7.164744030100646,1.0854509769687006,3.362574071895423
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,-0.0764938359746874,-0.6752,7.162482449358449,1.0912998715643427,3.3611138235294074
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,-0.07673370180757662,-0.6685,7.149727736513382,1.0919017484744473,3.3548297176470543
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,-0.07850980684461438,-0.6781444444444399,7.233678128841556,1.1089699088909541,3.394088334640522
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,-0.07834640710552096,-0.6699111111111101,7.2091342679245916,1.1081977258046354,3.3836751006535977
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,-0.07642370546996147,-0.6665,7.1628990977414215,1.1010796710765935,3.367453182352942
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,-0.07565005988976777,-0.69692222222222,7.529638324875986,1.1286494668042655,3.4991235999999977
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,-0.07279783239209248,-0.6894,7.468957227798472,1.1193846340599845,3.4782593529411736
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,-0.07552940681827244,-0.68373333333333,7.47211547836825,1.1272480549917272,3.4784159490196083
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,-0.04891156526668485,-0.4968999999999999,7.411323374172962,1.0826197377213498,3.3336034
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,-0.048107989293106494,-0.4910000000000001,7.382949105755754,1.0827773190707,3.32403514
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,-0.0472733760933985,-0.4881,7.361022136260715,1.0796729476676143,3.31490944
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,-0.045800472415747036,-0.47499999999999987,7.259702637305085,1.0851070188679246,3.290465249999999
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,-0.04456462735922628,-0.47260000000000013,7.2670257818385835,1.0802997989949747,3.2872014
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,-0.04399988267346652,-0.46809999999999996,7.232150633719988,1.0795106061876414,3.2756312800000003
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,-0.03684159386097128,-0.4247000000000001,7.086856177419413,1.0731830774393825,3.2108594100000003
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,-0.035427886657728544,-0.4194,7.062375635937981,1.0704110244148,3.2006090699999996
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,-0.034564645983568204,-0.4168999999999998,7.053082202424005,1.0662424257674887,3.19342692
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,-0.05913106845482229,-0.6908444444444399,8.17237921948841,1.2019117356715687,3.788135349019609
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,-0.05938163503699982,-0.6821555555555598,8.155517098724593,1.2036547032696991,3.7803830915032797
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,-0.059935431355277125,-0.67722222222222,8.1379294599443,1.202936819172118,3.7702005882352982
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,-0.06065917075529368,-0.68122222222222,8.278641730424214,1.205513772385849,3.8041648052287567
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,-0.05960986239509277,-0.67262222222222,8.241580502702691,1.203378593071821,3.7913558790849655
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,-0.059228936774384504,-0.6657555555555601,8.20099728479045,1.203516049573156,3.779372785620925
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,-0.06046456104461116,-0.6710111111111099,8.270354622173294,1.207241113416159,3.7986382535947754
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,-0.05618584880045598,-0.6641222222222201,8.170060826895238,1.1958471984782466,3.7721915915032675
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,-0.05683140953371252,-0.6563000000000001,8.187416211687047,1.1971477203296481,3.7695121764705903
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,-0.064065663861945,-0.41811067423386505,6.016805327356837,1.1403807198267328,2.9677381790737627
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,-0.06546769674390959,-0.4117079898390581,6.0249543515689385,1.1474208913338846,2.9683787913030732
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,-0.06505039421671874,-0.40679386432722897,5.998763734986393,1.1468105469522076,2.9575139417853986
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,-0.0698937770203316,-0.46883268546307,6.250509944964345,1.1408630920159506,3.0614221867330023
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,-0.06566765260119735,-0.45812648984332993,6.203085264793807,1.1333752998905107,3.040229724095536
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,-0.0669139724542217,-0.4535198800898701,6.196955579572666,1.1358891248077057,3.034988195736405
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,-0.06726767909407394,-0.44213025299988007,6.219153985207321,1.1528199193905795,3.046015454080277
