A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
1.1455,0.9636,1.64511111111111,1.29035294117647,0,42.2,8,3.2,1.43615112275086,1.64511111111111,-0.0842422962961833,-1.3528017306660738,1.4632111111111101,-27.926093506284683,1.29035294117647,0.9470221388598884
1.145,0.9638,1.639,1.29647058823529,0,42.2,8,3.2,1.4314410480349344,1.639,-0.1005162247351099,-3.875576377044862,1.4578000000000002,-27.038672783206614,1.29647058823529,0.9310433641946787
1.1452,0.9645,1.633,1.29647058823529,0,42.2,8,3.2,1.4259517988124346,1.633,-0.10308861886175968,-0.6760213882105548,1.4523000000000001,-26.222800105972052,1.29647058823529,0.9193308014800858
1.1473,0.9743,1.65244444444444,1.30588235294118,0,42.2,8,3.2,1.4402897624374096,1.65244444444444,-0.07204757652044202,-1.7151522604936682,1.47944444444444,-27.726394148240146,1.30588235294118,0.9217981766169712
1.1474,0.9752,1.64511111111111,1.30388235294118,0,42.2,8,3.2,1.4337729746479955,1.64511111111111,-0.07123070235188922,1.6922651489107656,1.4729111111111102,-26.68959372873485,1.30388235294118,0.9094063852459324
1.1467,0.9745,1.641,1.29564705882353,0,42.2,8,3.2,1.4310630504927182,1.641,-0.061151733387769136,2.387789980488744,1.4687999999999999,-26.260546392862082,1.29564705882353,0.9114923111360984
1.1628,1.0003,1.69722222222222,1.312,0,42.2,8,3.2,1.4595994343156347,1.69722222222222,0.04901059878944136,-1.2530951475108314,1.5347222222222199,-32.157864927464566,1.312,0.924987817936128
1.163,1.0016,1.691,1.29976470588235,0,42.2,8,3.2,1.4539982803095444,1.691,0.07326989440400822,-1.262384443314412,1.5296,-31.017576198582816,1.29976470588235,0.921894799317691
1.1621,1.0016,1.68533333333333,1.30788235294118,0,42.2,8,3.2,1.4502481140464074,1.68533333333333,0.05132535960642981,-1.3068507474168403,1.5248333333333302,-30.0134872098194,1.30788235294118,0.9063873427413611
1.1972,1.0335,1.5304,1.2541,0,58.7,9,0.8,1.2783160708319412,1.5304,0.13946970527756197,-1.2086973649343962,1.3667000000000002,-15.558458944805487,1.2541,0.6752376608673542
1.1966,1.0347,1.5257,1.2522,0,58.7,9,0.8,1.2750292495403643,1.5257,0.1430591630836906,-1.2064546299054288,1.3638,-15.282088425573248,1.2522,0.6705629413444112
1.1962,1.0337,1.5218,1.2494,0,58.7,9,0.8,1.2721952850693865,1.5218,0.1412141555622024,-1.2044822687731807,1.3593000000000004,-15.134323164530343,1.2494,0.6696744110650519
1.1925,1.0396,1.5146,1.2447,0,58.7,9,0.8,1.2701048218029352,1.5146,0.16526287389761407,-1.1992833462468195,1.3617,-14.556726685360031,1.2447,0.6597990384088814
1.194,1.0388,1.5114,1.2417,0,58.7,9,0.8,1.2658291457286432,1.5114,0.16556299467442392,-1.1992597862961978,1.3562000000000003,-14.474536312101394,1.2417,0.6585488144567164
1.1927,1.0385,1.5066,1.2398,0,58.7,9,0.8,1.2631843715938624,1.5066,0.16332948564061112,-1.197261982664473,1.3523999999999996,-14.261862478364643,1.2398,0.6560831273068292
1.1919,1.0441,1.4688,1.2251,0,58.7,9,0.8,1.2323181474955953,1.4688,0.17595533779325678,-1.1921880450364302,1.3210000000000002,-12.660537486530341,1.2251,0.6244405325049024
1.1919,1.0449,1.4643,1.221,0,58.7,9,0.8,1.2285426629750817,1.4643,0.18297154562229156,-1.19187662604467,1.3173,-12.492662658763491,1.221,0.6215870017455718
1.1922,1.0434,1.4603,1.2183,0,58.7,9,0.8,1.2248783761113908,1.4603,0.17892012682776737,-1.192045454634251,1.3115000000000003,-12.404021241829307,1.2183,0.6209837796428626
1.2156,1.1146,1.80544444444444,1.31082352941177,1,424.7,15,1.2,1.485229059266568,1.80544444444444,0.652841430821822,-1.2785383714904515,1.7044444444444402,-40.40171000858108,1.31082352941177,0.8299639375960458
1.2158,1.1164,1.79855555555556,1.31082352941177,1,424.7,15,1.2,1.4793186013781543,1.79855555555556,0.6533990815525732,-1.2880191138856745,1.6991555555555597,-38.33760090828491,1.31082352941177,0.81670746188409
1.215,1.115,1.79222222222222,1.31082352941177,1,424.7,15,1.2,1.4750800182898929,1.79222222222222,0.6391969759395926,-1.2941194156041058,1.69222222222222,-37.03508951355538,1.31082352941177,0.8108830038922317
1.2209,1.117,1.79822222222222,1.31764705882353,1,424.7,15,1.2,1.4728661005997377,1.79822222222222,0.6411225176917104,-1.2893246654830985,1.69432222222222,-38.464400992367786,1.31764705882353,0.806942992782858
1.2211,1.1186,1.79122222222222,1.31364705882353,1,424.7,15,1.2,1.4668923284106297,1.79122222222222,0.6505288582089495,-1.2978820926790198,1.6887222222222202,-36.62087548889185,1.31364705882353,0.7970972404252497
1.2203,1.1198,1.78555555555556,1.31152941176471,1,424.7,15,1.2,1.463210321687749,1.78555555555556,0.6544715556834517,-1.3078686226262637,1.68505555555556,-35.188856057674,1.31152941176471,0.7894200503279836
1.2221,1.1201,1.79111111111111,1.31717647058824,1,424.7,15,1.2,1.465601105565101,1.79111111111111,0.6490547750022186,-1.3019774994586486,1.6891111111111103,-36.39226528847441,1.31717647058824,0.7914898856030477
1.2215,1.1211,1.78522222222222,1.30294117647059,1,424.7,15,1.2,1.4614999772592878,1.78522222222222,0.6822916571090778,-1.3039448677233294,1.68482222222222,-35.07705724307376,1.30294117647059,0.7913300731873504
1.2227,1.1217,1.778,1.30494117647059,1,424.7,15,1.2,1.4541588288214609,1.778,0.6720989291633019,-1.3176472422554955,1.6770000000000003,-33.62472002478622,1.30494117647059,0.7788331490241476
1.1070299441883,0.998995709360235,1.4171063835941,1.26370473145643,0,1.0,17,0.0,1.2800976080490354,1.4171063835941,-0.1192342760893157,-1.1363445067939975,1.3090721487660348,-10.865987235319349,1.26370473145643,0.6519663672028788
1.10674768260131,0.998308287575022,1.41001627741408,1.27205736770634,0,1.0,17,0.0,1.2740178268094176,1.41001627741408,-0.14345462094790662,-1.140955434715789,1.301576882387792,-10.673923593431084,1.27205736770634,0.6434123447431568
1.10543046186201,0.996589733111991,1.40338359743922,1.27205736770634,0,1.0,17,0.0,1.2695358467644644,1.40338359743922,-0.15474659915624356,-1.1371623368892891,1.2945428686892009,-10.514888989048256,1.27205736770634,0.6404026591010884
1.11643866375475,1.00148761333163,1.4703202987947,1.27181170193428,0,1.0,17,0.0,1.3169736471234281,1.4703202987947,-0.0784809186699662,-1.2082847624313646,1.35536924837158,-12.629126999267692,1.27181170193428,0.688919509928994
1.11662683814608,1.00380766185672,1.46193415170005,1.26075674219176,0,1.0,17,0.0,1.309241459866108,1.46193415170005,-0.05675604578332383,-1.1678386416298963,1.34911497541069,-12.288712763672176,1.26075674219176,0.683229074401803
1.11559187899377,1.00071426382327,1.45423414391314,1.26628422206302,0,1.0,17,0.0,1.3035538993209732,1.45423414391314,-0.08462968239780677,-1.1692545138988075,1.3393565287426399,-12.09109648413121,1.26628422206302,0.6778239953408813
1.1170972741244,1.01179894010982,1.4539291931097,1.27279436502251,0,1.0,17,0.0,1.3015242510991842,1.4539291931097,-0.06104086914623452,-1.1753165612542107,1.3486308590951201,-11.796742667199592,1.27279436502251,0.6606787027579731
1.11643866375475,1.01102559060146,1.44638166072452,1.26996920864386,0,1.0,17,0.0,1.2955316827349226,1.44638166072452,-0.06497605806331253,-1.1625726582450613,1.3409685875712298,-11.57306669675149,1.26996920864386,0.6565104198365445
1.11549779179811,1.010767807432,1.43845293983503,1.26726688515125,0,1.0,17,0.0,1.2895166179722664,1.43845293983503,-0.06785304128995784,-1.152179654421972,1.33372295546892,-11.327032776506119,1.26726688515125,0.6515504162314142
1.1347,0.9232,1.5595555555555554,1.295294117647059,0,1.0,1,0.0,1.3744210412933422,1.5595555555555554,-0.2887981396299417,-1.1480842061887437,1.3480555555555553,-21.796178238941323,1.295294117647059,0.8936469406805586
1.1342,0.9227,1.555222222222222,1.295294117647059,0,1.0,1,0.0,1.3712063324124686,1.555222222222222,-0.2935615570855763,-1.1462089438187466,1.3437222222222218,-21.438547955633403,1.295294117647059,0.8883598362719582
1.1339,0.924,1.5511111111111109,1.299294117647059,0,1.0,1,0.0,1.3679434792407716,1.5511111111111109,-0.2999653994627559,-1.1409069917726724,1.3412111111111111,-20.974695278191437,1.299294117647059,0.8768422917895621
1.1331,0.9231,1.577888888888889,1.2963529411764707,0,1.0,1,0.0,1.3925416017023113,1.577888888888889,-0.27754269033722867,-1.152199994922818,1.3678888888888892,-23.484572803370817,1.2963529411764707,0.9232817163754677
1.1333,0.926,1.5723333333333334,1.2922352941176471,0,1.0,1,0.0,1.3873937468749082,1.5723333333333334,-0.26571268212477306,-1.140498131471607,1.3650333333333335,-22.72142016048563,1.2922352941176471,0.9117157435921962
1.133,0.9264,1.5684444444444443,1.2902352941176471,0,1.0,1,0.0,1.3843287241345492,1.5684444444444443,-0.26390868607797624,-1.136358221310984,1.3618444444444444,-22.32204147528093,1.2902352941176471,0.9066083875693409
1.1283,0.9383,1.6076666666666668,1.3058823529411767,0,1.0,1,0.0,1.4248574551685427,1.6076666666666668,-0.2274867814944186,-1.0744338370660533,1.4176666666666666,-25.064181641911663,1.3058823529411767,0.9370904625283165
1.1285,0.9381,1.6011111111111112,1.31,0,1.0,1,0.0,1.4187958450253533,1.6011111111111112,-0.24053487561317088,-1.0857312016947342,1.4107111111111112,-24.351214562497173,1.31,0.9227952443242621
1.1268,0.9395,1.5945555555555555,1.299764705882353,0,1.0,1,0.0,1.4151185264071313,1.5945555555555555,-0.2229310043060797,-1.0665808531458245,1.4072555555555557,-23.515705296666038,1.299764705882353,0.9191911013412271
1.1697,1.0244,1.6688,1.3406,1,465.9,16,2.7,1.426690604428486,1.6688,0.05434432050866178,-0.7220763600269777,1.5235,-25.53465702180075,1.3406,0.8101644397244627
1.1697,1.0231,1.664,1.3394,1,465.9,16,2.7,1.422586988116611,1.664,0.04767659721400297,-0.8119499138427995,1.5174,-25.107926818733247,1.3394,0.8067669807184628
1.1694,1.0249,1.6588,1.3368,1,465.9,16,2.7,1.4185052163502652,1.6588,0.05466267513810874,-0.8635026015592286,1.5143,-24.376763769022194,1.3368,0.7988918092378976
1.1713,1.0101,1.6529,1.3322,1,465.9,16,2.7,1.4111670793135833,1.6529,0.00596277930618716,-0.9322064390034654,1.4917000000000002,-25.116121107984124,1.3322,0.8175024996160803
1.1705,1.0092,1.6481,1.331,1,465.9,16,2.7,1.4080307560871421,1.6481,0.000681598723678789,-0.9641871604439731,1.4868000000000001,-24.637692421602146,1.331,0.8139407076100976
1.1708,1.0083,1.6428,1.3278,1,465.9,16,2.7,1.4031431499829177,1.6428,-0.0007743329788501008,-0.989076015105939,1.4803,-24.170264097895554,1.3278,0.8103390905251596
1.1738,1.0227,1.6395,1.3252,1,465.9,16,2.7,1.396745612540467,1.6395,0.05368755270233683,-0.9789508716058696,1.4884,-22.808287958993333,1.3252,0.7824457360189271
1.1736,1.0215,1.6355,1.3243,1,465.9,16,2.7,1.3935753237900477,1.6355,0.047430320755448285,-0.9926461754720837,1.4834,-22.517771088392156,1.3243,0.7800729430607595
1.1735,1.02,1.6301,1.3217,1,465.9,16,2.7,1.3890924584576056,1.6301,0.0422969887569038,-1.0050789103865596,1.4766000000000001,-22.13785316518011,1.3217,0.7774429590100973
1.1846,1.042,1.5776,1.289,0,73.6,10,6.0,1.3317575552929257,1.5776,0.14287844015826257,-2.134789993558834,1.435,-17.419038481752676,1.289,0.6994679846508742
