B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10096,9193,8204,7765,8995,8838,8182,1,160714594.89969975,-6.5632023678243385,4.436080714778172e+16,-0.00015953688615044626,8204.0,160745543.43392122,4.8240370353325414e+26,-8.639272663667905
10030,9196,8252,7877,9804,9524,8718,1,180924314.92012283,23.365042780647567,-1.654658095204143e+17,-0.0001554176327481333,8252.0,180955999.39513212,-5.883092746731539e+26,28.72787670136107
10098,9214,8202,7761,8870,8664,8374,1,156648654.24976626,-5.225711115157884,3.783765489302364e+16,-0.00014418362559073472,8202.0,156679775.43959004,7.356931647272736e+26,-6.738616854033145
10138,9240,8198,7745,8640,8635,8334,1,154362042.29860508,-3.919547776072175,2.847338719889923e+16,-0.00014188693136755706,8198.0,154393799.45201528,7.732868351471955e+26,-5.109289258047792
10099,9175,8132,7654,8398,8433,8122,1,148161749.8112223,-3.2136162377190534,2.229869585394531e+16,-0.00014312473542333194,8132.0,148193108.4619434,8.469019129368824e+26,-4.272404001749842
10069,9139,8114,7702,8906,9015,8493,1,162643477.16370717,-6.398034420988126,4.529511122882669e+16,-0.00013949500536010668,8114.0,162675674.43863204,1.7165049499272816e+26,-8.156301564734305
10177,9265,8204,7753,8537,8550,8374,1,152175205.26984146,-3.4148631930207944,2.556814273575682e+16,-0.0001369618996882936,8204.0,152207099.458606,8.975385830499214e+26,-4.4576042981454504
10146,9222,8168,7680,8405,8197,8023,1,144458145.34280664,-2.9315586815254164,2.069840661140829e+16,-0.00014462403876739488,8168.0,144488518.4634449,1.1364171090187299e+27,-3.9632084874519045
10073,9184,8100,7643,8477,8160,7964,1,144083965.09572983,-3.22470178590472,2.219530133547107e+16,-0.00014882054034588677,8100.0,144113759.45816857,1.114345543375031e+27,-4.393287029657479
10072,9160,8058,7548,8318,7959,7629,1,139078445.28187782,-2.7460646495612857,1.7621997872075494e+16,-0.00015503681014971353,8058.0,139107401.46619296,1.1628638915707682e+27,-3.890780327002606
