B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
10096,9193,8204,7765,8995,8838,8182,1,8182,-8512.711189216883,1.365227222664491e-15,2875.2851857900214,0.9105586370839936,-131490800.07557435,5245824252072.99,134935063.0,9193.0,11081.177561938663,0.771121050456381
10030,9196,8252,7877,9804,9524,8718,1,8718,-9357.224458159282,5.6600632611216885e-15,3264.465593497028,0.9168494516450648,-147602974.4195349,30807607606168.844,141127578.0,9196.0,11518.36289864939,0.7433016892066191
10098,9214,8202,7761,8870,8664,8374,1,8374,-8392.178085209564,1.2160799257476041e-15,2878.144220660554,0.9124579124579124,-136924312.83344996,4581574619025.914,136518552.0,9214.0,11082.034345950142,0.7527225513326816
10138,9240,8198,7745,8640,8635,8334,1,8334,-8161.738858735766,1.0282172281677661e-15,2792.0186036155887,0.9114223712763859,-138761615.51105937,3566227666536.335,136128510.0,9240.0,10991.905791215406,0.7514319309161581
10099,9175,8132,7654,8398,8433,8122,1,8122,-7903.588007618207,9.60874307878227e-16,2680.394608219948,0.9085057926527379,-132415345.23609549,2911668699455.2373,132408811.0,9175.0,10814.280887417404,0.758770838419346
10069,9139,8114,7702,8906,9015,8493,1,8493,-8452.80770865668,1.2676429439506396e-15,2935.893549580421,0.9076373026119774,-145958215.58137214,4800515303087.47,135819709.0,9139.0,11051.781350481248,0.7307284793547713
10177,9265,8204,7753,8537,8550,8374,1,8374,-8066.90087400073,9.44415487322043e-16,2764.3519080585393,0.9103861648815957,-140390287.95412388,3192139942336.3076,136772969.0,9265.0,10970.237349266477,0.746293248618421
10146,9222,8168,7680,8405,8197,8023,1,8023,-7902.105843435227,9.45905902814506e-16,2651.6079795864703,0.908929627439385,-125485825.45324983,2873842759825.003,132459227.0,9222.0,10821.493645561475,0.7705701769449367
10073,9184,8100,7643,8477,8160,7964,1,7964,-7997.967261016317,1.0423349397579558e-15,2672.0194513630363,0.9117442668519805,-122043886.64824669,3160437555928.15,131079825.0,9184.0,10773.901377837423,0.7716587330689954
10072,9160,8058,7548,8318,7959,7629,1,7629,-7790.833332021093,1.011933829520558e-15,2552.0821740273177,0.90945194598888,-111320094.62204948,2727316928638.352,126740850.0,9160.0,10611.961825843762,0.79148395007336
10169,9255,8185,7749,8481,8505,8323,1,8323,-8028.456761731754,9.31219792713369e-16,2737.9546156647575,0.9101189890844724,-138865877.15274405,3055932576535.338,136229658.0,9255.0,10924.838960639614,0.7493297029739311
10135,9227,8155,7678,8395,8162,7953,1,7953,-7903.235090424385,9.589972597937775e-16,2633.4197442147765,0.910409472126295,-122925216.85267143,2869464003660.905,131925662.0,9227.0,10790.303521407943,0.7767549385229818
10130,9208,8145,7671,8627,8325,8049,1,8049,-8124.139791287822,1.0667663725821067e-15,2731.6886434764947,0.9089832181638697,-124973750.79985218,3497662565036.9214,132396282.0,9208.0,10878.57315821194,0.766228182342666
10180,9295,8274,7853,8642,8570,8294,1,8294,-8201.470222591684,9.98687817293153e-16,2769.4791511493395,0.9130648330058939,-136366521.56715673,3544517950121.8584,138144354.0,9295.0,11045.369265729329,0.7694941126877477
10145,9259,8211,7807,8686,8565,8255,1,8255,-8257.799898204043,1.0598582386629196e-15,2785.360862747889,0.912666338097585,-134324690.29973808,3737942544658.6807,136749743.0,9259.0,10998.24763395697,0.7653796723704938
10250,9365,8267,7863,8496,9203,9241,1,9241,-8079.989013342046,8.008796412598285e-16,2919.594197197635,0.9136585365853659,-184912425.65582874,3030368729346.57,146316839.0,9365.0,11188.47691097876,0.6862162677399232
10224,9309,8261,7890,8600,9400,9391,1,9391,-8212.900769203685,8.384382013262517e-16,2993.5245147850437,0.9105046948356808,-192695027.50959793,3344959864280.779,147560909.0,9309.0,11256.411894128165,0.678803593931371
10225,9308,8222,7789,8304,8830,8902,1,8902,-7865.930103554528,7.782032329527496e-16,2794.745058274743,0.9103178484107579,-168443620.21288002,2602467978901.0225,141855302.0,9308.0,11018.62834284315,0.7035195616626206
10253,9373,8298,7901,8590,9203,9112,1,9112,-8178.191026696708,8.444982954994919e-16,2920.4719325205288,0.9141714620111187,-177819558.06851673,3285903138979.641,146067948.0,9373.0,11220.357200335395,0.7017103108352001
10263,9352,8276,7874,8449,8914,8913,1,8913,-8037.819035447348,8.044007706284612e-16,2835.3904542076048,0.9112345318133099,-167542687.8163775,2897832281531.5186,143836411.0,9352.0,11113.275357314273,0.7123364841410594
10217,9313,8251,7852,8562,9290,9256,1,9256,-8147.102379122667,8.404300178140736e-16,2952.8821117242237,0.9115200156601743,-185824523.29726058,3239084984045.024,145821663.0,9313.0,11205.768036145193,0.6850264684111976
10276,9385,8277,7918,8624,9159,9091,1,9091,-8249.112982596711,8.500525834265669e-16,2928.5658519966223,0.9132931101595951,-175460262.45705974,3345470672580.7637,146310977.0,9385.0,11207.447750234027,0.7014874277201231
10244,9333,8232,7826,8525,9222,9196,1,9196,-8103.709929665275,8.195093199134157e-16,2927.495096450693,0.9110698945724326,-182870139.4562904,3087976652227.001,145025812.0,9333.0,11161.377086520042,0.6838237723964251
10262,9367,8308,7913,8583,9064,9025,1,9025,-8174.104010460533,8.429295370111403e-16,2899.2149318729507,0.9127850321574742,-171945215.75102547,3252139863597.869,145553846.0,9367.0,11209.101834284713,0.7097831082244219
10233,9354,8290,7903,8637,9169,9029,1,9029,-8232.949301873547,8.839102764598168e-16,2921.7056397429856,0.9141014365288772,-173003691.85817173,3455272468214.815,145298840.0,9354.0,11213.591850504134,0.7090397796020251
10261,9369,8305,7940,8639,9302,9224,1,9224,-8258.463810518759,8.486874748223181e-16,2960.537302184053,0.9130689016665042,-183134059.51965803,3422865542945.0635,147646428.0,9369.0,11267.423695115633,0.696655596891562
10286,9391,8344,7936,8682,9525,9538,1,9538,-8256.587421303042,8.218901939753934e-16,3034.282288053491,0.9129885280964418,-199516885.64767155,3502262538210.111,150238617.0,9391.0,11380.170757334301,0.6749002460319428
10306,9410,8347,7970,8700,9369,9310,1,9310,-8306.190217877504,8.3900094948954305e-16,2990.4675040725288,0.9130603531923152,-186591861.88434252,3534605176209.0933,149216510.0,9410.0,11339.354498260012,0.6932918935549541
10272,9415,8361,8017,8831,9805,9820,1,9820,-8466.724414432178,8.74991794965235e-16,3140.458214367888,0.9165693146417445,-214035329.10032734,4084961772056.1523,154225241.0,9415.0,11503.346224711746,0.6644627852084741
10252,9363,8310,7933,8730,9312,9178,1,9178,-8333.061583447587,8.990460536331502e-16,2982.0261538359287,0.9132852126414358,-179615974.11521927,3719343698390.8447,147103846.0,9363.0,11293.913648809703,0.7005652160012861
10296,9418,8391,8043,8850,9502,9385,1,9385,-8482.053994588829,9.053655653577196e-16,3052.240179974868,0.9147241647241647,-189044612.81936765,4102938462037.8467,151250797.0,9418.0,11445.131092796066,0.6983861509386518
