B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10314,9404,8354,7990,8795,9686,9572,1,88147134,-1519052973306472286,-810114842039.38,1.0,-2997583053957.1006,6.978878014826372e-11,8354,994887283508.4894
10301,9403,8342,7969,8694,9482,9403,1,84917059,-1254591677253553645,-807845376577.4723,1.0,-2932583140150.398,2.586535440694825e-10,8342,949208699193.6761
10289,9416,8354,7977,8731,9480,9421,1,85211506,-1239036338920786126,-809182053951.576,1.0,-2947104127707.7627,3.188760424879169e-10,8354,954413760158.0583
10294,9427,8354,7980,8787,9671,9550,1,87638903,-1487268829105897646,-810521008843.0188,1.0,-2986321894009.27,8.097741094016073e-11,8354,987499905080.7996
10274,9389,8349,7921,8676,9415,9422,1,84749422,-1146220528556522001,-805203689514.588,1.0,-2887593857941.1753,8.424072304771256e-10,8349,947787209354.751
10323,9452,8428,8123,9087,9895,9692,1,90987167,-1752266016995924932,-822179207739.3645,1.0,-3198441158247.493,4.2140621101613845e-11,8428,1045511319997.777
10253,9417,8368,8015,8845,9736,9558,1,87989546,-1531893706901169122,-807787274871.3899,1.0,-3029580103478.3975,6.1090516287737e-11,8368,990059226700.3752
10287,9402,8366,8013,8897,9532,9445,1,85881996,-1315751295326852674,-808982264939.0214,1.0,-3030754074555.292,1.4991366850455094e-10,8366,975929384938.7969
10321,9445,8409,8100,9049,9923,9671,1,90548228,-1803780319173032671,-819559234346.2386,1.0,-3176833456643.784,3.9603614384012114e-11,8409,1038773305035.2823
10299,9407,8392,8081,8955,9583,9316,1,83898570,-1339368755841517848,-812875120765.7935,1.0,-3103420427347.6875,1.1026210264535526e-10,8392,953793004610.7626
10275,9382,8354,7981,8866,9547,9334,1,83649907,-1317372491061667318,-805163191778.4219,1.0,-3008570474324.608,1.2009371031126825e-10,8354,950059225882.3796
10311,9420,8421,8087,8973,9621,9359,1,84473001,-1347899124404187579,-817763687784.4412,1.0,-3115757350453.9214,9.575617767483849e-11,8421,962351398577.5138
10679,9919,9198,9181,11995,13078,11378,1,129276098,-6805813123226057024,-974108562697.8799,1.0,-5817672043690.442,4.1367608005448235e-12,9198,1802890259808.7432
10804,10021,9123,8839,10795,11349,10502,1,107318756,-3475483094726046895,-987530078043.4735,1.0,-4596525464925.516,1.094242496362585e-11,9123,1409982022040.6357
10792,10014,9185,9026,11345,11892,10637,1,111464135,-4436937388408426429,-992442858238.2582,1.0,-5104090808533.5625,7.356298641190252e-12,9185,1508223122754.443
10666,9904,9135,8987,11593,12175,10482,1,108330553,-4788612959553019473,-964798827702.3043,1.0,-5270991622190.951,6.154713323041905e-12,9135,1487226702007.6533
10681,9904,9098,8964,11433,11957,10460,1,108019480,-4553758777255011702,-962242036245.1359,1.0,-5122487955444.67,6.854909729779478e-12,9098,1468552764379.732
10683,9937,9201,9194,11850,12716,11118,1,123542473,-5961268066332328935,-976559962523.3173,1.0,-5655792940943.195,4.723193528137848e-12,9201,1700708520203.2605
10769,9987,9105,8761,10910,11487,10543,1,107537374,-3713447871046703343,-979055931904.3672,1.0,-4625630663556.898,9.727512884546704e-12,9105,1434328376330.7754
10810,10000,9078,8745,10584,11537,10869,1,114525398,-3941642716528670922,-981142799818.9323,1.0,-4457456634760.289,9.679650974925333e-12,9078,1488896552203.067
10704,9967,9190,9084,11496,12188,10775,1,114968367,-4812537218640896260,-980260214320.2113,1.0,-5272251861864.619,6.119378338676728e-12,9190,1554575796587.5952
10666,9941,9229,9255,12120,12769,10829,1,117558938,-5862913374180884438,-978365982613.2393,1.0,-5878576194137.692,4.600472364030653e-12,9229,1642578978998.0193
10681,9907,9165,9073,11811,12981,11200,1,124419966,-6547644904369981235,-969621530266.688,1.0,-5623757765155.252,4.429771685189416e-12,9165,1726641442775.7773
10678,9923,9166,9079,11905,13547,11744,1,136910708,-7953874945919859506,-971020484088.0939,1.0,-5814981924746.472,3.713102980685393e-12,9166,1912808744442.7493
10666,9936,9218,9161,11838,13317,11576,1,133354745,-7052467897535127550,-976709590210.5957,1.0,-5766420335209.623,3.928582121885766e-12,9218,1835524760823.5852
10832,9977,9045,8729,10457,11424,10889,1,115139038,-3856411428623843834,-977312740501.6316,1.0,-4367038953482.274,1.0365888402472084e-11,9045,1484852053004.08
10730,9928,9022,8726,10548,11576,10933,1,116304052,-4043649283755142594,-960904913958.4236,1.0,-4425475630522.407,9.043136269477557e-12,9022,1499497398164.438
10621,9892,9133,9058,11768,12403,10737,1,114487797,-5272322850045878483,-959351513328.5518,1.0,-5450708929910.497,5.3901682547277456e-12,9133,1577685801662.524
10605,9931,9270,9272,12060,12614,10700,1,114521441,-5087241121560502230,-976108537186.4738,1.0,-5806018752800.416,4.7976734174409716e-12,9270,1579595187378.6409
10639,9849,9123,9068,11890,12720,10841,1,116941086,-6006527633685595413,-955753199786.0049,1.0,-5608619136598.088,4.751790358641373e-12,9123,1629609986739.7249
10631,9875,9116,9060,11735,12946,11229,1,125472031,-6537987210758981509,-956820788893.0469,1.0,-5555539850764.741,4.453686481174743e-12,9116,1725579843956.7996
10675,9950,9228,9263,12095,13011,11243,1,126809110,-6540281699178379822,-979972210986.5352,1.0,-5916756684942.976,4.2019099854873704e-12,9228,1768603955051.704
10759,9917,8922,8534,10079,11140,10884,1,114247965,-3452098147217088258,-951766963223.2079,1.0,-4014821191162.302,1.283208584992639e-11,8922,1439806732643.2656
10655,9791,8845,8618,10947,11823,10195,1,101632782,-4792200381593313205,-922557797646.9022,1.0,-4644278750205.679,7.914781098956748e-12,8845,1370645659506.741
10599,9732,8759,8469,10100,11323,10330,1,103722267,-3778241460288490441,-903309363643.9441,1.0,-4036287306174.856,1.0633659428502137e-11,8759,1304164524958.3286
10651,9912,9171,9115,11806,12836,11245,1,125830753,-6207439692610656429,-968018580256.7273,1.0,-5601312413491.982,4.548034146588714e-12,9171,1733785592339.183
10627,9877,9122,9088,11857,12765,11068,1,122134591,-6182601655084697338,-957283847864.1588,1.0,-5601387690103.694,4.653741234639839e-12,9122,1692130032252.5254
10634,9768,8849,8620,10831,11659,10295,1,103638617,-4445556416008360351,-918992027621.4957,1.0,-4543829454200.489,8.366891608993681e-12,8849,1379506396691.0781
10585,9785,9022,8949,11575,12366,10726,1,114273968,-5450529327074638208,-934262707292.7944,1.0,-5265403862705.139,5.447953484375388e-12,9022,1562372638134.5044
10610,9732,8858,8609,12516,12499,9888,1,95319197,-6453037738805207398,-914467866447.9696,1.0,-5653092236231.58,5.35904213906801e-12,8858,1465757678377.6743
10692,9914,9048,8828,10798,11671,10746,1,113122056,-4102589177965573800,-958904934419.222,1.0,-4634296395502.849,8.32252617854464e-12,9048,1473476974818.6843
10706,9917,8954,8634,10226,11020,10621,1,109416259,-3106884528652891054,-950475796889.447,1.0,-4124608918456.4805,1.3914393101128591e-11,8954,1379261948958.6104
10626,9746,8819,8589,10442,11502,10191,1,101521585,-4045498236894071719,-913125916898.1472,1.0,-4310274537087.6855,9.399190017115468e-12,8819,1306675538555.4883
10590,9733,8785,8511,10121,11292,10328,1,103846818,-3656359185182465735,-905314395158.6908,1.0,-4062783365268.3237,1.0705521819557441e-11,8785,1301397828236.9675
10672,9827,8872,8687,11022,12621,10782,1,114266496,-6459613351816678328,-930257114476.7817,1.0,-4882641418341.66,5.714653360408569e-12,8872,1541286395764.0684
10559,9703,8782,8549,12068,12699,10299,1,103678879,-6994340099983698545,-899574041896.4846,1.0,-5396320676101.975,5.162829763555461e-12,8782,1539057249448.7375
10537,9661,8743,8534,10964,11957,10308,1,104109673,-5143699332813929153,-889844113046.6986,1.0,-4615151456689.409,7.061710922683949e-12,8743,1404023407477.6565
10614,9834,9074,9024,11678,12402,10796,1,116023802,-5487505414880587726,-946940709354.857,1.0,-5377509438278.656,5.3398784001538955e-12,9074,1592115355615.591
10576,9833,9106,9081,11725,12204,10621,1,112549985,-4863971972789162864,-946779632319.8223,1.0,-5390616051581.287,5.650161121201821e-12,9106,1536163582726.51
10679,9832,8888,8651,10727,11796,10659,1,111097576,-4746230458446413992,-933026440752.8002,1.0,-4527150120263.812,7.940270858474753e-12,8888,1464325905629.2612
10630,9907,9186,9206,12007,12844,11120,1,123887219,-6156806231685293534,-967201061199.0776,1.0,-5781367423370.781,4.427569999553857e-12,9186,1718109774428.9136
10614,9861,9115,9057,11748,12748,11189,1,124555144,-6121817505603653267,-953831601745.713,1.0,-5506888515150.524,4.660942693360359e-12,9115,1712651092193.6492
10667,9833,8896,8726,11274,12220,10275,1,103838043,-5549208416033178779,-932906803737.8978,1.0,-4967332980009.714,6.5903228609211386e-12,8896,1427214378731.874
10649,9810,8841,8631,10673,11662,10206,1,102028203,-4417927918142952759,-923409284197.255,1.0,-4481352856373.238,8.787404174241882e-12,8841,1339075529943.3064
10641,9778,8854,8652,10952,11625,10087,1,99718956,-4375780364666461136,-921058254198.5018,1.0,-4627693930439.481,8.573643236143575e-12,8854,1339246136965.892
10644,9806,8883,8675,10644,11595,10314,1,104242467,-4188480393650752773,-926982721190.6909,1.0,-4471982843022.392,8.87189410853289e-12,8883,1356764038035.6475
10628,9792,8842,8620,10433,11571,10455,1,106995298,-4202089908805678838,-920001621184.4219,1.0,-4324437482796.9663,9.063452996424233e-12,8842,1370750196642.8523
10647,9816,8871,8617,10442,11658,10609,1,109865605,-4334173755707183961,-926937996725.3684,1.0,-4337935182550.482,8.672699704109041e-12,8871,1410546028602.5356
10653,9926,9247,9326,12347,13080,11136,1,124900776,-6563071863657750497,-977601998001.4493,1.0,-6130706562067.558,3.988160475835564e-12,9247,1763969054836.7185
10640,9791,8867,8668,10868,11997,10554,1,109296101,-5099636833385758891,-923550985511.6394,1.0,-4653686204673.285,7.135403827455369e-12,8867,1452608994344.9104
10707,9834,8917,8716,11190,12292,10442,1,106945846,-5704843506998030003,-938712350958.8226,1.0,-4929749056154.455,6.39843599631271e-12,8917,1465029940324.562
10672,9875,8937,8642,10373,11174,10620,1,109660887,-3394059691013091063,-941653512621.673,1.0,-4222766806452.0347,1.1761640591528348e-11,8937,1397035589858.6104
10633,9837,8978,8813,10903,11646,10591,1,110431333,-4176730459650459217,-938888890017.8572,1.0,-4674886844112.122,8.116055750243144e-12,8978,1448425496214.1145
10573,9810,9059,9033,11696,12566,10940,1,119409323,-5785634958614278141,-939424612124.7086,1.0,-5423013925914.585,4.961362378297608e-12,9059,1633766460310.0564
10591,9816,9036,8953,11532,12422,11007,1,120250612,-5626852100668829844,-939209447075.1538,1.0,-5244502394748.454,5.306685749732152e-12,9036,1637582967030.012
