B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11
10096,9193,8204,7765,8995,8838,8182,1,1.0,8838.0,-25143089734.0,82845417.0,8182.0,92802251.56419536,1.1224013340743113,3.106921125017915e-16,-9.145726993286958e-13,1.255999368513263e-16,2331.0
10030,9196,8252,7877,9804,9524,8718,1,1.0,9524.0,-52181615655.0,82786888.0,8718.0,92225554.16376296,1.023051815585859,1.5463910101809683e-15,-7.915949677735953e-13,1.0958602652070818e-16,2153.0
10098,9214,8202,7761,8870,8664,8374,1,1.0,8664.0,-36922884205.0,82841330.0,8374.0,93032632.82138285,1.1384441939117096,2.7472090786546367e-16,-9.401122063372597e-13,1.306436609334793e-16,2337.0
10138,9240,8198,7745,8640,8635,8334,1,1.0,8635.0,-35331160947.0,83128599.0,8334.0,93664975.0357293,1.1733796296302899,2.2058959456975166e-16,-9.71468034969112e-13,1.3048708688137095e-16,2393.0
10099,9175,8132,7654,8398,8433,8122,1,1.0,8433.0,-27417160591.0,82141899.0,8122.0,92648266.78340545,1.2025482257686235,1.9791145171832474e-16,-1.0269762814513587e-12,1.378719493905207e-16,2445.0
10069,9139,8114,7702,8906,9015,8493,1,1.0,9015.0,-46922736989.0,81717787.0,8493.0,92010642.72495715,1.1305861217151687,2.9547785147845374e-16,-9.323686203797615e-13,1.2136485254881565e-16,2367.0
10177,9265,8204,7753,8537,8550,8374,1,1.0,8550.0,-37327675875.0,83509195.0,8374.0,94279742.36996175,1.192104954901879,1.9887086619013574e-16,-9.89057002543193e-13,1.3207635359857476e-16,2424.0
10146,9222,8168,7680,8405,8197,8023,1,1.0,8197.0,-20230944649.0,82889130.0,8023.0,93556007.3578817,1.2071386079715012,1.9350256413367985e-16,-1.0358276746766076e-12,1.4457601755029223e-16,2466.0
10073,9184,8100,7643,8477,8160,7964,1,1.0,8160.0,-18751340579.0,81607937.0,7964.0,92499966.49782538,1.1882741535919195,2.1903215108335598e-16,-1.0449129872194858e-12,1.480121777784449e-16,2430.0
10072,9160,8058,7548,8318,7959,7629,1,1.0,7959.0,-4614738234.0,81176453.0,7629.0,92248992.43805821,1.2108679971152014,2.049485917149471e-16,-1.093690044467023e-12,1.5561330670986627e-16,2524.0
10169,9255,8185,7749,8481,8505,8323,1,1.0,8505.0,-34466959924.0,83250251.0,8323.0,94103953.58063543,1.1990331328852335,1.9381827202015549e-16,-1.0021477343608452e-12,1.3368779214905404e-16,2420.0
10135,9227,8155,7678,8395,8162,7953,1,1.0,8162.0,-16211694570.0,82667482.0,7953.0,93505219.47702485,1.2072662298978685,1.9499362920252247e-16,-1.0433661079768958e-12,1.461352865128464e-16,2457.0
10130,9208,8145,7671,8627,8325,8049,1,1.0,8325.0,-22243104341.0,82525802.0,8049.0,93266541.35975471,1.1742204706151824,2.3045689839213016e-16,-1.0058007439092384e-12,1.4060736615034151e-16,2459.0
10180,9295,8274,7853,8642,8570,8294,1,1.0,8570.0,-27196278747.0,84246532.0,8294.0,94612833.34700698,1.1779680629479117,2.0826939246998904e-16,-9.566467891145882e-13,1.3138305575800162e-16,2327.0
10145,9259,8211,7807,8686,8565,8255,1,1.0,8565.0,-27305244721.0,83317846.0,8255.0,93922265.55640921,1.1679714483070711,2.263934991406313e-16,-9.657182327091818e-13,1.3244558777700655e-16,2338.0
10250,9365,8267,7863,8496,9203,9241,1,1.0,9203.0,-85197268936.0,84754449.0,9241.0,95981786.48644762,1.2064500941614824,1.6911005961183889e-16,-9.45073686185257e-13,1.1238104882547678e-16,2387.0
10224,9309,8261,7890,8600,9400,9391,1,1.0,9400.0,-93440383276.0,84478464.0,9391.0,95165861.21367721,1.1888372093017097,1.822264377932567e-16,-9.173696139787117e-13,1.0826858164517563e-16,2334.0
10225,9308,8222,7789,8304,8830,8902,1,1.0,8830.0,-67524045344.0,84087084.0,8902.0,95164683.08763744,1.2313342967245262,1.5846358779822217e-16,-9.977212267122871e-13,1.2267353598157478e-16,2436.0
10253,9373,8298,7901,8590,9203,9112,1,1.0,9203.0,-75597626168.0,85097187.0,9112.0,96091797.97165845,1.1935972060528002,1.787628823740989e-16,-9.264903802236561e-13,1.1231520378594878e-16,2352.0
10263,9352,8276,7874,8449,8914,8913,1,1.0,8914.0,-64417852452.0,84953951.0,8913.0,95969847.35362795,1.214699964491956,1.6575088981990021e-16,-9.626297382300412e-13,1.1948262990790055e-16,2389.0
10217,9313,8251,7852,8562,9290,9256,1,1.0,9290.0,-86562062437.0,84318319.0,9256.0,95141503.70970272,1.1932959588884842,1.80991808337221e-16,-9.32051101796717e-13,1.1099960083414393e-16,2365.0
10276,9385,8277,7918,8624,9159,9091,1,1.0,9159.0,-73540892352.0,85072235.0,9091.0,96430583.26848559,1.1915584415582998,1.8178166458288207e-16,-9.301822552493842e-13,1.1288979291459148e-16,2358.0
10244,9333,8232,7826,8525,9222,9196,1,1.0,9222.0,-83907379351.0,84346355.0,9196.0,95597781.2970977,1.201642228739729,1.758306646178298e-16,-9.476385680236694e-13,1.1204955715072167e-16,2418.0
10262,9367,8308,7913,8583,9064,9025,1,1.0,9064.0,-69628493883.0,85274343.0,9025.0,96114435.58108757,1.1956192473498959,1.7764952941021546e-16,-9.313383653842576e-13,1.1558326527658575e-16,2349.0
10233,9354,8290,7903,8637,9169,9029,1,1.0,9169.0,-70327023664.0,84849376.0,9029.0,95709841.75598975,1.1847863841612707,1.8848487016984315e-16,-9.230835104524002e-13,1.135923544093214e-16,2330.0
10261,9369,8305,7940,8639,9302,9224,1,1.0,9302.0,-80947963500.0,85235546.0,9224.0,96125778.401891,1.187753212177995,1.8164499035245368e-16,-9.119328501973754e-13,1.0976588600820119e-16,2321.0
10286,9391,8344,7936,8682,9525,9538,1,1.0,9525.0,-100894094824.0,85844591.0,9538.0,96586449.4532267,1.1847500575895538,1.7917600209715362e-16,-8.897630470533737e-13,1.041782454621698e-16,2350.0
10306,9410,8347,7970,8700,9369,9310,1,1.0,9369.0,-85117986994.0,86042251.0,9310.0,96969888.96446128,1.1845977011489595,1.8089633972034687e-16,-8.953348861046215e-13,1.0725873876388161e-16,2336.0
10272,9415,8361,8017,8831,9805,9820,1,1.0,9805.0,-115882917964.0,85902828.0,9820.0,96701627.53542806,1.1631751783497748,1.960677473561549e-16,-8.557315848296451e-13,9.85814835187798e-17,2255.0
10252,9363,8310,7933,8730,9312,9178,1,1.0,9312.0,-78350929823.0,85212162.0,9178.0,95979863.79625167,1.1743413516614964,1.957825033630201e-16,-9.006074666692673e-13,1.0972257612797398e-16,2319.0
10296,9418,8391,8043,8850,9502,9385,1,1.0,9502.0,-86813758212.0,86412088.0,9385.0,96958137.55147624,1.1633898305080947,1.985819907036307e-16,-8.61458995004751e-13,1.0447978599335999e-16,2253.0
10350,9485,8446,8127,8980,9640,9593,1,1.0,9640.0,-96826537784.0,87434720.0,9593.0,98160107.6995816,1.1525612472159992,2.0478126673921437e-16,-8.333832185535282e-13,1.0045340995430958e-16,2223.0
10276,9373,8318,7930,8676,9430,9336,1,1.0,9430.0,-88416150448.0,85493874.0,9336.0,96307492.71687375,1.1844167819272116,1.8287317438607792e-16,-8.994386179291273e-13,1.0649473437569907e-16,2346.0
10314,9404,8354,7990,8795,9686,9572,1,1.0,9686.0,-100995019091.0,86181637.0,9572.0,96983489.87782024,1.1727117680493393,1.885078851528523e-16,-8.667699591408142e-13,1.0019751374099312e-16,2324.0
10301,9403,8342,7969,8694,9482,9403,1,1.0,9482.0,-91066095079.0,85949118.0,9403.0,96850857.14077702,1.1848401196220948,1.795826186212454e-16,-8.906070325044701e-13,1.0481928010204794e-16,2332.0
10289,9416,8354,7977,8731,9480,9421,1,1.0,9480.0,-91885352856.0,85972517.0,9421.0,96871746.99780713,1.1784446226083674,1.851167695632756e-16,-8.852051199982885e-13,1.0510824300860979e-16,2312.0
10294,9427,8354,7980,8787,9671,9550,1,1.0,9671.0,-99978208919.0,86014534.0,9550.0,97032184.05512711,1.171503357232723,1.903359865470408e-16,-8.709127186642254e-13,1.0089953308401457e-16,2314.0
10274,9389,8349,7921,8676,9415,9422,1,1.0,9415.0,-94176084791.0,85795717.0,9422.0,96453117.50715944,1.1841862609489908,1.8127823408687586e-16,-8.955338054642789e-13,1.0687594065133002e-16,2353.0
10323,9452,8428,8123,9087,9895,9692,1,1.0,9895.0,-103527509991.0,87021226.0,9692.0,97563515.07153751,1.1360184879504232,2.2806769893961095e-16,-8.12732369563552e-13,9.584212721539949e-17,2200.0
10253,9417,8368,8015,8845,9736,9558,1,1.0,9736.0,-99122648077.0,85815685.0,9558.0,96543185.42758146,1.1591859807795117,2.0286895815640208e-16,-8.565418264633295e-13,1.003546057095867e-16,2238.0
10287,9402,8366,8013,8897,9532,9445,1,1.0,9532.0,-91946078824.0,86079471.0,9445.0,96708771.37929255,1.1562324379010533,2.0922414335572162e-16,-8.605727152210711e-13,1.0400488755386137e-16,2274.0
10321,9445,8409,8100,9049,9923,9671,1,1.0,9923.0,-103073290630.0,86808261.0,9671.0,97472432.17968446,1.1405680185653182,2.223991382130926e-16,-8.190031934887858e-13,9.533899533894274e-17,2221.0
10299,9407,8392,8081,8955,9583,9316,1,1.0,9583.0,-80648643581.0,86447746.0,9316.0,96873067.98521008,1.1500837520943605,2.1502981682439218e-16,-8.444336999204702e-13,1.0266115318049719e-16,2218.0
10275,9382,8354,7981,8866,9547,9334,1,1.0,9547.0,-86181157292.0,85855763.0,9334.0,96390507.00546412,1.158921723437743,2.0790338013321775e-16,-8.650603462200741e-13,1.0392066759741455e-16,2294.0
10311,9420,8421,8087,8973,9621,9359,1,1.0,9621.0,-83188232484.0,86847525.0,9359.0,97120002.54331364,1.1491140086927771,2.1391941301560626e-16,-8.360194789370176e-13,1.0161487850842455e-16,2224.0
10679,9919,9198,9181,11995,13078,11378,1,1.0,13078.0,-185186779243.0,98250515.0,11378.0,105915205.65743898,0.8902876198408194,-1.7395172869571664e-16,-4.391118769644914e-13,5.126920621508971e-17,1498.0
10804,10021,9123,8839,10795,11349,10502,1,1.0,11349.0,-129926711024.0,98587036.0,10502.0,108256606.58341166,1.0008337193139596,3.8941798711860004e-14,-5.524840909738228e-13,6.651426752098825e-17,1965.0
10792,10014,9185,9026,11345,11892,10637,1,1.0,11892.0,-131246014899.0,99147757.0,10637.0,108060791.61839752,0.9512560599378048,-4.2253320080076245e-16,-5.00178032398766e-13,6.071351455118988e-17,1766.0
10666,9904,9135,8987,11593,12175,10482,1,1.0,12175.0,-120745400396.0,97457678.0,10482.0,105625907.09697787,0.9200379539379355,-2.6142598628253235e-16,-4.837722906925314e-13,5.930045459666532e-17,1679.0
10681,9904,9098,8964,11433,11957,10460,1,1.0,11957.0,-120208508702.0,97199128.0,10460.0,105774410.29943572,0.9342254876228253,-3.238167489345827e-16,-5.002373681924213e-13,6.130990476837746e-17,1717.0
