B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2
10096,9193,8204,7765,8995,8838,8182,1,8.961044555263056e-09,8667.819188667096
10030,9196,8252,7877,9804,9524,8718,1,5.203464519358223e-09,8644.852608861242
10098,9214,8202,7761,8870,8664,8374,1,9.478374084755466e-09,8668.058755315038
10138,9240,8198,7745,8640,8635,8334,1,1.1173721114289069e-08,8677.495674628792
10099,9175,8132,7654,8398,8433,8122,1,1.4156828670699626e-08,8639.851580872746
10069,9139,8114,7702,8906,9015,8493,1,8.133507802400217e-09,8548.038950921838
10177,9265,8204,7753,8537,8550,8374,1,1.2393434424443695e-08,8681.235134786535
10146,9222,8168,7680,8405,8197,8023,1,1.7105334852844477e-08,8687.008333333333
10073,9184,8100,7643,8477,8160,7964,1,1.5743359825007188e-08,8584.32552662567
10072,9160,8058,7548,8318,7959,7629,1,2.2851494648903513e-08,8602.45945945946
10169,9255,8185,7749,8481,8505,8323,1,1.3219837623501862e-08,8645.531681507293
10135,9227,8155,7678,8395,8162,7953,1,1.806486823582858e-08,8661.633889033603
10130,9208,8145,7671,8627,8325,8049,1,1.3351952112509473e-08,8648.289010559249
10180,9295,8274,7853,8642,8570,8294,1,1.2244376023982622e-08,8717.569845918757
10145,9259,8211,7807,8686,8565,8255,1,1.168364969379783e-08,8635.906366081723
10250,9365,8267,7863,8496,9203,9241,1,9.011038708678848e-09,8691.757471702913
10224,9309,8261,7890,8600,9400,9391,1,7.90143765468608e-09,8649.444993662864
10225,9308,8222,7789,8304,8830,8902,1,1.1598211306846022e-08,8679.070997560664
10253,9373,8298,7901,8590,9203,9112,1,8.947851967284554e-09,8714.947981268193
10263,9352,8276,7874,8449,8914,8913,1,1.084446634157151e-08,8698.5237490475
10217,9313,8251,7852,8562,9290,9256,1,8.37536739823186e-09,8670.27521650535
10276,9385,8277,7918,8624,9159,9091,1,9.066676598301048e-09,8652.276963879767
10244,9333,8232,7826,8525,9222,9196,1,8.833865915728926e-09,8659.062611806798
10262,9367,8308,7913,8583,9064,9025,1,9.499412186533634e-09,8722.717553393151
10233,9354,8290,7903,8637,9169,9029,1,8.898958792637013e-09,8695.950904719728
10261,9369,8305,7940,8639,9302,9224,1,8.42784693875449e-09,8686.778967254408
10286,9391,8344,7936,8682,9525,9538,1,7.479332501119523e-09,8772.975806451614
10306,9410,8347,7970,8700,9369,9310,1,8.125727459929077e-09,8741.832998745294
10272,9415,8361,8017,8831,9805,9820,1,6.464036161384508e-09,8719.760633653486
10252,9363,8310,7933,8730,9312,9178,1,8.09594469687502e-09,8704.916172948444
10296,9418,8391,8043,8850,9502,9385,1,7.369178716034055e-09,8754.057068258113
10350,9485,8446,8127,8980,9640,9593,1,6.780247725469336e-09,8777.521348591117
10276,9373,8318,7930,8676,9430,9336,1,7.915279737923849e-09,8724.984110970998
10314,9404,8354,7990,8795,9686,9572,1,7.041184710982868e-09,8734.582728410513
10301,9403,8342,7969,8694,9482,9403,1,7.809281095743459e-09,8732.458777763835
10289,9416,8354,7977,8731,9480,9421,1,7.639055001750146e-09,8748.817349880906
10294,9427,8354,7980,8787,9671,9550,1,7.074392734496145e-09,8745.528320802005
10274,9389,8349,7921,8676,9415,9422,1,7.76605898081057e-09,8800.126372932711
10323,9452,8428,8123,9087,9895,9692,1,6.104067753512136e-09,8744.452049735319
