B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10096,9193,8204,7765,8995,8838,8182,1,-0.003135972486935539,71383645.0,17397.0,-881404837108.5054,14491.521983344386,8205.009456122387,-381295127.9241351
10030,9196,8252,7877,9804,9524,8718,1,0.0017376414367366842,72436892.0,17448.0,-1021423688629.3828,14893.393523011886,8253.01609102925,-429385306.05508447
10098,9214,8202,7761,8870,8664,8374,1,0.04745568359118015,71509854.0,17416.0,-850441799224.0664,14862.18066972738,8203.012541856926,-354847832.90934
10138,9240,8198,7745,8640,8635,8334,1,-0.004898722843327346,71563800.0,17438.0,-829827772393.2623,14937.3548122595,8199.000305250305,-345257736.6281091
10099,9175,8132,7654,8398,8433,8122,1,-0.0022311053062263214,70225450.0,17307.0,-787203523509.6539,14686.086621908811,8132.997824330205,-332374993.73597246
10069,9139,8114,7702,8906,9015,8493,1,0.01115118948605322,70388578.0,17253.0,-890636611380.4528,14940.786546059957,8114.993479691332,-362419885.51538265
10177,9265,8204,7753,8537,8550,8374,1,-0.0056274461447266685,71831545.0,17469.0,-815914843801.3809,15078.80376405401,8204.999202600748,-334050733.1257312
10146,9222,8168,7680,8405,8197,8023,1,-0.0020880878355197547,70824960.0,17390.0,-769017943285.3188,14547.02289022281,8169.013100711722,-326337811.9784625
10073,9184,8100,7643,8477,8160,7964,1,-0.002318198189490203,70193312.0,17284.0,-764183691615.9747,14327.807439807406,8101.020059482376,-327008118.93425214
10072,9160,8058,7548,8318,7959,7629,1,-0.001224067113684505,69139680.0,17218.0,-733148930687.7494,13824.920029640565,8059.023150835107,-324294209.0693209
10169,9255,8185,7749,8481,8505,8323,1,-0.0038655963069091086,71716995.0,17440.0,-805898891468.6525,15025.031485079528,8185.998523440384,-331320633.3752767
10135,9227,8155,7678,8395,8162,7953,1,-0.001745691277382679,70844906.0,17382.0,-762752420071.8792,14425.648726640806,8156.014709595959,-327295712.03262866
10130,9208,8145,7671,8627,8325,8049,1,-0.0028684491827184982,70634568.0,17353.0,-800344334668.4292,14402.375732249397,8146.01887971993,-338364965.7650336
10180,9295,8274,7853,8642,8570,8294,1,-0.002798407711509997,72993635.0,17569.0,-825697627658.2378,15000.297431150197,8275.004384095475,-350094076.64874184
10145,9259,8211,7807,8686,8565,8255,1,-0.0031749350069366533,72285013.0,17470.0,-826926275674.6947,14827.2376855601,8212.007390666993,-349327636.01868415
10250,9365,8267,7863,8496,9203,9241,1,0.0016532404722945121,73636995.0,17632.0,-877129256351.0394,16707.45797190575,8267.958572600492,-326790953.2584613
