B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
10096,9193,8204,7765,8995,8838,8182,1,19267,84511249,72496856,-126898449.02751715,-7.777718841724652e-16,-1.2925168616817134e+19,560477198264.0236,10096.0,1.1287426239501877e-08,-3411894.0,-3013520129004922.5,7765.0
10030,9196,8252,7877,9804,9524,8718,1,19692,84566416,78582018,-119845239.06172282,-2.9597017877409836e-15,-1.3543718279433005e+19,611109758962.735,10030.0,1.1341768457031045e-08,-7331838.0,-3213890570893542.5,7877.0
10098,9214,8202,7761,8870,8664,8374,1,19484,84897796,71052030,-129653730.6260026,-6.858700991343354e-16,-1.357312212853286e+19,576736798981.2466,10098.0,1.1504681072093683e-08,-5133262.0,-3199194429290517.5,7761.0
10138,9240,8198,7745,8640,8635,8334,1,19514,85377600,70779592,-130070188.81289634,-5.923642123591635e-16,-1.381369592147113e+19,560429160566.8837,10138.0,1.1809465042781097e-08,-4908726.0,-3249751183921820.5,7745.0
10099,9175,8132,7654,8398,8433,8122,1,19264,84180625,68567057,-129882557.41705574,-5.708035429499397e-16,-1.32458726697771e+19,534874009267.3715,10099.0,1.1925595179584936e-08,-3801096.0,-3122381479525855.5,7654.0
10069,9139,8114,7702,8906,9015,8493,1,19587,83521321,73137641,-120526390.57892078,-7.085150719525732e-16,-1.3948960688370672e+19,552392903404.4779,10069.0,1.2374121727171783e-08,-6717963.0,-3338695189288692.0,7702.0
10177,9265,8204,7753,8537,8550,8374,1,19612,85840225,70134023,-131728568.65165588,-5.489150643080597e-16,-1.4192011513611366e+19,562760266516.2816,10177.0,1.1880679161154183e-08,-5200254.0,-3336735098852879.0,7753.0
10146,9222,8168,7680,8405,8197,8023,1,19223,85045284,66942950,-135484618.51445827,-5.6781219282197915e-16,-1.3154587792174643e+19,548846669342.7547,10146.0,1.1218280116453952e-08,-2751889.0,-3067271356675041.0,7680.0
10073,9184,8100,7643,8477,8160,7964,1,19121,84345856,66085927,-133223103.54391398,-6.13860533807522e-16,-1.2575134219104434e+19,542816841308.82355,10073.0,1.1052619425027015e-08,-2556444.0,-2946145894076170.5,7643.0
10072,9160,8058,7548,8318,7959,7629,1,18803,83905600,64123550,-134515887.72614613,-6.174831615242154e-16,-1.1922506297910546e+19,517705229953.76404,10072.0,1.062768743082107e-08,-617949.0,-2775989141686529.5,7548.0
10169,9255,8185,7749,8481,8505,8323,1,19562,85655025,69603256,-131580627.34233448,-5.445977583778762e-16,-1.3953144322755242e+19,556019480185.6173,10169.0,1.18814098690063e-08,-4777402.0,-3274402557753435.0,7749.0
10135,9227,8155,7678,8395,8162,7953,1,19160,85137529,66550975,-135675619.53505152,-5.756188932901254e-16,-1.2844430104720284e+19,544005165201.65094,10135.0,1.1057457786841014e-08,-2187075.0,-2985613163352343.5,7678.0
10130,9208,8145,7671,8627,8325,8049,1,19242,84787264,67796995,-132376588.92164285,-6.261110150556661e-16,-1.3144465096284275e+19,553349676698.027,10130.0,1.1062651973609166e-08,-3042522.0,-3075045083937388.5,7671.0
