B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10096,9193,8204,7765,8995,8838,8182,1,73620730.23882452,8189.209521833744,-3.262331867480266e-11,2.919387156818251e+32,8204.0,3.537486929826421,0.0013153810479636374
10030,9196,8252,7877,9804,9524,8718,1,85498007.96203557,8555.418487242669,5.527966498576523e-10,3.1043038149718215e+32,8252.0,-1.4061039023080981,-0.02578812935433176
10098,9214,8202,7761,8870,8664,8374,1,74301372.87902457,8320.239495191852,2.5592032024207287e-10,3.2642906599116065e+32,8202.0,1.3209159262815566,-0.010502913655775927
10138,9240,8198,7745,8640,8635,8334,1,72029201.88641605,8289.437253004211,2.079353498302758e-10,3.7017506510277985e+32,8198.0,0.4797767999065131,-0.008345490447320919
10099,9175,8132,7654,8398,8433,8122,1,68231052.24050221,8125.280535298086,-1.6541525178406757e-11,3.6681191315442474e+32,8132.0,0.33956807405462824,0.0006286402423855891
10069,9139,8114,7702,8906,9015,8493,1,75663124.02211577,8353.241965490879,5.30447703562837e-10,3.2847816794020496e+32,8114.0,1.555313159785987,-0.0222693496374902
10177,9265,8204,7753,8537,8550,8374,1,71512169.56354627,8318.752365102631,2.6402457222357985e-10,4.1263456719665054e+32,8204.0,0.21666504844475756,-0.010545330257542264
10146,9222,8168,7680,8405,8197,8023,1,67455488.2301927,8065.332917760197,-2.511490275735711e-10,3.56853579182845e+32,8168.0,0.4563949428446266,0.00938077248559288
10073,9184,8100,7643,8477,8160,7964,1,67533093.24475467,8003.02187156352,-2.3635491785741017e-10,3.0543702699144453e+32,8100.0,0.6995226431425431,0.008855974697215151
10072,9160,8058,7548,8318,7959,7629,1,63479113.516675614,7750.265630479412,-8.158502446433974e-10,2.6792787586904007e+32,8058.0,0.7855476880932667,0.028675536873835825
10169,9255,8185,7749,8481,8505,8323,1,70610476.28379722,8278.30687363063,2.184389811139134e-10,4.225340199570678e+32,8185.0,0.19840345860780953,-0.00861062569778166
10135,9227,8155,7678,8395,8162,7953,1,66787429.183340296,8011.173255129929,-3.5475470864871716e-10,3.4796828838990094e+32,8155.0,0.5179763402324361,0.013137585457031078
10130,9208,8145,7671,8627,8325,8049,1,69461376.13228665,8077.802566944173,-1.5953258879620465e-10,2.9916508097762328e+32,8145.0,0.9331914886804736,0.006118961697824143
10180,9295,8274,7853,8642,8570,8294,1,71699992.71770273,8287.95485358551,3.116277065701494e-11,4.1447195492255285e+32,8274.0,0.5065076627549677,-0.0012346717888388457
10145,9259,8211,7807,8686,8565,8255,1,71726222.70995994,8241.456539382038,6.86149886213306e-11,3.696700539137052e+32,8211.0,0.705291500688574,-0.0027226792924305897
10250,9365,8267,7863,8496,9203,9241,1,78537113.65915616,8843.100243764922,1.2511951343784277e-09,7.391586314016077e+32,8267.0,-0.8669683412693614,-0.05621286744064559
10224,9309,8261,7890,8600,9400,9391,1,80788791.74693884,8914.57423984864,1.3951768632555498e-09,7.289645297439385e+32,8261.0,-1.0985023840920562,-0.06369155596459149
10225,9308,8222,7789,8304,8830,8902,1,73946524.0249428,8642.616310208567,9.72782570228896e-10,7.24048104620757e+32,8222.0,-0.6127120895817333,-0.04089052321889219
10253,9373,8298,7901,8590,9203,9112,1,78297449.1200928,8791.941392648725,1.054537051645051e-09,6.732810068923255e+32,8298.0,-0.6584247429024246,-0.046915081272906486
10263,9352,8276,7874,8449,8914,8913,1,75330479.2251513,8677.116649285203,8.910735522791942e-10,6.972743696750846e+32,8276.0,-0.518216055531983,-0.03791126351243578
10217,9313,8251,7852,8562,9290,9256,1,79275639.70866953,8839.708785642912,1.274063336475695e-09,6.797730176036104e+32,8251.0,-0.9128675186522907,-0.057360974681797273
10276,9385,8277,7918,8624,9159,9091,1,78426155.33118136,8775.335382822503,1.0612030257059595e-09,6.601098577391329e+32,8277.0,-0.605384828613811,-0.04722486688169544
10244,9333,8232,7826,8525,9222,9196,1,78421425.26258548,8794.525930937676,1.2403585053439813e-09,6.670081555323751e+32,8232.0,-0.8259686775906202,-0.05554244935763271
10262,9367,8308,7913,8583,9064,9025,1,77486658.95375213,8757.601305261463,9.587947911145245e-10,6.621114927632073e+32,8308.0,-0.559195204031252,-0.04192184197615323
10233,9354,8290,7903,8637,9169,9029,1,78008721.67385033,8745.861058195733,9.681974025162818e-10,6.2030172258485794e+32,8290.0,-0.5329830884284552,-0.04272900522664922
10261,9369,8305,7940,8639,9302,9224,1,79711886.78185058,8857.59971321674,1.1621939142180038e-09,7.089093445093088e+32,8305.0,-0.7868814029216274,-0.05237180769359065
10286,9391,8344,7936,8682,9525,9538,1,82835565.47617802,9030.726200521893,1.40952758326318e-09,7.670352215563557e+32,8344.0,-1.1939255408010316,-0.06637736226022213
10306,9410,8347,7970,8700,9369,9310,1,81023029.2956162,8924.430571424853,1.1883682781355282e-09,7.243051907710532e+32,8347.0,-0.8431362938193647,-0.05446946089423571
10272,9415,8361,8017,8831,9805,9820,1,86748189.07945247,9182.317400086471,1.5979306830769156e-09,8.288248286432241e+32,8361.0,-1.6573837921387555,-0.07881229543148094
10252,9363,8310,7933,8730,9312,9178,1,80149739.22211745,8837.529490466066,1.0914305051277859e-09,6.316152870347913e+32,8310.0,-0.683260942328511,-0.04938345872117815
10296,9418,8391,8043,8850,9502,9385,1,83083756.2246829,8994.995252105777,1.1854514989114538e-09,7.151143409276133e+32,8391.0,-0.9055871779819029,-0.05532106223290642
10350,9485,8446,8127,8980,9640,9593,1,86172403.29763786,9143.455398002743,1.2996649737494927e-09,7.738658114948546e+32,8446.0,-1.1692422256812136,-0.06293890873984205
10276,9373,8318,7930,8676,9430,9336,1,81025236.46726955,8913.724492287292,1.2464481644327098e-09,7.092946180945816e+32,8318.0,-0.923791374428121,-0.05719556043169017
10314,9404,8354,7990,8795,9686,9572,1,84212662.45975937,9044.12531345341,1.399004310078636e-09,7.636312542139085e+32,8354.0,-1.2292047262658832,-0.0665918978576241
10301,9403,8342,7969,8694,9482,9403,1,81775966.55713561,8961.284766371127,1.2803038750386006e-09,7.581296657063676e+32,8342.0,-0.9790397711050204,-0.05929333323586403
10289,9416,8354,7977,8731,9480,9421,1,82281177.16231577,8984.289992655875,1.2762418425812687e-09,7.406802659616793e+32,8354.0,-0.9879681178102994,-0.059639652474539895
10294,9427,8354,7980,8787,9671,9550,1,83942750.88155477,9034.900162665135,1.3695197694370854e-09,7.503490686247181e+32,8354.0,-1.156641514623917,-0.0655657632946387
10274,9389,8349,7921,8676,9415,9422,1,81771598.1474141,8982.09609342782,1.297128762596219e-09,7.189602025252606e+32,8349.0,-1.0355036798088493,-0.060324549333674725
10323,9452,8428,8123,9087,9895,9692,1,88098995.68404402,9166.378403280445,1.3665051114106521e-09,7.471673290510794e+32,8428.0,-1.5462548955530728,-0.06752855768567724
10253,9417,8368,8015,8845,9736,9558,1,84567592.51889695,9053.523191596183,1.3457413035901328e-09,7.450134225167912e+32,8368.0,-1.1966201404882293,-0.06471800139944174
