B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8
10096,9193,8204,7765,8995,8838,8182,1,0.9716185851462936,8582.264752812718,1.4591940138792579e-12,602238506195.905,7765.0,0.0007143027981535756,46200300636.89525,-9295312.527042331
10030,9196,8252,7877,9804,9524,8718,1,1.0040308786052772,9431.518778892678,1.1100609423953956e-12,745210479691.707,7877.0,0.00042920003042596125,191606486155.63626,-4396912.88660228
10098,9214,8202,7761,8870,8664,8374,1,1.040119253681707,9452.286776342753,1.4403103907522055e-12,622067454320.2028,7761.0,0.0008077327531728567,41592284311.17955,-7740540.178901213
10138,9240,8198,7745,8640,8635,8334,1,1.0357941968279938,9275.506241050352,1.4948096128888803e-12,600164316680.8296,7745.0,0.001002157647355669,36011045736.28284,-8372247.582513042
10099,9175,8132,7654,8398,8433,8122,1,1.019711249751957,7558.194738770344,1.6385254479400576e-12,554055930987.8754,7654.0,0.001219925816269673,33015238692.796352,-9662126.651962541
10069,9139,8114,7702,8906,9015,8493,1,1.0327091576574026,9011.279984775125,1.3300845421099132e-12,642468024655.6741,7702.0,0.0007095962248227852,41874956285.951126,-5904790.157737117
10177,9265,8204,7753,8537,8550,8374,1,1.056123106064794,9350.299695956513,1.5148882956372992e-12,598716220473.6714,7753.0,0.0011566117675140231,32877906055.747196,-8255776.6991813
10146,9222,8168,7680,8405,8197,8023,1,1.0215177111794225,10005.529274255818,1.7319825580356125e-12,541083009546.42365,7680.0,0.0012923146819904675,32619102126.985703,-11057882.625594744
10073,9184,8100,7643,8477,8160,7964,1,1.0159459249333604,10083.417524958368,1.7422774295231826e-12,537720734089.80774,7643.0,0.0011230721305308694,33014124923.608578,-11205180.207843153
10072,9160,8058,7548,8318,7959,7629,1,0.9683930057437603,10121.664002402795,1.9591512493507615e-12,484182716276.10876,7548.0,0.0012316368139964069,34123827508.89648,-14024888.899610521
10169,9255,8185,7749,8481,8505,8323,1,1.0494263153361043,9324.576195632773,1.5510043617031917e-12,587566736869.5082,7749.0,0.0012446873102610807,30559973834.69992,-8626314.822222235
10135,9227,8155,7678,8395,8162,7953,1,1.0083682138229684,10010.061122989517,1.7718113729184895e-12,531050352816.17926,7678.0,0.0013119955489893122,31927427867.047756,-11755935.78338644
10130,9208,8145,7671,8627,8325,8049,1,1.012835045413428,10091.054884195892,1.6488132462321794e-12,558977831797.297,7671.0,0.0009638508801688719,37101265062.689316,-10672883.07519521
10180,9295,8274,7853,8642,8570,8294,1,1.0202977124718218,9082.484378628717,1.5415590236018392e-12,594555563417.2485,7853.0,0.0011613891711144929,31383301249.9317,-9305045.054375742
10145,9259,8211,7807,8686,8565,8255,1,1.0170013682451364,9267.763278328166,1.5401052009552497e-12,591975459899.0204,7807.0,0.0010369741659676688,31825161320.553802,-9296808.389608886
10250,9365,8267,7863,8496,9203,9241,1,1.1809584815855745,8662.003432273219,1.1777559183741348e-12,725601488707.6498,7863.0,0.001349755617501608,29742985674.11282,-1161622.8137563935
10224,9309,8261,7890,8600,9400,9391,1,1.1888846842708336,8482.450894253721,1.1068162449125024e-12,758519144463.2233,7890.0,0.0011821995804614923,28288172017.494858,762956.1092553098
10225,9308,8222,7789,8304,8830,8902,1,1.1535570965326576,8858.932620143372,1.3406278545797467e-12,658128677768.7345,7789.0,0.0017128280684779382,28074189857.509964,-3779398.8022650164
10253,9373,8298,7901,8590,9203,9112,1,1.1401401545437715,8762.198876527187,1.203872273503742e-12,713290793722.931,7901.0,0.0012460441135258,30239815774.52473,-2446852.517765956
10263,9352,8276,7874,8449,8914,8913,1,1.1318095381061466,8948.129270273113,1.3161904769233403e-12,671275570379.2601,7874.0,0.0015362253806908528,27237085053.101402,-4105932.321180177
10217,9313,8251,7852,8562,9290,9256,1,1.1737256047693,8577.20851051375,1.1523680311197299e-12,733613175537.3623,7852.0,0.00119043648326991,30399089476.444416,-531278.509472561
10276,9385,8277,7918,8624,9159,9091,1,1.1383671569526095,8862.248597914071,1.2130640947549457e-12,712816763035.6486,7918.0,0.0012245111311742472,27330547601.891506,-2759626.4386941907
10244,9333,8232,7826,8525,9222,9196,1,1.1711665968411227,8633.091927778689,1.1772565365096578e-12,721004387036.1082,7826.0,0.0012140527301604145,30561069439.05287,-1279057.0127954988
10262,9367,8308,7913,8583,9064,9025,1,1.1349346220141738,8912.142322117099,1.2489243213956172e-12,699165683737.746,7913.0,0.001303006151941089,28971562004.385086,-3203954.304942641
10233,9354,8290,7903,8637,9169,9029,1,1.1225910871932177,8824.87711984499,1.224266355016749e-12,704187617652.1183,7903.0,0.0011742861787274559,30104849086.557976,-3040594.382266343
10261,9369,8305,7940,8639,9302,9224,1,1.1504115885038868,8697.768871218956,1.1614229134543364e-12,735101512978.2378,7940.0,0.0012211443137276614,27950003694.83236,-1358957.1630832178
10286,9391,8344,7936,8682,9525,9538,1,1.203836945825725,8522.136619496558,1.0549943718492047e-12,789911014432.7225,7936.0,0.001116857711820875,33024831241.138783,1380081.9427821431
