B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6
10288,9484,8653,8495,11111,13069,10940,1,-17.91641015605893,10792676.551386416,-518918819688.6931,-3.1816561596689788e+16,10288.0,-4.591726104490864e+26
10191,9335,8373,8031,9871,10651,9576,1,-30.137615419426393,11401240.064753888,-194412201204.21298,-2.515878404258578e+16,10191.0,-1.8902260951940908e+26
10227,9348,8428,8085,10426,10759,9348,1,-22.739950653021683,10483409.266108388,-264188621020.60605,-2.6466392905229944e+16,10227.0,-2.4559845309271202e+26
10202,9314,8370,8023,10180,10760,9338,1,-31.182110803009525,10833187.976475447,-264391882647.67838,-2.5526014846304376e+16,10202.0,-2.2175572339876955e+26
10237,9373,8421,8122,10083,11005,10038,1,-18.740642440524475,11767709.479890283,-181378024502.8939,-2.6457362164207504e+16,10237.0,-2.376482248508121e+26
10205,9303,8307,7905,9375,10212,9304,1,-69.97288384081396,11632970.224279026,-153928309353.62918,-2.3377621240805544e+16,10205.0,-1.2597502902796343e+26
10271,9368,8408,8100,9776,10896,9918,1,-30.89968429202699,11785701.42139359,-181326610982.30896,-2.5679466077309704e+16,10271.0,-1.9280955898411907e+26
10176,9295,8310,7928,9392,9871,9055,1,-55.29915485257074,11166331.395223945,-133648366458.14954,-2.3364198116934572e+16,10176.0,-1.1473604931788338e+26
10199,9332,8352,8011,9614,10010,9062,1,-46.859755494535335,11070121.9278571,-160174830411.98746,-2.4306145396326336e+16,10199.0,-1.3464866349565881e+26
10171,9303,8302,7942,9608,10551,9613,1,-34.22014993771215,12058778.915797677,-165049433897.9388,-2.4111031026166924e+16,10171.0,-1.654731758815664e+26
10196,9330,8361,8059,9989,11503,10211,1,-27.30009026548729,12249873.581921062,-254879510480.17877,-2.587868556162044e+16,10196.0,-2.4991891512843486e+26
10232,9337,8365,8002,9552,9952,9039,1,-53.935714362627216,10938809.944874464,-152940099331.08908,-2.418013776865291e+16,10232.0,-1.278198313345251e+26
10197,9298,8303,7939,9758,10873,9744,1,-33.51048948445397,12111965.002156228,-206382025651.25623,-2.4447366379357984e+16,10197.0,-1.97980306290745e+26
10194,9304,8328,7961,9488,9976,9038,1,-62.06354957951883,11005867.559794895,-156900538945.63443,-2.373240921289052e+16,10194.0,-1.2402275862917608e+26
10188,9287,8301,7924,9579,10461,9474,1,-41.773139148850355,11671789.590389194,-172331694027.9503,-2.3868603938091804e+16,10188.0,-1.582600099253695e+26
