B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10096,9193,8204,7765,8995,8838,8182,1,6.081256915275472e-20,-650300578404.7834,-7765.055971721121,82827584.0,-7.624944724543355e-13,2.631667211155988e-11,0.0001047626892977487
10030,9196,8252,7877,9804,9524,8718,1,5.023462922521766e-20,-813863261022.701,-7877.105215833889,82767560.0,-5.939818923718819e-13,1.2082099291795242e-10,9.612243078469986e-05
10098,9214,8202,7761,8870,8664,8374,1,6.219403510641217e-20,-643391022818.5459,-7761.080225914511,82823796.0,-7.812212616360585e-13,2.3688957195653466e-11,0.00011157146588170375
10138,9240,8198,7745,8640,8635,8334,1,6.268560675202255e-20,-621625485550.7578,-7745.07754291345,83111324.0,-8.37267423416686e-13,1.993237299318605e-11,0.00011178610678002237
10099,9175,8132,7654,8398,8433,8122,1,6.724035879656689e-20,-575063707405.0063,-7654.063424224715,82125068.0,-9.109450064546048e-13,1.809293612807412e-11,0.00011422488235607087
10069,9139,8114,7702,8906,9015,8493,1,5.627255273803476e-20,-681734663202.7465,-7702.102613150764,81699866.0,-7.687593330938877e-13,2.582601620954092e-11,0.00010451632507268409
10177,9265,8204,7753,8537,8550,8374,1,6.33955995801867e-20,-611086823674.6449,-7753.081457859633,83492108.0,-8.611604047969852e-13,1.8307243727184937e-11,0.00011456745977951301
10146,9222,8168,7680,8405,8197,8023,1,7.083462703280379e-20,-552611211816.0968,-7680.047035641107,82872528.0,-9.151875579313745e-13,1.7296371582565295e-11,0.00011942379929319248
10073,9184,8100,7643,8477,8160,7964,1,7.266572297928256e-20,-550748630315.057,-7643.044207987009,81591300.0,-9.012769562046839e-13,1.886755355780464e-11,0.00011962285991537732
10072,9160,8058,7548,8318,7959,7629,1,7.67803114109388e-20,-504926334168.5903,-7548.01167448274,81160176.0,-9.67010126208497e-13,1.7475118414206026e-11,0.00012045273992707497
10169,9255,8185,7749,8481,8505,8323,1,6.509825019111362e-20,-600203894619.3254,-7749.075776374373,83233265.0,-8.786296077575188e-13,1.790096342707512e-11,0.00011507804884640824
10135,9227,8155,7678,8395,8162,7953,1,7.241754259636983e-20,-544800218265.9091,-7678.0379808730795,82650925.0,-9.230212565052577e-13,1.7318614902451892e-11,0.00011939937243659868
10130,9208,8145,7671,8627,8325,8049,1,6.718742548023561e-20,-577934296777.4846,-7671.051664711332,82508850.0,-8.569098848882759e-13,1.9744654807407603e-11,0.00011615414263289768
10180,9295,8274,7853,8642,8570,8294,1,6.632548088518892e-20,-614123898053.2413,-7853.058233506584,84229320.0,-8.375564989267708e-13,1.9016508480162506e-11,0.00011294371954880733
10145,9259,8211,7807,8686,8565,8255,1,6.611169183925794e-20,-613989973015.4535,-7807.059463285808,83300595.0,-8.30593022157011e-13,2.0153310104501702e-11,0.00011254379870611639
10250,9365,8267,7863,8496,9203,9241,1,5.1519673398493927e-20,-722398311090.2015,-7863.163209836985,84736750.0,-8.275497841464361e-13,1.7617790253049293e-11,0.00010912319244013398
10224,9309,8261,7890,8600,9400,9391,1,4.982565581883749e-20,-759022870745.2837,-7890.1755442716685,84460464.0,-7.942794649333038e-13,1.8993320281550458e-11,0.0001062945659709215
10225,9308,8222,7789,8304,8830,8902,1,5.757428689220104e-20,-652593768011.4808,-7789.137345525845,84069950.0,-8.931350800344076e-13,1.6267881723046025e-11,0.00011418965187086416
10253,9373,8298,7901,8590,9203,9112,1,5.26504393496227e-20,-720192429602.5193,-7901.145379366621,85079394.0,-8.107037196232203e-13,1.8262355075118226e-11,0.00010759973386589078
10263,9352,8276,7874,8449,8914,8913,1,5.709439223092165e-20,-671134189296.3922,-7874.127926780952,84936588.0,-8.547019906886126e-13,1.6808945739283906e-11,0.00011218578516787849
10217,9313,8251,7852,8562,9290,9256,1,5.0841009047636085e-20,-736086910020.1622,-7852.16640928411,84300467.0,-8.099662603158088e-13,1.8672453694234512e-11,0.00010726244849795589
