B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10294,9427,8354,7980,8787,9671,9550,1,5.793300879661545,8354.0,-62002511.0,9174.999998466596,105966436.0,1790576458094.0,1719531945294.0
10274,9389,8349,7921,8676,9415,9422,1,5.141731279943881,8349.0,-59628040.00000001,8992.999998483472,105555076.0,1748721420094.0,1666999759626.0
10323,9452,8428,8123,9087,9895,9692,1,7.734060176860965,8428.0,-67045444.00000001,9385.99999876716,106564329.0,1854836526447.0,1775744679379.0
10253,9417,8368,8015,8845,9736,9558,1,6.248049824172593,8368.0,-63348234.00000001,9203.999998542882,105124009.0,1789642663841.0,1720586935829.0
10287,9402,8366,8013,8897,9532,9445,1,6.0286485296787875,8366.0,-62614005.00000001,9090.999998863897,105822369.0,1777943934072.0,1677467712387.0
10321,9445,8409,8100,9049,9923,9671,1,7.440257534282117,8409.0,-66321059.999999985,9360.999998738313,106523041.0,1845967357475.0,1766748482811.0
10299,9407,8392,8081,8955,9583,9316,1,5.942281308904413,8392.0,-62639587.99999999,9003.999999228121,106069401.0,1761750987507.0,1632826733083.0
10275,9382,8354,7981,8866,9547,9334,1,5.636832518098077,8354.0,-61275415.999999985,8959.999999024294,105575625.0,1750108209075.0,1634786415059.0
10311,9420,8421,8087,8973,9621,9359,1,5.979581922593632,8421.0,-63082273.00000001,9023.999999181928,106316721.0,1774936447368.0,1650212208351.0
10679,9919,9198,9181,11995,13078,11378,1,-4.030653169385224,9198.0,-117514822.00000001,11360.000001164422,114041041.0,2662675087747.0,2568205351471.0
10804,10021,9123,8839,10795,11349,10502,1,-82.30681933942904,9123.0,-92736988.99999999,10217.000000551992,116726416.0,2361858474932.0,2210472354972.0
10792,10014,9185,9026,11345,11892,10637,1,-11.294212367513554,9185.0,-101547303.99999999,10477.000001371864,116467264.0,2451895821728.0,2266083472324.0
