B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
10296,9418,8391,8043,8850,9502,9385,1,667932824405.9115,96627960.0,852619255488.0,75748974.0,9385.0,1.0,9418.0,-56812266.94672864,-90.24038461538461,8391.0
10350,9485,8446,8127,8980,9640,9593,1,700002255637.9269,99287550.0,870584557500.0,77084595.0,9593.0,1.0,9485.0,-57832210.3282027,99.92708333333333,8446.0
10276,9373,8318,7930,8676,9430,9336,1,642227202408.9086,95936736.0,837377675680.0,74327890.0,9336.0,1.0,9373.0,-57316967.89612888,-48.123711340206185,8318.0
10314,9404,8354,7990,8795,9686,9572,1,672545327420.9281,98725608.0,849964982040.0,75137960.0,9572.0,1.0,9404.0,-58457234.07277951,151.93650793650792,8354.0
10301,9403,8342,7969,8694,9482,9403,1,651366346152.9128,96860303.0,845595379369.0,74932507.0,9403.0,1.0,9403.0,-57803716.11975546,-54.35260115606936,8342.0
10289,9416,8354,7977,8731,9480,9421,1,656049206637.9158,96932669.0,844473307017.0,75111432.0,9421.0,1.0,9416.0,-57651872.088640176,-82.64035087719299,8354.0
10294,9427,8354,7980,8787,9671,9550,1,669550165750.9279,98307700.0,845612159280.0,75227460.0,9550.0,1.0,9427.0,-58218638.209241085,151.5873015873016,8354.0
10274,9389,8349,7921,8676,9415,9422,1,647407488462.9171,96801628.0,836101756996.0,74370269.0,9422.0,1.0,9389.0,-58014849.459576,-97.1340206185567,8349.0
10323,9452,8428,8123,9087,9895,9692,1,715302329884.9388,100050516.0,865622044467.0,76778596.0,9692.0,1.0,9452.0,-57598821.740151875,29.105105105105107,8428.0
10253,9417,8368,8015,8845,9736,9558,1,677494179918.9324,97998174.0,842568932135.0,75477255.0,9558.0,1.0,9417.0,-57501511.09739483,70.8,8368.0
10287,9402,8366,8013,8897,9532,9445,1,673252567985.9182,97160715.0,847954642797.0,75338226.0,9445.0,1.0,9402.0,-56908039.17612957,224.88095238095238,8366.0
10321,9445,8409,8100,9049,9923,9671,1,708754495838.9371,99814391.0,862836632100.0,76504500.0,9671.0,1.0,9445.0,-57656169.64323939,32.34448160535117,8409.0
10299,9407,8392,8081,8955,9583,9316,1,674059692380.9045,95945484.0,857146829481.0,76017967.0,9316.0,1.0,9407.0,-55769601.795281224,-85.46788990825688,8392.0
10275,9382,8354,7981,8866,9547,9334,1,660373686180.9086,95906850.0,842599063125.0,74877742.0,9334.0,1.0,9382.0,-56367374.60881015,-166.67857142857142,8354.0
10311,9420,8421,8087,8973,9621,9359,1,679036058701.9077,96500649.0,859783322727.0,76179540.0,9359.0,1.0,9420.0,-56167541.70947631,-141.8030303030303,8421.0
10679,9919,9198,9181,11995,13078,11378,1,1252893191871.0657,121505662.0,1047010797421.0,91066339.0,11378.0,1.0,9919.0,-53380851.24777125,3.238827213208084,9198.0
10804,10021,9123,8839,10795,11349,10502,1,1001955912400.9722,113463608.0,1031744791024.0,88575619.0,10502.0,1.0,10021.0,-58533157.16135044,6.3494558645707375,9123.0
10792,10014,9185,9026,11345,11892,10637,1,1089113675749.9857,114794504.0,1051233524864.0,90386364.0,10637.0,1.0,10014.0,-55489992.15568862,4.9154343807763405,9185.0
10666,9904,9135,8987,11593,12175,10482,1,1091968890768.9828,111801012.0,1022393077772.0,89007248.0,10482.0,1.0,9904.0,-52015997.856486045,4.327828241123039,9135.0
10681,9904,9098,8964,11433,11957,10460,1,1071885675800.9792,111723260.0,1022646833604.0,88779456.0,10460.0,1.0,9904.0,-52798895.3220488,4.653024911032029,9098.0
10683,9937,9201,9194,11850,12716,11118,1,1211175085489.0408,118773594.0,1049278939866.0,91360778.0,11118.0,1.0,9937.0,-52938442.18845777,3.596894208993853,9201.0
10769,9987,9105,8761,10910,11487,10543,1,1007612854820.9791,113537567.0,1016025093721.0,87496107.0,10543.0,1.0,9987.0,-58187847.5623284,5.482579303172127,9105.0
10810,10000,9078,8745,10584,11537,10869,1,1005885397762.0055,117493890.0,1021906594500.0,87450000.0,10869.0,1.0,10000.0,-62074180.808327824,5.726554267650158,9078.0
10704,9967,9190,9084,11496,12188,10775,1,1125114283226.0066,115335600.0,1040804895744.0,90540228.0,10775.0,1.0,9967.0,-54104496.947769314,4.339508658880387,9190.0
10666,9941,9229,9255,12120,12769,10829,1,1214579914458.0154,115502114.0,1052881710780.0,92003955.0,10829.0,1.0,9941.0,-49682669.36450319,3.576287978863937,9229.0
10681,9907,9165,9073,11811,12981,11200,1,1200085835201.0486,119627200.0,1035081963553.0,89886211.0,11200.0,1.0,9907.0,-54138341.86579379,3.4387473134786615,9165.0
10678,9923,9166,9079,11905,13547,11744,1,1269230639105.0999,125402432.0,1035184711036.0,90090917.0,11744.0,1.0,9923.0,-56148049.265546575,3.0174717368961974,9166.0
10666,9936,9218,9161,11838,13317,11576,1,1255269617577.0854,123469616.0,1042187936516.0,91023696.0,11576.0,1.0,9936.0,-55363382.87437622,3.227209367159186,9218.0
10832,9977,9045,8729,10457,11424,10889,1,993820736481.0054,117949648.0,1024192983296.0,87089233.0,10889.0,1.0,9977.0,-62994662.97915976,6.100280112044818,9045.0
10730,9928,9022,8726,10548,11576,10933,1,1006176202162.019,117311090.0,1004649685400.0,86631728.0,10933.0,1.0,9928.0,-61531285.12103746,5.3990123456790124,9022.0
10621,9892,9133,9058,11768,12403,10737,1,1144391570515.011,114037677.0,1021793496178.0,89601736.0,10737.0,1.0,9892.0,-51369236.12788788,3.799363057324841,9133.0
10605,9931,9270,9272,12060,12614,10700,1,1196363939801.009,113473500.0,1042784983800.0,92080232.0,10700.0,1.0,9931.0,-48927879.61165049,3.7114117238987165,9270.0
10639,9849,9123,9068,11890,12720,10841,1,1168745227081.019,115337399.0,1026391694828.0,89310732.0,10841.0,1.0,9849.0,-51265362.377945855,3.5849867724867726,9123.0
10631,9875,9116,9060,11735,12946,11229,1,1193737787173.0564,119375499.0,1023944538660.0,89467500.0,11229.0,1.0,9875.0,-53882854.143264584,3.4307974335472045,9116.0
10675,9950,9228,9263,12095,13011,11243,1,1259500549088.0532,120019025.0,1055570954375.0,92166850.0,11243.0,1.0,9950.0,-51757858.97469657,3.306764705882353,9228.0
10759,9917,8922,8534,10079,11140,10884,1,936061288585.0117,117100956.0,987862395254.0,84631678.0,10884.0,1.0,9917.0,-64625467.62743779,6.517365269461078,8922.0
10655,9791,8845,8618,10947,11823,10195,1,961700365050.9569,108627725.0,978393137450.0,84378838.0,10195.0,1.0,9791.0,-54247320.67439231,5.454788657035848,8845.0
10599,9732,8759,8469,10100,11323,10330,1,883486679000.9747,109487670.0,951397305669.0,82420308.0,10330.0,1.0,9732.0,-59038010.339079805,7.584434654919236,8759.0
10651,9912,9171,9115,11806,12836,11245,1,1209973672311.056,119770495.0,1034040246115.0,90347880.0,11245.0,1.0,9912.0,-53785340.172827385,3.4231354642313545,9171.0
10627,9877,9122,9088,11857,12765,11068,1,1192530381585.0415,117619636.0,1026336276352.0,89762176.0,11068.0,1.0,9877.0,-52236499.79741285,3.44797507788162,9122.0
10634,9768,8849,8620,10831,11659,10295,1,961064862575.9681,109477030.0,974766460720.0,84200160.0,10295.0,1.0,9768.0,-55156962.71499604,5.499465811965812,8849.0
10585,9785,9022,8949,11575,12366,10726,1,1110935678615.0134,113534710.0,1002665871525.0,87565965.0,10726.0,1.0,9785.0,-51949542.40999778,3.8764004336826887,9022.0
10610,9732,8858,8609,12516,12499,9888,1,1065329491104.9319,104911680.0,969133208900.0,83782788.0,9888.0,1.0,9732.0,-44762120.93023256,3.104552590266876,8858.0
10692,9914,9048,8828,10798,11671,10746,1,1024244792047.0051,114896232.0,1009206931392.0,87520792.0,10746.0,1.0,9914.0,-58278517.66312998,5.309288537549407,9048.0
10706,9917,8954,8634,10226,11020,10621,1,937628008317.9922,113708426.0,989615576424.0,85623378.0,10621.0,1.0,9917.0,-61333402.087111905,7.04777704047777,8954.0
10626,9746,8819,8589,10442,11502,10191,1,913885170801.9591,108289566.0,969800102964.0,83708394.0,10191.0,1.0,9746.0,-56459810.95883887,7.18688293370945,8819.0
10590,9733,8785,8511,10121,11292,10328,1,889542790720.9752,109373520.0,954492479100.0,82837563.0,10328.0,1.0,9733.0,-58728463.79464997,7.661721068249258,8785.0
10672,9827,8872,8687,11022,12621,10782,1,1032241088863.0104,115065504.0,989376190208.0,85367149.0,10782.0,1.0,9827.0,-56874144.61339044,4.409815950920246,8872.0
10559,9703,8782,8549,12068,12699,10299,1,1062432192828.9755,108747141.0,953149220069.0,82950947.0,10299.0,1.0,9703.0,-48241456.53723525,3.1601718318502607,8782.0
10537,9661,8743,8534,10964,11957,10308,1,964377701304.9783,108615396.0,947516101046.0,82446974.0,10308.0,1.0,9661.0,-53447457.495138966,4.683325761017719,8743.0
10614,9834,9074,9024,11678,12402,10796,1,1137592408973.017,114588744.0,1016616731904.0,88742016.0,10796.0,1.0,9834.0,-51887458.22085079,3.8067700987306066,9074.0
10576,9833,9106,9081,11725,12204,10621,1,1130755715909.0044,112327696.0,1015725977856.0,89293473.0,10621.0,1.0,9833.0,-50222409.16291456,3.949795462997397,9106.0
10679,9832,8888,8651,10727,11796,10659,1,989033655423.9983,113827461.0,986569045691.0,85056632.0,10659.0,1.0,9832.0,-58171690.977103956,5.184338521400778,8888.0
10630,9907,9186,9206,12007,12844,11120,1,1229047018321.0461,118205600.0,1040249461400.0,91203842.0,11120.0,1.0,9907.0,-51290210.72937078,3.3789121847462775,9186.0
10614,9861,9115,9057,11748,12748,11189,1,1190409133970.0542,118760046.0,1020334412772.0,89311077.0,11189.0,1.0,9861.0,-53442883.04476139,3.4259032455603182,9115.0
10667,9833,8896,8726,11274,12220,10275,1,1010713280400.9634,109603425.0,992886941414.0,85802758.0,10275.0,1.0,9833.0,-52779812.87657374,4.765769944341373,8896.0
10649,9810,8841,8631,10673,11662,10206,1,940054380678.9584,108683694.0,978765765831.0,84670110.0,10206.0,1.0,9810.0,-55502858.28741092,6.382739212007505,8841.0
10641,9778,8854,8652,10952,11625,10087,1,955703527394.948,107335767.0,979673582412.0,84599256.0,10087.0,1.0,9778.0,-53349461.723063014,5.777205040091638,8854.0
10644,9806,8883,8675,10644,11595,10314,1,952250931270.969,109782216.0,982831834800.0,85067050.0,10314.0,1.0,9806.0,-56166097.44072948,6.292861500915192,8883.0
10628,9792,8842,8620,10433,11571,10455,1,940132743105.9838,111115740.0,973666790080.0,84407040.0,10455.0,1.0,9792.0,-57936099.90047501,6.375,8842.0
10647,9816,8871,8617,10442,11658,10609,1,954471212194.9965,112954023.0,976811133753.0,84584472.0,10609.0,1.0,9816.0,-59139774.22849735,5.93676552881925,8871.0
10653,9926,9247,9326,12347,13080,11136,1,1282170843649.0454,118631808.0,1058374250334.0,92569876.0,11136.0,1.0,9926.0,-49285239.6115497,3.1780821917808217,9247.0
10640,9791,8867,8668,10868,11997,10554,1,994114853382.9921,112294560.0,981300812800.0,84868388.0,10554.0,1.0,9791.0,-56220672.37554979,4.992431409649953,8867.0
10707,9834,8917,8716,11190,12292,10442,1,1018317748744.9753,111802494.0,999200923884.0,85713144.0,10442.0,1.0,9834.0,-54685987.08579119,4.727025803531009,8917.0
10672,9875,8937,8642,10373,11174,10620,1,951900261660.9952,113336640.0,984251068928.0,85339750.0,10620.0,1.0,9875.0,-60063537.683786504,6.3251935675997615,8937.0
10633,9837,8978,8813,10903,11646,10591,1,1017556855455.9961,112614103.0,996403852157.0,86693481.0,10591.0,1.0,9837.0,-55927777.97521719,5.17138671875,8978.0
10573,9810,9059,9033,11696,12566,10940,1,1155694970361.035,115668620.0,1009783975857.0,88613730.0,10940.0,1.0,9810.0,-51864179.066122085,3.6105610561056105,9059.0
10591,9816,9036,8953,11532,12422,11007,1,1136312091829.0393,116575137.0,1004251572793.0,87882648.0,11007.0,1.0,9816.0,-53680737.01792829,3.675125208681135,9036.0
10691,9825,8884,8696,10751,11986,10649,1,995468562596.9962,113848459.0,993930894776.0,85438200.0,10649.0,1.0,9825.0,-57805480.99819901,5.290114257327372,8884.0
10594,9861,9092,9004,11531,12561,11246,1,1167498193135.0615,119140124.0,1010544455344.0,88788444.0,11246.0,1.0,9861.0,-54917629.40211175,3.5375904372444165,9092.0
10671,9826,8933,8773,11402,12534,10623,1,1062502623102.9955,113358033.0,998983624293.0,86203498.0,10623.0,1.0,9826.0,-53870415.051046684,4.1158465710964744,8933.0
10612,9826,9023,8884,11301,12019,10898,1,1094022658959.027,115649576.0,1000467608896.0,87294184.0,10898.0,1.0,9826.0,-55008160.465255454,4.03181650018498,9023.0
10533,9744,8935,8758,11097,11779,10483,1,1018706407136.9954,110417439.0,971648331462.0,85337952.0,10483.0,1.0,9744.0,-53394262.37616116,4.579729139362167,8935.0
10571,9796,8981,8798,11051,11913,10779,1,1047892622155.0198,113944809.0,983141668718.0,86185208.0,10779.0,1.0,9796.0,-55588267.961140186,4.379926859000406,8981.0
10668,9803,8894,8751,11794,12421,10301,1,1063049036125.9657,109891068.0,995918266224.0,85786053.0,10301.0,1.0,9803.0,-50112443.55194513,3.849402092675635,8894.0
10656,9868,9053,8946,11534,12691,11336,1,1169563539353.064,120796416.0,1015821305856.0,88279128.0,11336.0,1.0,9868.0,-56183050.44603999,3.4687882496940023,9053.0
10672,9890,9073,8969,11545,12479,11054,1,1144491719329.036,117968288.0,1021493616896.0,88703410.0,11054.0,1.0,9890.0,-54879437.31367794,3.7369844489519948,9073.0
10679,9931,9228,9224,12132,12982,11094,1,1241361887473.039,118472826.0,1051914562184.0,91603544.0,11094.0,1.0,9931.0,-51194698.43953186,3.338549503460728,9228.0
10682,9798,8891,8734,11604,12230,10319,1,1045713560307.9661,110227558.0,996594153016.0,85575732.0,10319.0,1.0,9798.0,-51403618.58699809,4.116074990027922,8891.0
10636,9772,8863,8690,11287,12088,10309,1,1011038608437.9694,109646524.0,983051870240.0,84918680.0,10309.0,1.0,9772.0,-52592986.67606904,4.541409691629956,8863.0
10639,9787,8843,8633,10753,11911,10500,1,974610094500.9869,111709500.0,977154775193.0,84491171.0,10500.0,1.0,9787.0,-56586379.02861019,5.30035335689046,8843.0
10652,9800,8870,8640,10467,11786,10572,1,955964927844.9927,112612944.0,980338498560.0,84672000.0,10572.0,1.0,9800.0,-58708485.22660655,6.0515168860904405,8870.0
10656,9847,8939,8734,10785,12062,10717,1,1009386357162.0057,114200352.0,991748634624.0,86003698.0,10717.0,1.0,9847.0,-57723555.55990603,5.074337121212121,8939.0
10669,9839,8912,8714,10755,11878,10681,1,1000899420401.0011,113955589.0,991893366554.0,85737046.0,10681.0,1.0,9839.0,-57783923.55935817,5.202630297126157,8912.0
10647,9811,8915,8756,12180,12416,10187,1,1086315519784.9568,108460989.0,992567980404.0,85905116.0,10187.0,1.0,9811.0,-47518441.318003364,3.436909581646424,8915.0
10696,9836,8897,8738,10936,12222,10531,1,1006216735701.9847,112639576.0,999665787008.0,85946968.0,10531.0,1.0,9836.0,-56074622.958412945,5.180029513034924,8897.0
10636,9778,8846,8617,11981,12523,10166,1,1049432520240.9559,108125576.0,974793782032.0,84257026.0,10166.0,1.0,9778.0,-48792515.13328058,3.5127850725639256,8846.0
10625,9760,8839,8611,11444,12597,10569,1,1041402231402.9949,112295625.0,972101171875.0,84043360.0,10569.0,1.0,9760.0,-53369198.00724064,3.8059056535830034,8839.0
10640,9778,8812,8583,10493,11864,10512,1,946613778336.988,111847680.0,971677996800.0,83924574.0,10512.0,1.0,9778.0,-58119190.43940082,5.898989898989899,8812.0
10711,9841,8909,8689,10565,11835,10524,1,965982942252.9827,112722564.0,996850051969.0,85508449.0,10524.0,1.0,9841.0,-58491831.483892694,6.230905861456483,8909.0
10673,9825,8883,8718,10763,12120,10502,1,985309822320.984,112087846.0,993092915022.0,85654350.0,10502.0,1.0,9825.0,-56610614.25396826,5.6040554962646745,8883.0
10662,9813,8894,8749,10984,12110,10614,1,1019881778742.9956,113166468.0,994570956756.0,85853937.0,10614.0,1.0,9813.0,-55814109.23813807,4.8532235939643344,8894.0
10624,9769,8849,8733,11278,12429,10449,1,1029019076901.9835,111010176.0,985688260608.0,85312677.0,10449.0,1.0,9769.0,-52850213.07040344,4.408860759493671,8849.0
10721,9824,8854,8676,11250,12315,10381,1,1013126199918.9684,111294701.0,997218060516.0,85233024.0,10381.0,1.0,9824.0,-54065125.0033883,4.646821844225604,8854.0
10630,9751,8783,8512,11317,11733,10050,1,968012713650.9456,106831500.0,961829612800.0,83000512.0,10050.0,1.0,9751.0,-51708188.289878175,4.51685393258427,8783.0
10613,9749,8826,8635,11670,12479,10320,1,1039841507520.9725,109526160.0,972609865315.0,84182615.0,10320.0,1.0,9749.0,-50601776.77770225,3.763676148796499,8826.0
10618,9741,8788,8575,10745,11851,10417,1,959694834252.9812,110607706.0,966761998300.0,83529075.0,10417.0,1.0,9741.0,-55988421.65959263,5.290502793296089,8788.0
10671,9814,8851,8599,10328,11467,10300,1,914637940000.9652,109911300.0,979170202359.0,84390586.0,10300.0,1.0,9814.0,-58226168.817082815,7.584683357879234,8851.0
10619,9781,8868,8707,11005,12374,10492,1,1005237628180.988,111414548.0,981828842827.0,85163167.0,10492.0,1.0,9781.0,-54719964.14050519,4.832795946568401,8868.0
10573,9718,8775,8632,11161,12346,10319,1,994041425782.9761,109102787.0,964956855928.0,83885776.0,10319.0,1.0,9718.0,-52445713.6474074,4.5358241758241755,8775.0
10717,9837,8902,8773,11558,12299,10317,1,1046016034272.9626,110567289.0,1007614922797.0,86300001.0,10317.0,1.0,9837.0,-51799018.06391822,4.325786163522013,8902.0
10674,9786,8853,8637,10503,11836,10481,1,950665857016.982,111874194.0,984050341812.0,84521682.0,10481.0,1.0,9786.0,-58165659.13741104,6.264793783622236,8853.0
10737,9872,8883,8711,11112,11989,10225,1,989635766150.9524,109785825.0,1004231685159.0,85994992.0,10225.0,1.0,9872.0,-54065504.1877744,5.412916887241927,8883.0
10761,9874,8880,8627,10835,11981,10230,1,956124270090.9508,110085030.0,998999016867.0,85182998.0,10230.0,1.0,9874.0,-56232774.92398649,6.100178890876565,8880.0
10706,9830,8831,8559,10422,11284,10146,1,904933823886.9478,108623076.0,981019193724.0,84134970.0,10146.0,1.0,9830.0,-57370575.95696976,7.7866462010744435,8831.0
10629,9753,8797,8563,11070,11748,10107,1,957959450460.9509,107427303.0,967410413883.0,83514939.0,10107.0,1.0,9753.0,-52963013.44515176,5.091687657430731,8797.0
10619,9739,8826,8637,10686,12006,10480,1,967140113760.9869,111287120.0,973935421557.0,84115743.0,10480.0,1.0,9739.0,-56481069.44935419,5.486910994764398,8826.0
10643,9791,8812,8551,10297,11944,10763,1,947563789290.0114,114550609.0,968601262399.0,83722841.0,10763.0,1.0,9791.0,-60767810.669711754,5.767952840300107,8812.0
10603,9758,8852,8694,11195,12382,10649,1,1036347113175.0045,112911347.0,977410856646.0,84836052.0,10649.0,1.0,9758.0,-54356864.11104834,4.18099725166863,8852.0
10651,9751,8811,8667,10953,12102,10598,1,1005951551402.9951,112879298.0,983217423267.0,84511917.0,10598.0,1.0,9751.0,-55777311.88866189,4.746081504702194,8811.0
10602,9686,8752,8528,10743,11760,10365,1,949493090865.9777,109889730.0,958567701312.0,82602208.0,10365.0,1.0,9686.0,-55628737.08866544,5.240141557128412,8752.0
10717,9864,8921,8722,11475,12366,10305,1,1031264960760.9615,110438685.0,1001757364258.0,86033808.0,10305.0,1.0,9864.0,-52622337.52998543,4.401964972234088,8921.0
10747,9867,8883,8625,10437,11658,10306,1,927626333362.9591,110758582.0,996170327625.0,85102875.0,10306.0,1.0,9867.0,-58528468.37588653,7.517140773158278,8883.0
10767,9891,8915,8712,10937,12003,10497,1,1000074130872.975,113021199.0,1009967253768.0,86170392.0,10497.0,1.0,9891.0,-56914955.361301176,5.369309462915601,8915.0
10677,9815,8855,8639,10517,12152,10983,1,997758158356.0288,117265491.0,984831564231.0,84791785.0,10983.0,1.0,9815.0,-60909198.29762846,5.028846153846154,8855.0
10599,9773,8833,8689,11114,12769,10842,1,1046892092533.023,114914358.0,976111841889.0,84917597.0,10842.0,1.0,9773.0,-55636731.34405072,4.063718140929535,8833.0
10580,9704,8727,8532,10374,11555,10247,1,906863465589.9685,108413260.0,955041364800.0,82794528.0,10247.0,1.0,9704.0,-56439457.99278102,6.790589794565938,8727.0
10612,9746,8787,8616,10803,11980,10401,1,968000632035.9801,110375412.0,970286911104.0,83971536.0,10401.0,1.0,9746.0,-55277323.6295664,5.263663967611336,8787.0
10653,9782,8808,8583,10758,11992,10338,1,954458537880.9705,110130714.0,974053848447.0,83958906.0,10338.0,1.0,9782.0,-55932780.69277929,5.558064516129032,8808.0
10546,9721,8778,8656,11122,12602,10561,1,1016617543086.0015,111376306.0,962704012096.0,84144976.0,10561.0,1.0,9721.0,-53452272.115971744,4.256751309955663,8778.0
10253,9364,8356,7946,9328,9634,8934,1,662099043756.8715,91600302.0,835315375514.0,74406344.0,8934.0,1.0,9364.0,-51967705.18334131,141.8095238095238,8356.0
10268,9442,8585,8444,10912,12257,10490,1,966450612911.0216,107711320.0,890266321856.0,79728248.0,10490.0,1.0,9442.0,-51407391.751892835,3.899628252788104,8585.0
10211,9321,8307,7955,9437,10189,9363,1,702797294649.9171,95605593.0,829424264555.0,74148555.0,9363.0,1.0,9321.0,-53288964.46460816,14.768138801261829,8307.0
10203,9355,8391,8075,9856,10889,9563,1,760994812748.9374,97571289.0,840617262675.0,75541625.0,9563.0,1.0,9355.0,-52210016.2157073,8.381244522348817,8391.0
10255,9358,8413,8100,9793,10926,9840,1,780440352960.9595,100909200.0,851836702500.0,75799800.0,9840.0,1.0,9358.0,-54510362.496136926,7.699530516431925,8413.0
10288,9484,8653,8495,11111,13069,10940,1,1032491556641.0634,112550720.0,899135809280.0,80566580.0,10940.0,1.0,9484.0,-52872374.57413614,3.347613219094247,8653.0
10191,9335,8373,8031,9871,10651,9576,1,759030234984.9398,97589016.0,834071398911.0,74969385.0,9576.0,1.0,9335.0,-52247549.782873526,7.817142857142857,8373.0
10227,9348,8428,8085,10426,10759,9348,1,787886663736.9141,95601996.0,845622511965.0,75578580.0,9348.0,1.0,9348.0,-48844767.41860465,6.393980848153215,8428.0
