B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10096,9193,8204,7765,8995,8838,8182,1,607711721185.8335,1767.1690427698575,1891.9999119891309,0.0001222195062331948,1.0,1.1322785186667844e+32,7499329818109.912,-1.5759562151647316e+16,57685860.20253755
10030,9196,8252,7877,9804,9524,8718,1,688457004853.5427,1265.162536749265,1777.9998970422403,0.00011470520761642578,1.0,1.9479128513449286e+32,7468292176098.891,-1.7800042805764636e+16,66507817.19872574
10098,9214,8202,7761,8870,8664,8374,1,578065726637.9482,1700.5198522622345,1895.9999111891393,0.00011941724385001193,1.0,1.1706394079453644e+32,7813506752282.346,-1.5424442646416152e+16,60535205.84196868
10138,9240,8198,7745,8640,8635,8334,1,581956687225.9104,1769.5286624203823,1939.9999145416004,0.00011999040076793856,1.0,1.079113057819626e+32,7969914841068.852,-1.4925472536531426e+16,59795738.66938353
10099,9175,8132,7654,8398,8433,8122,1,556208580216.6365,1901.7459978655284,1966.9999177596892,0.00012312238364934743,1.0,8.844625817670049e+31,7696876120834.903,-1.413057898523466e+16,56398827.23801512
10069,9139,8114,7702,8906,9015,8493,1,629349709694.5807,1551.0007764836384,1954.9999080533034,0.0001177440244907571,1.0,1.3274473029286956e+32,7134730367579.949,-1.5346817203125448e+16,62135168.48137796
10177,9265,8204,7753,8537,8550,8374,1,572219559437.0809,1801.7347368421053,1972.9999158657101,0.00011941724385001193,1.0,1.0590979082143629e+32,8058620703977.894,-1.4750862113760188e+16,60320685.45731577
10146,9222,8168,7680,8405,8197,8023,1,524446505533.9713,2040.3798950835671,1977.9999198009791,0.0001246416552411816,1.0,8.139892283583383e+31,7895406274176.026,-1.4320039929065e+16,55001120.27829913
10073,9184,8100,7643,8477,8160,7964,1,513581419642.57935,2023.1926470588235,1972.9999178569642,0.00012556504269211453,1.0,8.00657455944878e+31,7914661444129.949,-1.4244206312995986e+16,54555230.456025586
10072,9160,8058,7548,8318,7959,7629,1,492519407052.81506,2210.0263852242742,2013.9999223703135,0.00013107877834578582,1.0,6.271113173187009e+31,7700767869156.859,-1.3809272926315334e+16,49571490.69838814
10169,9255,8185,7749,8481,8505,8323,1,566635774223.6832,1836.4498530276308,1983.99991660274,0.00012014898474107895,1.0,1.0106409651174683e+32,8066327386153.41,-1.4564133757950812e+16,59678038.113408804
10135,9227,8155,7678,8395,8162,7953,1,519944935643.31177,2072.1247243322714,1979.9999202959825,0.0001257387149503332,1.0,7.7870079860215095e+31,8035792121256.223,-1.4255142612292446e+16,54205525.78474696
10130,9208,8145,7671,8627,8325,8049,1,537721358345.9042,1988.011171171171,1984.9999169209068,0.00012423903590508137,1.0,8.97760500992164e+31,7636640836219.249,-1.4834952600453402e+16,55452842.37993226
10180,9295,8274,7853,8642,8570,8294,1,575553739680.7015,1829.6620770128354,1905.999916407518,0.00012056908608632747,1.0,1.0415325975389695e+32,8418212560906.594,-1.5126662244412418e+16,59604406.55844764
10145,9259,8211,7807,8686,8565,8255,1,571988501456.0085,1831.3029772329246,1933.99991515295,0.00012113870381586917,1.0,1.0372923030656876e+32,8183127475693.081,-1.5086890061819962e+16,59123842.260884106
10250,9365,8267,7863,8496,9203,9241,1,663403017367.0824,1119.9538194067152,1982.9999096063748,0.00010821339681852613,1.0,1.7138972585123566e+32,8726975503108.893,-1.4977363574650484e+16,74200906.15671454
10224,9309,8261,7890,8600,9400,9391,1,688270939833.524,932.3396808510638,1962.9999064732183,0.00010648493238206793,1.0,1.9285062519314527e+32,8237879614277.293,-1.517150582244659e+16,76683113.63455112
10225,9308,8222,7789,8304,8830,8902,1,612080284837.1902,1435.6722536806342,2002.9999140054697,0.00011233430689732644,1.0,1.326610217938918e+32,8405405499454.162,-1.43640926539099e+16,68330339.6968495
10253,9373,8298,7901,8590,9203,9112,1,665705083909.5027,1230.6384874497446,1954.9999102712682,0.00010974539069359087,1.0,1.6556769114833158e+32,8764182096793.966,-1.5270259360535424e+16,72261741.81496142
10263,9352,8276,7874,8449,8914,8913,1,626197089142.8552,1446.3203948844514,1986.9999136106762,0.00011219566924716706,1.0,1.4018515802878917e+32,8575762000551.788,-1.490544447932052e+16,68864256.9754205
