B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
10810,10000,9078,8745,10584,11537,10869,1,1254047309999.1912,8745.0,98668782.0,2.6411038135229435e-08,4273.038596219823
10704,9967,9190,9084,11496,12188,10775,1,1309014848629.1514,9084.0,99022250.0,1.4918026146583714e-08,6279.551723476292
10666,9941,9229,9255,12120,12769,10829,1,1374688500929.132,9255.0,99940841.0,1.0222459522155013e-08,7301.420765880885
10681,9907,9165,9073,11811,12981,11200,1,1440441788054.1504,9073.0,102648000.0,9.889738460286694e-09,6029.9481952887545
10678,9923,9166,9079,11905,13547,11744,1,1578800244681.1497,9079.0,107645504.0,8.21489970421303e-09,5432.225547627146
10666,9936,9218,9161,11838,13317,11576,1,1531801424159.141,9161.0,106707568.0,8.990212878151912e-09,5799.330550912753
10832,9977,9045,8729,10457,11424,10889,1,1241188495436.194,8729.0,98491005.0,2.8881656274306375e-08,4047.884094542438
10730,9928,9022,8726,10548,11576,10933,1,1256581301039.1868,8726.0,98637526.0,2.4650013719546875e-08,4190.8961848049585
10621,9892,9133,9058,11768,12403,10737,1,1317417984447.1472,9058.0,98061021.0,1.2332310129072648e-08,6633.097189249125
10605,9931,9270,9272,12060,12614,10700,1,1340477144169.1257,9272.0,99189000.0,1.094360992126038e-08,7591.85992196716
10639,9849,9123,9068,11890,12720,10841,1,1358242526906.1477,9068.0,98902443.0,1.036286810728723e-08,6639.849212470923
10631,9875,9116,9060,11735,12946,11229,1,1435625031249.1477,9060.0,102363564.0,1.0002790928416877e-08,5913.95750041489
10675,9950,9228,9263,12095,13011,11243,1,1455604414949.1323,9263.0,103750404.0,9.599226976516326e-09,6694.1790519100105
10759,9917,8922,8534,10079,11140,10884,1,1202502515393.2068,8534.0,97107048.0,3.700574739788809e-08,3275.115047426836
10655,9791,8845,8618,10947,11823,10195,1,1180249535029.1912,8618.0,90174775.0,1.6842578397333294e-08,5371.878516580717
10599,9732,8759,8469,10100,11323,10330,1,1138404096467.201,8469.0,90480470.0,2.5903043351713194e-08,4043.697274096834
10651,9912,9171,9115,11806,12836,11245,1,1430797110791.1443,9115.0,103127895.0,1.0592088815777698e-08,6085.572837116484
10627,9877,9122,9088,11857,12765,11068,1,1395542486533.145,9088.0,100962296.0,1.050673234209305e-08,6318.383706527435
10634,9768,8849,8620,10831,11659,10295,1,1172533665071.1895,8620.0,91100455.0,1.8916209366098445e-08,5165.29737204935
10585,9785,9022,8949,11575,12366,10726,1,1297948331329.1545,8949.0,96769972.0,1.2219509062413014e-08,6228.639415375666
10610,9732,8858,8609,12516,12499,9888,1,1202865176039.1887,8609.0,87587904.0,9.095622118662382e-09,7471.106744374207
10692,9914,9048,8828,10798,11671,10746,1,1243469537195.1743,8828.0,97229808.0,2.1685948880582112e-08,4982.014990588072
10706,9917,8954,8634,10226,11020,10621,1,1160808392957.1934,8634.0,95100434.0,3.9677308432157914e-08,4066.1900610884695
10626,9746,8819,8589,10442,11502,10191,1,1142481681945.1917,8589.0,89874429.0,2.1637809864533935e-08,4863.241544266173
10590,9733,8785,8511,10121,11292,10328,1,1135184716212.1963,8511.0,90731480.0,2.6478919989175233e-08,4195.4658274724425
10672,9827,8872,8687,11022,12621,10782,1,1337341630537.186,8687.0,95657904.0,1.179485638529299e-08,4742.88440307034
10559,9703,8782,8549,12068,12699,10299,1,1269111482448.1904,8549.0,90445818.0,9.000571407369827e-09,6265.407083033959
10537,9661,8743,8534,10964,11957,10308,1,1190829341838.1902,8534.0,90122844.0,1.4673505631446673e-08,5159.101141781546
10614,9834,9074,9024,11678,12402,10796,1,1316783083043.1497,9024.0,97962904.0,1.2196090118426908e-08,6378.243583469102
10576,9833,9106,9081,11725,12204,10621,1,1274630059069.1416,9081.0,96714826.0,1.3205971432012603e-08,6877.868412315605
10679,9832,8888,8651,10727,11796,10659,1,1236299788063.19,8651.0,94737192.0,1.8929525542397825e-08,4556.053051899624
10630,9907,9186,9206,12007,12844,11120,1,1415061054661.134,9206.0,102148320.0,1.0141142127042164e-08,6690.696534920982
10614,9861,9115,9057,11748,12748,11189,1,1406637008306.1465,9057.0,101987735.0,1.079744266806173e-08,6003.161499282243
10667,9833,8896,8726,11274,12220,10275,1,1234723870867.1821,8726.0,91406400.0,1.327536830193838e-08,5816.789087000474
10649,9810,8841,8631,10673,11662,10206,1,1167696199529.1897,8631.0,90231246.0,1.955046129812853e-08,5096.9016534915245
10641,9778,8854,8652,10952,11625,10087,1,1146668299161.1868,8652.0,89310298.0,1.871185990844971e-08,5650.499129518081
10644,9806,8883,8675,10644,11595,10314,1,1172794785677.185,8675.0,91619262.0,2.076226223673193e-08,5067.905934212828
10628,9792,8842,8620,10433,11571,10455,1,1184671871423.189,8620.0,92443110.0,2.181347322143325e-08,4520.192294298624
10647,9816,8871,8617,10442,11658,10609,1,1214127228887.1907,8617.0,94112439.0,2.1229173536904936e-08,4304.255663324162
10653,9926,9247,9326,12347,13080,11136,1,1445901828601.1245,9326.0,102974592.0,8.881142274547255e-09,7297.280985323061
10640,9791,8867,8668,10868,11997,10554,1,1239787382154.1853,8668.0,93582318.0,1.5956077266898545e-08,4926.442481634185
10707,9834,8917,8716,11190,12292,10442,1,1262311721153.186,8716.0,93111314.0,1.3192688087028446e-08,5455.810434841464
10672,9875,8937,8642,10373,11174,10620,1,1171933567874.1902,8642.0,94910940.0,3.232501499228889e-08,4277.935410301485
10633,9837,8978,8813,10903,11646,10591,1,1213411302467.1711,8813.0,95085998.0,2.0342632556636844e-08,5315.282588778213
10573,9810,9059,9033,11696,12566,10940,1,1348689581189.1458,9033.0,99105460.0,1.1273183032217184e-08,6262.023255146585
10591,9816,9036,8953,11532,12422,11007,1,1342220109839.1545,8953.0,99459252.0,1.2438771287026338e-08,5788.0974298499605
10691,9825,8884,8696,10751,11986,10649,1,1254139615349.1865,8696.0,94605716.0,1.6748258325588243e-08,4674.934822405441
10594,9861,9092,9004,11531,12561,11246,1,1393064436377.1501,9004.0,102248632.0,1.2157451594562604e-08,5595.648410376776
10671,9826,8933,8773,11402,12534,10623,1,1308406724989.178,8773.0,94895259.0,1.1542188263444593e-08,5591.228089856417
10612,9826,9023,8884,11301,12019,10898,1,1287128227209.1628,8884.0,98332654.0,1.5755349726213686e-08,5516.261831812244
10533,9744,8935,8758,11097,11779,10483,1,1203268942847.1685,8758.0,93665605.0,1.7118453299506453e-08,5681.72954468185
10571,9796,8981,8798,11051,11913,10779,1,1257994561567.1677,8798.0,96806199.0,1.685984166785864e-08,5273.410658928977
10668,9803,8894,8751,11794,12421,10301,1,1254368499844.1797,8751.0,91617094.0,1.1072226477826253e-08,6369.591851865553
10656,9868,9053,8946,11534,12691,11336,1,1419750891771.1604,8946.0,102624808.0,1.1528405338907521e-08,5249.063582433209
10672,9890,9073,8969,11545,12479,11054,1,1364344676709.1597,8969.0,100292942.0,1.2529429057441735e-08,5660.609472538959
10679,9931,9228,9224,12132,12982,11094,1,1430377184015.1362,9224.0,102375432.0,9.497401089196557e-09,6866.447479782069
10682,9798,8891,8734,11604,12230,10319,1,1236608137277.1824,8734.0,91746229.0,1.2491735873897082e-08,6106.353674383721
10636,9772,8863,8690,11287,12088,10309,1,1217826265459.183,8690.0,91368667.0,1.3854558451108109e-08,5750.873229594126
10639,9787,8843,8633,10753,11911,10500,1,1224102594940.1885,8633.0,92851500.0,1.6883075668638905e-08,4790.978841741922
10652,9800,8870,8640,10467,11786,10572,1,1221182527599.189,8640.0,93773640.0,1.9261851424318342e-08,4435.81204914302
10656,9847,8939,8734,10785,12062,10717,1,1272994488870.1804,8734.0,95799263.0,1.6323590005066994e-08,4776.83913934703
10669,9839,8912,8714,10755,11878,10681,1,1248350969369.1833,8714.0,95189072.0,1.8051122639780347e-08,4716.021225556229
10647,9811,8915,8756,12180,12416,10187,1,1241000326376.1777,8756.0,90817105.0,1.049974897431423e-08,6970.644764606845
10696,9836,8897,8738,10936,12222,10531,1,1266077910243.183,8738.0,93694307.0,1.4255471994171994e-08,5108.526404010863
10636,9778,8846,8617,11981,12523,10166,1,1244912118591.19,8617.0,89928436.0,1.004680976006859e-08,6453.721477286672
10625,9760,8839,8611,11444,12597,10569,1,1299510152319.1897,8611.0,93419391.0,1.0757757130237468e-08,5358.774230791125
10640,9778,8812,8583,10493,11864,10512,1,1219543254039.1934,8583.0,92631744.0,1.791970350105277e-08,4385.387787063577
10711,9841,8909,8689,10565,11835,10524,1,1225799378608.189,8689.0,93758316.0,1.878641659853315e-08,4650.725126142406
10673,9825,8883,8718,10763,12120,10502,1,1250654933474.183,8718.0,93289266.0,1.5292596897336226e-08,4953.901270002487
10662,9813,8894,8749,10984,12110,10614,1,1261406530841.1794,8749.0,94400916.0,1.4989219773367858e-08,5115.111146252006
10624,9769,8849,8733,11278,12429,10449,1,1268792542429.178,8733.0,92463201.0,1.1772765836213418e-08,5628.194664567145
10721,9824,8854,8676,11250,12315,10381,1,1256006937055.1907,8676.0,91913374.0,1.2720901160322391e-08,5431.514807627449
10630,9751,8783,8512,11317,11733,10050,1,1149890897182.1992,8512.0,88269150.0,1.62628402261723e-08,5702.727160678442
10613,9749,8826,8635,11670,12479,10320,1,1255594241393.1863,8635.0,91084320.0,1.0696372544386606e-08,5989.99204029849
10618,9741,8788,8575,10745,11851,10417,1,1202630240354.1924,8575.0,91544596.0,1.6906541265901724e-08,4774.581207917505
10671,9814,8851,8599,10328,11467,10300,1,1159219385113.1943,8599.0,91165300.0,2.3802762094299088e-08,4545.255453006794
10619,9781,8868,8707,11005,12374,10492,1,1269934484155.18,8707.0,93043056.0,1.2705420313095634e-08,5261.104085833122
10573,9718,8775,8632,11161,12346,10319,1,1238142673981.1836,8632.0,90549225.0,1.1989696291136465e-08,5491.8334656867555
10717,9837,8902,8773,11558,12299,10317,1,1248292527344.1814,8773.0,91841934.0,1.2324711764111067e-08,6088.643506004566
10674,9786,8853,8637,10503,11836,10481,1,1214070428633.1907,8637.0,92788293.0,1.8267127639380248e-08,4561.230049398579
10737,9872,8883,8711,11112,11989,10225,1,1210271739775.1887,8711.0,90828675.0,1.558965152637771e-08,5573.932456803977
10761,9874,8880,8627,10835,11981,10230,1,1210300711739.1982,8627.0,90842400.0,1.6348036350661674e-08,5089.21235238171
10706,9830,8831,8559,10422,11284,10146,1,1125498579849.2004,8559.0,89599326.0,2.6797005002088148e-08,4702.298048246474
10629,9753,8797,8563,11070,11748,10107,1,1158128109248.1943,8563.0,88911279.0,1.678356578060063e-08,5504.712535087932
10619,9739,8826,8637,10686,12006,10480,1,1225474984733.1868,8637.0,92496480.0,1.5742024468841862e-08,4807.292716306605
10643,9791,8812,8551,10297,11944,10763,1,1258751364443.1965,8551.0,94843556.0,1.8159604523849327e-08,3774.8082731103023
10603,9758,8852,8694,11195,12382,10649,1,1286736425659.1802,8694.0,94264948.0,1.238309303601068e-08,5220.587700117332
10651,9751,8811,8667,10953,12102,10598,1,1250719884056.1863,8667.0,93378978.0,1.458741490285617e-08,4904.1529205213665
10602,9686,8752,8528,10743,11760,10365,1,1180734558271.1956,8528.0,90714480.0,1.723834457558416e-08,4772.158105685008
10717,9864,8921,8722,11475,12366,10305,1,1257073595063.186,8722.0,91930905.0,1.2214083282680391e-08,5912.793611495505
10747,9867,8883,8625,10437,11658,10306,1,1185581531276.1975,8625.0,91548198.0,2.125171084664366e-08,4611.624703000707
10767,9891,8915,8712,10937,12003,10497,1,1246309579745.191,8712.0,93580755.0,1.647942022640541e-08,5001.624282065262
10677,9815,8855,8639,10517,12152,10983,1,1310049969864.1907,8639.0,97254465.0,1.620296449065896e-08,3874.114341279859
10599,9773,8833,8689,11114,12769,10842,1,1353075084862.1802,8689.0,95767386.0,1.0700239688630864e-08,4837.282153508917
10580,9704,8727,8532,10374,11555,10247,1,1149077927647.1936,8532.0,89425569.0,2.0530943601859458e-08,4558.254696584594
10612,9746,8787,8616,10803,11980,10401,1,1214476027181.188,8616.0,91393587.0,1.556991498065759e-08,4938.444864977231
10653,9782,8808,8583,10758,11992,10338,1,1212792941327.1943,8583.0,91057104.0,1.5785053165614435e-08,4866.581093112734
10546,9721,8778,8656,11122,12602,10561,1,1293850518499.1792,8656.0,92704458.0,1.0950870666431634e-08,5192.329503334131
10253,9364,8356,7946,9328,9634,8934,1,806039186367.225,7946.0,74652504.0,1.7670501362601573e-07,4501.738624172605
10268,9442,8585,8444,10912,12257,10490,1,1214094990629.1777,8444.0,90056650.0,1.1675061278132713e-08,4960.560043317175
10211,9321,8307,7955,9437,10189,9363,1,889297166393.221,7955.0,77778441.0,5.242595354420377e-08,3934.1541939880226
10203,9355,8391,8075,9856,10889,9563,1,974228745789.2086,8075.0,80243133.0,2.626280813926024e-08,4376.001693004677
10255,9358,8413,8100,9793,10926,9840,1,1006174527573.2101,8100.0,82783920.0,2.663478629935443e-08,3935.1014310146165
10288,9484,8653,8495,11111,13069,10940,1,1356055637291.1743,8495.0,94663820.0,8.600837089460215e-09,4700.623629302088
10191,9335,8373,8031,9871,10651,9576,1,952191927914.212,8031.0,80179848.0,3.142283783601906e-08,4286.214041463394
10227,9348,8428,8085,10426,10759,9348,1,940255118879.2095,8085.0,78784944.0,2.6100781616259082e-08,5315.766930290636
10202,9314,8370,8023,10180,10760,9338,1,935919618499.2136,8023.0,78159060.0,2.6258812919384943e-08,4936.839400320321
10237,9373,8421,8122,10083,11005,10038,1,1035497274902.2067,8122.0,84529998.0,2.4742985515312297e-08,3994.30903837239
10205,9303,8307,7905,9375,10212,9304,1,883978083764.2253,7905.0,77288328.0,5.022513940262518e-08,3889.196000772583
10271,9368,8408,8100,9776,10896,9918,1,1012446000447.2113,8100.0,83390544.0,2.7699414607835444e-08,3774.7332271150517
10176,9295,8310,7928,9392,9871,9055,1,830882048424.221,7928.0,75247050.0,8.013040966468239e-08,4392.410831919657
10199,9332,8352,8011,9614,10010,9062,1,846589446703.2145,8011.0,75685824.0,6.473116609264132e-08,4772.598332601883
10171,9303,8302,7942,9608,10551,9613,1,943650409694.2191,7942.0,79807126.0,3.488022347817611e-08,3747.203838965459
10196,9330,8361,8059,9989,11503,10211,1,1095953059019.2096,8059.0,85374171.0,1.8019407625383306e-08,3548.4622230065324
10232,9337,8365,8002,9552,9952,9039,1,839998471140.2179,8002.0,75611235.0,7.2555846462732e-08,4716.213952119673
10197,9298,8303,7939,9758,10873,9744,1,985167869869.2213,7939.0,80904432.0,2.6351017138599982e-08,3676.426216279473
10194,9304,8328,7961,9488,9976,9038,1,838954854463.2191,7961.0,75268464.0,6.668490677335806e-08,4582.401894530485
10188,9287,8301,7924,9579,10461,9474,1,920488573904.2222,7924.0,78643674.0,3.712939242865958e-08,3886.2535799764337
10228,9308,8256,7826,9040,9190,8600,1,735725318847.2349,7826.0,71001600.0,-4.2133335273739365e-07,4472.981627906967
10174,9284,8216,7797,9135,9594,8726,1,777307170639.2336,7797.0,71692816.0,1.541805733331168e-07,4289.348472237445
10147,9251,8151,7703,8619,9111,8698,1,733193823878.2408,7703.0,70897398.0,-3.8796176402720864e-07,3605.308255431326
10165,9273,8219,7805,9275,9673,8971,1,804754541645.2322,7805.0,73732649.0,1.1875169040669075e-07,4051.714227058357
10129,9215,8106,7666,8944,9135,8341,1,702211944314.2432,7666.0,67612146.0,-6.067074898926174e-07,4443.2544995096
10203,9331,8328,7971,10153,10597,9065,1,896430411022.2188,7971.0,75493320.0,2.9693934980843758e-08,5158.849501863206
10212,9330,8418,8070,11050,11287,9272,1,976491627059.2097,8070.0,78051696.0,1.6050922519696212e-08,6021.874241912694
10163,9282,8313,7907,10664,10459,8894,1,863510576837.2219,7907.0,73935822.0,2.9531249477037767e-08,5859.891430137883
10211,9306,8267,7889,9880,10125,8864,1,835271820701.2274,7889.0,73278688.0,4.928444998828575e-08,4980.318263722191
10204,9318,8246,7836,9269,9746,9047,1,821664109943.232,7836.0,74601562.0,1.1125327734956609e-07,3945.397123709012
10182,9281,8198,7782,9171,9552,8797,1,779948714901.2357,7782.0,72117806.0,1.7746297525595906e-07,4135.644205024761
10173,9292,8214,7800,9189,9595,8795,1,784209852787.2334,7800.0,72242130.0,1.57490956691764e-07,4218.0879626472815
10196,9287,8269,7830,9586,9973,8963,1,830223140915.2319,7830.0,74115047.0,6.368287591127523e-08,4447.703504741756
10138,9259,8305,7923,11108,11232,9040,1,940210571514.2185,7923.0,75077200.0,1.5342839157590965e-08,6109.987066379672
10125,9202,8296,7780,12016,11297,8811,1,916023791925.2317,7780.0,73096056.0,1.2407646297683472e-08,7079.432613436769
10127,9237,8223,7784,10128,9860,8570,1,780604303250.2314,7784.0,70471110.0,6.21823046552927e-08,5583.4049962176
10177,9311,8265,7909,9906,10327,8857,1,851719106743.2228,7909.0,73203105.0,3.854532508642287e-08,5085.448699614582
10230,9338,8285,7889,9506,9921,8888,1,823482109953.2289,7889.0,73637080.0,7.571734815755966e-08,4561.4735080478495
10163,9298,8233,7878,10077,10144,8688,1,819519257889.2249,7878.0,71528304.0,4.507090467912128e-08,5449.961680050459
10189,9282,8358,7973,10800,11309,9451,1,992150353193.2174,7973.0,78991458.0,1.6254674213146872e-08,5275.138670892746
10220,9331,8251,7859,9088,9554,8806,1,785117571524.2311,7859.0,72658306.0,2.1976682001112222e-07,4200.999946021311
10151,9265,8328,7923,10790,11531,9259,1,989259785104.2195,7923.0,77108952.0,1.3881757393873704e-08,5467.514500676905
10107,9194,8263,7783,11820,11382,8755,1,916252645561.23,7783.0,72342565.0,1.1944456128936152e-08,6978.074956410517
10126,9261,8405,7941,12148,11942,9158,1,1012905584900.2157,7941.0,76972990.0,9.307898400033478e-09,7093.791825522174
10273,9386,8353,7971,9682,9847,9061,1,837531739719.2241,7971.0,75686533.0,9.62860210812982e-08,4629.8716340065475
10255,9371,8348,7999,9735,9967,9240,1,863101223787.22,7999.0,77135520.0,7.405244516589621e-08,4472.093629082945
10258,9356,8317,7941,9422,9901,8966,1,830632070147.2258,7941.0,74570222.0,8.31850139745873e-08,4464.349107583454
10184,9287,8375,8004,11376,11812,9499,1,1042099498580.2142,8004.0,79554125.0,1.1451071731510033e-08,5843.320181323088
10143,9253,8320,7935,11080,11677,9416,1,1017450182855.2178,7935.0,78341120.0,1.2441120220770934e-08,5535.572054114109
10154,9279,8316,7925,10542,10968,9257,1,942181234667.2195,7925.0,76981212.0,2.0545575228622095e-08,5204.662882470602
10247,9364,8338,7952,9714,10060,8962,1,844314967111.2239,7952.0,74725156.0,6.10672638295788e-08,4810.235413198738
10216,9320,8303,7911,9883,10282,9301,1,891375844199.2257,7911.0,77226203.0,4.335042259116374e-08,4355.828661082818
10311,9415,8339,7956,9204,9641,9407,1,853952042789.2284,7956.0,78444973.0,2.2630190457550312e-07,3501.363651345764
10256,9388,8367,8027,9627,10032,9125,1,859474845395.2173,8027.0,76348875.0,6.839280142927719e-08,4625.124567532919
10259,9367,8358,8032,9898,10358,9082,1,881244681037.217,8032.0,75907356.0,4.0708013482703705e-08,4970.537204483837
10200,9316,8323,7980,10313,10775,9125,1,916044124567.2177,7980.0,75947375.0,2.4771845285693518e-08,5243.351634101906
10194,9269,8279,7901,10071,10499,9088,1,884477557378.225,7901.0,75239552.0,3.127219819665332e-08,4889.078772026707
10210,9297,8219,7850,9168,9694,9026,1,813545727110.2312,7850.0,74184694.0,1.2196362885932098e-07,3882.8059952501753
10209,9312,8258,7870,9467,10464,9288,1,905106751679.2291,7870.0,76700304.0,3.7629010484977564e-08,3841.814718544014
10277,9389,8344,7976,9493,9955,9171,1,857268738460.2239,7976.0,76522824.0,8.061698417074253e-08,4257.797696632315
10492,9434,8457,8168,10109,10630,9411,1,943847048957.2214,8168.0,79588827.0,3.301409702372635e-08,4778.453260204475
10286,9417,8366,8015,9665,9987,9051,1,851303420150.2207,8015.0,75720666.0,7.664258390358129e-08,4698.904176014508
10418,9427,8372,8026,9474,9816,9099,1,842058818611.2297,8026.0,76176828.0,1.189596652391802e-07,4326.405914066152
10434,9454,8474,8185,9746,10301,9458,1,921153628727.2156,8185.0,80147092.0,5.157189180937953e-08,4452.585229617569
10206,9307,8313,7995,10241,10830,9453,1,952890708020.2167,7995.0,78582789.0,2.4644951624273583e-08,4678.789550253812
10312,9401,8423,8108,10141,10478,9192,1,905524992798.2136,8108.0,77424216.0,3.619995855759328e-08,5197.976317112461
10204,9342,8355,8057,10088,10692,9349,1,933899776145.2104,8057.0,78110895.0,2.8684497136946e-08,4850.447071768929
10197,9299,8292,7972,9916,10872,9574,1,967996329179.2181,7972.0,79387608.0,2.522482492885746e-08,4124.703467070074
10276,9393,8343,7978,9234,9880,9092,1,843841787078.2236,7978.0,75854556.0,9.778911318303564e-08,4138.6003666938595
10184,9323,8313,7995,9565,10203,9214,1,876536852864.215,7995.0,76595982.0,4.97137697890615e-08,4406.563701187351
10335,9439,8445,8120,9323,10203,9399,1,905260906037.2142,8120.0,79374555.0,6.14649291883109e-08,4074.964598818853
