B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10
10096,9193,8204,7765,8995,8838,8182,1,7667.330616961366,7765.0,229639627396704.0,82613652.97778243,0.05082886396879571,-0.8568846862136715,16767.05267938238,8995.0,15947.0,63696295.0
10030,9196,8252,7877,9804,9524,8718,1,7750.231636375515,7877.0,499265203856352.0,87450257.06185345,0.10191468734852158,-0.5550507858877045,17715.853982300883,9804.0,16595.0,64993127.0
10098,9214,8202,7761,8870,8664,8374,1,7634.623580988103,7761.0,345328928406648.0,84569024.96100177,0.07473786881248476,-0.8200650489571644,16637.32003257329,8870.0,16135.0,63647961.0
10138,9240,8198,7745,8640,8635,8334,1,7617.328820301372,7745.0,329901749662104.0,84498424.93032697,0.07184679190046353,-0.8533314899893601,16390.170226969294,8640.0,16079.0,63485765.0
10099,9175,8132,7654,8398,8433,8122,1,7539.935387768788,7654.0,251364289048704.0,82032198.90723439,0.057550418101328084,-0.9406793352967556,16056.499706055261,8398.0,15776.0,62234674.0
10069,9139,8114,7702,8906,9015,8493,1,7554.99994444364,7702.0,442290503159148.0,85524508.97363567,0.09748582696573824,-0.6928372171767353,16614.622527944968,8906.0,16195.0,62486326.0
10177,9265,8204,7753,8537,8550,8374,1,7619.1068624643585,7753.0,350006298826464.0,85230570.91448683,0.075694783032667,-0.8754740086839577,16294.727439024391,8537.0,16127.0,63597859.0
10146,9222,8168,7680,8405,8197,8023,1,7589.1266286404,7680.0,183595642947136.0,81409379.90254351,0.04199314397649363,-1.0484339816619717,16089.41125789776,8405.0,15703.0,62722560.0
10073,9184,8100,7643,8477,8160,7964,1,7557.890977556805,7643.0,167728290840000.0,80229334.91635123,0.03962962962962963,-1.028303863193725,16124.788847117794,8477.0,15607.0,61900657.0
10072,9160,8058,7548,8318,7959,7629,1,7522.0335631312055,7548.0,40124271452436.0,76846915.89851409,0.010052122114668651,-1.136756589451791,15870.30330672748,8318.0,15177.0,60814236.0
10169,9255,8185,7749,8481,8505,8323,1,7621.515154806411,7749.0,320058344503450.0,84644908.90849607,0.07012828344532682,-0.908692568517697,16234.590639810427,8481.0,16072.0,63417816.0
10135,9227,8155,7678,8395,8162,7953,1,7602.460536785247,7678.0,145449290476875.0,80611606.90063936,0.03372164316370325,-1.0749471164317201,16077.41264367816,8395.0,15631.0,62606412.0
10130,9208,8145,7671,8627,8325,8049,1,7573.15337604757,7671.0,201844028065050.0,81544417.9324182,0.04640883977900553,-0.9747985025954112,16303.10379241517,8627.0,15720.0,62472624.0
10180,9295,8274,7853,8642,8570,8294,1,7752.586928237992,7853.0,250399613167704.0,84441212.92420453,0.0532994923857868,-0.9622287241090391,16500.10598179454,8642.0,16147.0,64967869.0
10145,9259,8211,7807,8686,8565,8255,1,7704.295173867296,7807.0,249337267583040.0,83755228.93380222,0.05456095481670929,-0.9379130256717425,16498.350925291295,8686.0,16062.0,64095470.0
10250,9365,8267,7863,8496,9203,9241,1,7712.176172129918,7863.0,870290139768322.0,94729489.89748913,0.16668682714406677,-0.48726516348999455,16363.482896237172,8496.0,17104.0,64995558.0
10224,9309,8261,7890,8600,9400,9391,1,7756.478681800334,7890.0,961961691006811.0,96022973.91734183,0.18169713109793004,-0.4111481532384858,16494.858374384236,8600.0,17281.0,65171400.0
10225,9308,8222,7789,8304,8830,8902,1,7623.271670936776,7789.0,669788519376984.0,91031850.8788496,0.1353685234736074,-0.6612533012753253,16097.054659031754,8304.0,16691.0,64033369.0
10253,9373,8298,7901,8590,9203,9112,1,7749.036562438507,7901.0,759809492836128.0,93434446.90862386,0.14593878042901903,-0.5539522634182504,16495.751052315092,8590.0,17013.0,65554597.0
10263,9352,8276,7874,8449,8914,8913,1,7716.337784072801,7874.0,634279124510832.0,91483030.89288604,0.12554374093765103,-0.6849949226456256,16327.340683572216,8449.0,16787.0,65157350.0
10217,9313,8251,7852,8562,9290,9256,1,7705.866020882832,7852.0,884715483491424.0,94577806.9120666,0.17016119258271725,-0.46297551666817194,16418.744410876134,8562.0,17108.0,64779000.0
10276,9385,8277,7918,8624,9159,9091,1,7764.7878195022295,7918.0,730559479312647.0,93428205.91153471,0.1417180137731062,-0.581135079773723,16546.792978208232,8624.0,17009.0,65529368.0
10244,9333,8232,7826,8525,9222,9196,1,7669.509307278962,7826.0,853749088980480.0,94213018.90499628,0.1664237123420797,-0.492123086263077,16355.552646887725,8525.0,17022.0,64415806.0
10262,9367,8308,7913,8583,9064,9025,1,7760.284278443059,7913.0,692699658531200.0,92623573.90842904,0.13384689455946075,-0.6222473820378397,16500.712924359737,8583.0,16938.0,65733291.0
10233,9354,8290,7903,8637,9169,9029,1,7752.548680128363,7903.0,698694146161400.0,92402784.91676357,0.13582629674306393,-0.5889969935908062,16544.951754385966,8637.0,16932.0,65507967.0
10261,9369,8305,7940,8639,9302,9224,1,7795.313280862381,7940.0,816890022458400.0,94656686.9152802,0.15460565924142083,-0.5153901081772723,16583.895191122072,8639.0,17164.0,65933760.0
10286,9391,8344,7936,8682,9525,9538,1,7809.969742318147,7936.0,1063820660910336.0,98117404.91812381,0.1919942473633749,-0.35789811588942033,16622.947630922692,8682.0,17474.0,66210048.0
10306,9410,8347,7970,8700,9369,9310,1,7826.300723985104,7970.0,869191171238600.0,95958168.91817424,0.16053671977956152,-0.48899017849529,16674.962640099628,8700.0,17280.0,66517620.0
10272,9415,8361,8017,8831,9805,9820,1,7933.590846860468,8017.0,1237723570212660.0,100880858.93366763,0.21564406171510586,-0.22028170448442463,16853.563497571133,8831.0,17837.0,67022120.0
10252,9363,8310,7933,8730,9312,9178,1,7786.989022103632,7933.0,789077122821000.0,94102032.92727707,0.14981949458483754,-0.5232914513449419,16668.212220762154,8730.0,17111.0,65915297.0
10296,9418,8391,8043,8850,9502,9385,1,7912.398429376364,8043.0,886776621264270.0,96637343.9356112,0.1599332618281492,-0.46041728039793106,16898.5622406639,8850.0,17428.0,67480770.0
10350,9485,8446,8127,8980,9640,9593,1,8010.964520075864,8127.0,1003207034909608.0,99297141.94356167,0.17357328913094955,-0.3878195446276748,17112.93211678832,8980.0,17720.0,68632515.0
10276,9373,8318,7930,8676,9430,9336,1,7788.07769521155,7930.0,908205224299584.0,95946070.91944885,0.1690310170714114,-0.4520896673558595,16610.95625,8676.0,17266.0,65953810.0
10314,9404,8354,7990,8795,9686,9572,1,7866.981578932912,7990.0,1056812912413664.0,98735178.93055093,0.1893703615034714,-0.3542910220536216,16790.26003949967,8795.0,17562.0,66740470.0
10301,9403,8342,7969,8694,9482,9403,1,7831.688443152892,7969.0,938330770857528.0,96869704.91823547,0.1719012227283625,-0.43662916424757675,16667.958929682638,8694.0,17372.0,66469429.0
10289,9416,8354,7977,8731,9480,9421,1,7843.595454510694,7977.0,949408550875984.0,96942088.9213311,0.17285132870481207,-0.42169029484496007,16713.12002567394,8731.0,17398.0,66631881.0
10294,9427,8354,7980,8787,9671,9550,1,7857.304132503152,7980.0,1046386109446000.0,98317248.92695887,0.18793392386880536,-0.34839328897844507,16772.295288652953,8787.0,17530.0,66656940.0
10274,9389,8349,7921,8676,9415,9422,1,7784.891714365585,7921.0,985808853590022.0,96811048.91760367,0.17978200982153553,-0.4076436248786847,16601.956821026284,8676.0,17343.0,66124508.0
10323,9452,8428,8123,9087,9895,9692,1,8020.486157882855,8123.0,1080153315229632.0,100060206.95964123,0.18616516373991457,-0.31244784400984643,17216.572006472492,9087.0,17815.0,68452521.0
10253,9417,8368,8015,8845,9736,9558,1,7902.429954941178,8015.0,1032705037011456.0,98007730.93512811,0.18439292543021032,-0.33340140703362703,16865.692471590908,8845.0,17573.0,67061505.0
