B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9
10096,9193,8204,7765,8995,8838,8182,1,1.5405475354026006e-11,-3.3567650497540032e-15,4.3713893802915865e+19,3.1358567739597435e+18,-4.557379038426544e-13,10207056.0,155779.95133636816,-0.0025516498002842447,8204.0
10030,9196,8252,7877,9804,9524,8718,1,7.048148586591662e-11,-1.5343520394337608e-14,6.101290971233578e+19,6.843188122898431e+18,-4.719575781178627e-13,4794340.0,-3426560.9928830112,0.05356997612016355,8252.0
10098,9214,8202,7761,8870,8664,8374,1,1.3609845140981991e-11,-2.9594354029395374e-15,4.253939887296846e+19,4.546374590964788e+18,-4.4351669882281074e-13,8482320.0,-1340508.7690086188,0.020675715810116038,8202.0
10138,9240,8198,7745,8640,8635,8334,1,1.0990405353749266e-11,-2.3847547719251293e-15,4.074579108917835e+19,4.2867636029926554e+18,-4.3270068580035504e-13,9185028.0,-1084587.3318282275,0.01645948879645192,8198.0
10099,9175,8132,7654,8398,8433,8122,1,9.96102367485914e-12,-2.1797203644197863e-15,3.603009197429293e+19,3.258835685079421e+18,-4.386204749529067e-13,10634247.0,69181.18085450892,-0.00108316323248366,8132.0
10069,9139,8114,7702,8906,9015,8493,1,1.3861026152551833e-11,-3.0379882927821513e-15,4.702382689058411e+19,5.79368464079757e+18,-4.57203488405335e-13,6504574.0,-2940984.4248966807,0.04475810504200119,8114.0
10177,9265,8204,7753,8537,8550,8374,1,9.97532665563074e-12,-2.160152572028997e-15,3.966527320216754e+19,4.5034790769765156e+18,-4.2452228485250934e-13,9067707.0,-1377476.2469928449,0.020443289342596354,8204.0
10146,9222,8168,7680,8405,8197,8023,1,1.0101075962556096e-11,-2.2002912343206924e-15,3.3278137704258417e+19,2.423404264246033e+18,-4.3480794234453756e-13,12165054.0,1120982.8181780535,-0.01792258025576823,8168.0
10073,9184,8100,7643,8477,8160,7964,1,1.1405411591123368e-11,-2.491046639522377e-15,3.2794624954419294e+19,2.235832575109807e+18,-4.505387109230367e-13,12289060.0,1025765.6122456196,-0.016927640111301868,8100.0
10072,9160,8058,7548,8318,7959,7629,1,1.0971145891753354e-11,-2.4052718051618405e-15,2.8021564505163407e+19,5.5062239620472096e+17,-4.602691408881532e-13,15420232.0,3161198.8088266603,-0.05607407681254237,8058.0
10169,9255,8185,7749,8481,8505,8323,1,9.769558038830434e-12,-2.1186307941729844e-15,3.864088986072393e+19,4.1192658199903744e+18,-4.255810386799929e-13,9477508.0,-1117981.6384658373,0.01672462250785597,8185.0
10135,9227,8155,7678,8395,8162,7953,1,1.0265877308088169e-11,-2.2349030890655327e-15,3.2451153107440652e+19,1.9333660778601544e+18,-4.37401122388786e-13,12911990.0,1551061.370290293,-0.025247420315616904,8155.0
10130,9208,8145,7671,8627,8325,8049,1,1.185962143946678e-11,-2.582015020562875e-15,3.551168426457262e+19,2.724910991126758e+18,-4.490561683256078e-13,11740670.0,720520.4571895881,-0.011781063427678571,8145.0
10180,9295,8274,7853,8642,8570,8294,1,1.0700429248197901e-11,-2.3091535275861525e-15,4.027108579175627e+19,3.2670345599238513e+18,-4.205088092227055e-13,10190180.0,-168150.08160551696,0.0025534082545150606,8274.0
10145,9259,8211,7807,8686,8565,8255,1,1.1534765412849533e-11,-2.4974617687124372e-15,4.000971725184995e+19,3.287667313706224e+18,-4.331239241520496e-13,10185580.0,-352428.4793173443,0.005471589515240106,8211.0
10250,9365,8267,7863,8496,9203,9241,1,7.771496805245163e-12,-1.6666006448726035e-15,5.226916462367938e+19,1.0165623898170083e+19,-3.885443270601798e-13,1271000.0,-8767917.051409053,0.1055304025640257,8267.0
10224,9309,8261,7890,8600,9400,9391,1,8.15855613760998e-12,-1.7579298235212282e-15,5.630112738387515e+19,1.1143653350883285e+19,-3.9221313425264214e-13,-838368.0,-10203015.523036541,0.12045456684158255,8261.0
10225,9308,8222,7789,8304,8830,8902,1,7.487402812294944e-12,-1.6268257082175026e-15,4.46891689802224e+19,7.942591956553698e+18,-3.957143791082973e-13,4151350.0,-6003707.336097171,0.07652564977496344,8222.0
10253,9373,8298,7901,8590,9203,9112,1,8.355758329907346e-12,-1.788954385440167e-15,5.231219791870726e+19,9.071748778802768e+18,-3.915672274776933e-13,2676033.0,-7174677.712116187,0.089463739816292,8298.0
10263,9352,8276,7874,8449,8914,8913,1,7.959548723882435e-12,-1.7116475238721381e-15,4.688791207843405e+19,7.650125276410297e+18,-3.9319601014438404e-13,4505457.0,-5571259.683037218,0.0716049253858961,8276.0
10217,9313,8251,7852,8562,9290,9256,1,8.203705232923001e-12,-1.7673266290828763e-15,5.370722909729596e+19,1.035072893506431e+19,-3.951963255706195e-13,582369.0,-8973946.79584294,0.10870714087714871,8251.0
10276,9385,8277,7918,8624,9159,9091,1,8.562829935395932e-12,-1.830124974720752e-15,5.198377977992664e+19,8.839068670426511e+18,-3.9465969168951625e-13,3021144.0,-7111857.8205803735,0.08967017472682415,8277.0
10244,9333,8232,7826,8525,9222,9196,1,8.026420578171925e-12,-1.7257362627341903e-15,5.216206887381522e+19,1.0086359495231166e+19,-3.964432945019612e-13,1403428.0,-8569889.63040775,0.10495885626671811,8232.0
10262,9367,8308,7913,8583,9064,9025,1,8.44929864266193e-12,-1.8105661202528276e-15,5.022512871607639e+19,8.348029862106458e+18,-3.9223173684339164e-13,3509604.0,-6273285.606083458,0.07957846196646537,8308.0
10233,9354,8290,7903,8637,9169,9029,1,8.870515382817242e-12,-1.9021566817761526e-15,5.171267505401604e+19,8.439988287379567e+18,-3.971116863352923e-13,3325725.0,-6413853.375961301,0.08197860077352545,8290.0
10261,9369,8305,7940,8639,9302,9224,1,8.406130454599764e-12,-1.799815481236919e-15,5.473245756080383e+19,9.69672728971452e+18,-3.89857706072849e-13,1487845.0,-8158674.555279534,0.0997601640516238,8305.0
10286,9391,8344,7936,8682,9525,9538,1,8.012486643944496e-12,-1.7113556073907497e-15,5.960123982019245e+19,1.227508349875e+19,-3.8055411041835867e-13,-1512042.0,-10954557.096807415,0.12530769029750363,8344.0
10306,9410,8347,7970,8700,9369,9310,1,8.363533238673978e-12,-1.7826301066573423e-15,5.666154489474141e+19,1.0332675368558442e+19,-3.844099773214845e-13,1030600.0,-8611305.53034112,0.10356440361988711,8347.0
10272,9415,8361,8017,8831,9805,9820,1,8.553069473409307e-12,-1.8208349392773572e-15,6.662588968064736e+19,1.4042601550039052e+19,-3.767093616206239e-13,-4160160.0,-13574044.604109555,0.14869278769636962,8361.0
10252,9363,8310,7933,8730,9312,9178,1,9.076418871675769e-12,-1.9435519564288253e-15,5.509427470075823e+19,9.490334137334446e+18,-3.9495154902080115e-13,1896620.0,-7592581.558971673,0.09470193303025294,8310.0
10296,9418,8391,8043,8850,9502,9385,1,9.158707033988298e-12,-1.9493532863488285e-15,6.0322241080995004e+19,1.0561525032266224e+19,-3.833064720610293e-13,339768.0,-8854159.840650627,0.10603765475018732,8391.0
10350,9485,8446,8127,8980,9640,9593,1,9.40493643887453e-12,-1.9870877267045357e-15,6.504646985834892e+19,1.190754146754639e+19,-3.7491038382209114e-13,-1117800.0,-10358034.677814126,0.11968649653364077,8446.0
10276,9373,8318,7930,8676,9430,9336,1,8.320038067826318e-12,-1.7802528343733013e-15,5.71248495262049e+19,1.071146524970098e+19,-3.8791056573191767e-13,380212.0,-9121384.766284248,0.10916713975813273,8318.0
10314,9404,8354,7990,8795,9686,9572,1,8.395079011373064e-12,-1.7895269386260803e-15,6.306137227914306e+19,1.2361384665398016e+19,-3.8206752408356723e-13,-1732752.0,-11083439.654223854,0.12736864936983383,8354.0
10301,9403,8342,7969,8694,9482,9403,1,8.175336387714914e-12,-1.7437741371722312e-15,5.857789084091124e+19,1.103251200617653e+19,-3.8289467132909994e-13,0.0,-9582195.343313012,0.1129623354375861,8342.0
10289,9416,8354,7977,8731,9480,9421,1,8.442647996404091e-12,-1.798024884219172e-15,5.897383230600417e+19,1.1146774909235798e+19,-3.8232578903623696e-13,-51445.0,-9627628.122330517,0.11338270296386885,8354.0
10294,9427,8354,7980,8787,9671,9550,1,8.507308688119209e-12,-1.8090881460979117e-15,6.260656255271827e+19,1.2208980832094208e+19,-3.814900046767791e-13,-1266162.0,-10868299.484468842,0.1253582726028516,8354.0
10274,9389,8349,7921,8676,9415,9422,1,8.218479563614292e-12,-1.75591752879884e-15,5.740078789728728e+19,1.147334989012601e+19,-3.827536184102587e-13,-339042.0,-9738335.925291194,0.11400808599670441,8349.0
10323,9452,8428,8123,9087,9895,9692,1,1.0183372322815513e-11,-2.1583469115137336e-15,6.993334027923493e+19,1.2801469538325062e+19,-3.8031446940501075e-13,-2477520.0,-11371116.044878459,0.13053405060750622,8428.0
