B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7
10096,9193,8204,7765,8995,8838,8182,1,-692828497451.4828,2.1656001119890855,8204.000107969548,8203.999999988995,10096.0,-9152.890734455348,-9180.749798060035
10030,9196,8252,7877,9804,9524,8718,1,-752300086994.0549,2.1664717637178423,8252.000097151418,8251.999999989033,10030.0,-8894.272914740679,-8877.70155333151
10098,9214,8202,7761,8870,8664,8374,1,-678983269849.7306,2.1417970967597504,8202.000111312804,8201.999999989112,10098.0,-9440.627817089062,-9474.17025117547
10138,9240,8198,7745,8640,8635,8334,1,-677992471569.4651,2.13076443969614,8198.00011605661,8197.99999998894,10138.0,-9928.272620194351,-9950.710511865891
10099,9175,8132,7654,8398,8433,8122,1,-651841296672.7507,2.1271063309350455,8132.0001194389415,8131.999999988771,10099.0,-9946.127937482612,-9962.867347997773
10069,9139,8114,7702,8906,9015,8493,1,-699075486541.1323,2.1084180521357023,8114.000110502803,8113.999999988495,10069.0,-9790.41488789989,-9856.824348112306
10177,9265,8204,7753,8537,8550,8374,1,-674601708377.3281,2.120369145088472,8204.000118386104,8203.999999988973,10177.0,-10146.968610423635,-10167.428785237906
10146,9222,8168,7680,8405,8197,8023,1,-638719845171.8353,2.139636257635578,8168.000118056171,8167.999999989216,10146.0,-9566.764793303562,-9581.856192843556
10073,9184,8100,7643,8477,8160,7964,1,-628219740595.3513,2.1455933936466334,8100.000115553415,8099.99999998923,10073.0,-9282.033485839267,-9298.05634576182
10072,9160,8058,7548,8318,7959,7629,1,-605073346898.9052,2.1505805468022015,8058.00011542621,8057.999999989317,10072.0,-9000.406413670324,-9012.9481725642
10169,9255,8185,7749,8481,8505,8323,1,-670178877798.4008,2.1251010179209024,8185.000119462644,8184.999999988914,10169.0,-10166.33036836685,-10185.060638358824
10135,9227,8155,7678,8395,8162,7953,1,-635138299444.6659,2.1489482631559307,8155.000117902095,8154.999999989247,10135.0,-9488.121016695572,-9502.523845468331
10130,9208,8145,7671,8627,8325,8049,1,-646906811466.8383,2.135382596880426,8145.000112456876,8144.99999998928,10130.0,-9257.28286421307,-9275.113912138455
10180,9295,8274,7853,8642,8570,8294,1,-685104788713.5581,2.1689323920128083,8274.00011764352,8273.999999989104,10180.0,-9835.88114745736,-9854.519557924039
10145,9259,8211,7807,8686,8565,8255,1,-678351591337.0289,2.1608042392092437,8211.000115428513,8210.999999989062,10145.0,-9682.022452037949,-9701.8693763033
10250,9365,8267,7863,8496,9203,9241,1,-741667397100.9171,2.0581126470821607,8267.00012704682,8266.999999988251,10250.0,-12024.286522901766,-12094.768814293759
10224,9309,8261,7890,8600,9400,9391,1,-758187111263.7487,2.0592971551492747,8261.000126125544,8260.999999987953,10224.0,-13834.357938641115,-12062.568808475084
10225,9308,8222,7789,8304,8830,8902,1,-703217040312.8466,2.0678292006446677,8222.000128702244,8221.999999988371,10225.0,-11693.333563126453,-11720.655040225673
10253,9373,8298,7901,8590,9203,9112,1,-745471571576.5354,2.0846393003455352,8298.000124664566,8297.999999988388,10253.0,-11660.526494802463,-11714.284814385359
10263,9352,8276,7874,8449,8914,8913,1,-720318687495.5195,2.090781299746823,8276.000126178094,8275.999999988522,10263.0,-11480.948655864955,-11509.211144543442
10217,9313,8251,7852,8562,9290,9256,1,-745210759229.9786,2.059626150319809,8251.000125579645,8250.999999988093,10217.0,-11783.763540154494,-11927.89329302582
10276,9385,8277,7918,8624,9159,9091,1,-745175883667.8326,2.0853759481289362,8277.000123262602,8276.999999988464,10276.0,-11565.325738911037,-11615.050609461006
10244,9333,8232,7826,8525,9222,9196,1,-739264187416.7798,2.048610882811351,8232.000125054476,8231.999999988193,10244.0,-11872.450092036026,-11953.219862923936
10262,9367,8308,7913,8583,9064,9025,1,-735986329984.4607,2.095691342052149,8308.000124273332,8307.999999988535,10262.0,-11430.913735724473,-11471.096940627856
10233,9354,8290,7903,8637,9169,9029,1,-741458242214.7672,2.097452052419679,8290.00012314657,8289.999999988433,10233.0,-11394.148366849091,-11444.661162205874
10261,9369,8305,7940,8639,9302,9224,1,-757790145434.2484,2.08591092527923,8305.000124745939,8304.999999988271,10261.0,-11718.389361818925,-11799.412918054746
10286,9391,8344,7936,8682,9525,9538,1,-777425090676.3486,2.0532172913076185,8344.0001252995,8343.999999988167,10286.0,-12370.2516954458,-12249.071442029315
10306,9410,8347,7970,8700,9369,9310,1,-769489301235.3027,2.080497838867865,8347.000123762647,8346.999999988386,10306.0,-11739.173144499098,-11865.069159160306
10272,9415,8361,8017,8831,9805,9820,1,-807249093577.7764,2.0608484114855017,8361.000124977878,8360.99999998799,10272.0,-12498.933787083028,-12468.035764528657
10252,9363,8310,7933,8730,9312,9178,1,-757269625041.2883,2.090381604921865,8310.000122020105,8309.999999988384,10252.0,-11412.84602231417,-11529.786283812602
10296,9418,8391,8043,8850,9502,9385,1,-786776997324.2831,2.1039286512711644,8391.000122200907,8390.999999988397,10296.0,-12314.193836433253,-11696.842493948468
10350,9485,8446,8127,8980,9640,9593,1,-810752199279.5408,2.1045584542054327,8446.000121102737,8445.999999988517,10350.0,-11915.92295069366,-11846.033894757671
