B1,B2,B3,B4,B5,B6,B7,Class,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5,Hyperfeature_6,Hyperfeature_7,Hyperfeature_8,Hyperfeature_9,Hyperfeature_10,Hyperfeature_11,Hyperfeature_12
10096,9193,8204,7765,8995,8838,8182,1,89364.00543810231,2.2530814790881686e+17,72312516.70937131,9193.0,72294216.78734092,-1892.0,5536378673065044.0,-7387909843844775.0,18300.0,-5.781727438086651e+23,2.2530825213652765e+17,-8776.0
10030,9196,8252,7877,9804,9524,8718,1,85201.30679248247,2.3128284303870854e+17,83030232.63956523,9196.0,83011950.67625345,-1778.0,6852955668173472.0,-8086890616366152.0,18282.0,-6.119762124000339e+23,2.3128255765731648e+17,-8355.0
10098,9214,8202,7761,8870,8664,8374,1,93355.30446650294,2.4940893903088157e+17,72552336.66740608,9214.0,72534036.80907233,-1896.0,5731729610236952.0,-7492061679080436.0,18300.0,-5.945373904771368e+23,2.494091391634757e+17,-8601.0
10138,9240,8198,7745,8640,8635,8334,1,99130.89943504235,2.6136523132583562e+17,71964090.69942063,9240.0,71945754.85054858,-1940.0,5545518371981280.0,-7247314803557386.0,18336.0,-5.9947275960037473e+23,2.613656001120993e+17,-8651.0
10099,9175,8132,7654,8398,8433,8122,1,99454.16404557016,2.5080844183338534e+17,68492826.72270425,9175.0,68474595.8825349,-1967.0,5083463248912800.0,-6845016347540301.0,18231.0,-5.67007453057201e+23,2.5080892338747555e+17,-8707.0
10069,9139,8114,7702,8906,9015,8493,1,99721.54166076741,2.5868386619605424e+17,76564395.68308462,9139.0,76546212.78789692,-1955.0,5871515368172844.0,-7065196619026898.0,18183.0,-5.834789867920103e+23,2.5868399861925286e+17,-8348.0
10177,9265,8204,7753,8537,8550,8374,1,102015.39230256475,2.738223236782807e+17,71597700.69425125,9265.0,71579319.87273423,-1973.0,5547105868244620.0,-7267024974483761.0,18381.0,-6.107291855035597e+23,2.7382279472622205e+17,-8644.0
10146,9222,8168,7680,8405,8197,8023,1,94856.4976937031,2.4215691291996755e+17,65764531.702288724,9222.0,65746217.88797333,-1978.0,4989867593001198.0,-7093664077907062.0,18314.0,-5.7365690307311194e+23,2.421574214854465e+17,-8879.0
10073,9184,8100,7643,8477,8160,7964,1,92541.37345922692,2.2921879062156077e+17,64986240.68695019,9184.0,64968067.86151532,-1973.0,4938427299964928.0,-7013913052223488.0,18173.0,-5.520227854339565e+23,2.2921920931742886e+17,-8863.0
10072,9160,8058,7548,8318,7959,7629,1,89831.84362561988,2.0737424685200755e+17,60719211.71731923,9160.0,60701081.8790649,-2014.0,4435113754771200.0,-6636834107169921.0,18130.0,-5.2321100196984937e+23,2.073747273565695e+17,-9079.0
10169,9255,8185,7749,8481,8505,8323,1,102199.25535364186,2.7079915453993738e+17,70787115.70277183,9255.0,70768761.88179487,-1984.0,5437930234267020.0,-7212319044712363.0,18354.0,-6.033474542462157e+23,2.7079965499340422e+17,-8681.0
10135,9227,8155,7678,8395,8162,7953,1,94006.02692722276,2.3546556686208058e+17,64912386.70955223,9227.0,64894096.88844264,-1980.0,4900001683438290.0,-7068137507080951.0,18290.0,-5.6713068888635336e+23,2.3546607577054086e+17,-8952.0
10130,9208,8145,7671,8627,8325,8049,1,92449.46006901553,2.334146490777921e+17,67007925.68117634,9208.0,66989650.83950196,-1985.0,5147067955618656.0,-7139610473458483.0,18275.0,-5.7035092334330656e+23,2.3341498908972954e+17,-8830.0
10180,9295,8274,7853,8642,8570,8294,1,95910.02159587482,2.571034564031803e+17,71079580.71784177,9295.0,71061126.87000263,-1906.0,5526394046090060.0,-7645415153308328.0,18454.0,-6.143748074914361e+23,2.5710385831565238e+17,-8854.0
10145,9259,8211,7807,8686,8565,8255,1,95428.55239687645,2.4955558696111338e+17,70704075.70533326,9259.0,70685719.84964697,-1934.0,5481100867054345.0,-7494041547709795.0,18356.0,-5.980048363112716e+23,2.495559288142228e+17,-8811.0
10250,9365,8267,7863,8496,9203,9241,1,128583.20852143534,3.923163402652622e+17,85044923.68466502,9365.0,85026406.90053578,-1983.0,6795258043032895.0,-7370598705015870.0,18517.0,-7.038658595445282e+23,3.9231702022296256e+17,-7987.0
10224,9309,8261,7890,8600,9400,9391,1,128080.91104750047,3.981495145378445e+17,88275400.6815222,9309.0,88256915.88126369,-1963.0,7061054819955159.0,-7456482969060416.0,18485.0,-7.02670357163376e+23,3.981500587135011e+17,-7808.0
10225,9308,8222,7789,8304,8830,8902,1,122564.46263969473,3.582815049701111e+17,78604660.69525288,9308.0,78586213.9287085,-2003.0,6125861826600880.0,-7147586365891314.0,18447.0,-6.629247082346457e+23,3.5828228252944e+17,-8195.0
