A2,A6,A7,A9,class,contam,num,std
1.1945, 1.0682, 1.7472222222222222, 1.3229411764705883, 0, 92.6, 11, 8.2
1.1984, 1.0838, 1.7713333333333334, 1.3192941176470587, 0, 92.6, 11, 8.2
1.1977, 1.0868, 1.7666666666666666, 1.3192941176470587, 0, 92.6, 11, 8.2
1.1982, 1.0876, 1.7586666666666666, 1.3171764705882352, 0, 92.6, 11, 8.2
1.2063, 1.0938, 1.7585555555555554, 1.3185882352941176, 0, 92.6, 11, 8.2
1.2058, 1.0977, 1.7523333333333333, 1.3103529411764705, 0, 92.6, 11, 8.2
1.2047, 1.0952, 1.7467777777777778, 1.3205882352941178, 0, 92.6, 11, 8.2
1.1612, 1.0524, 1.6434, 1.3371, 1, 185.9, 20, 4.7
1.1609, 1.0556, 1.6394, 1.3347, 1, 185.9, 20, 4.7
1.16, 1.0564, 1.6328, 1.3326, 1, 185.9, 20, 4.7
1.1569, 1.0198, 1.6232, 1.3326, 1, 185.9, 20, 4.7
1.1566, 1.021, 1.6185, 1.3296, 1, 185.9, 20, 4.7
1.1568, 1.0192, 1.6132, 1.3279, 1, 185.9, 20, 4.7
1.1564, 1.0098, 1.6042, 1.325, 1, 185.9, 20, 4.7
1.1552, 1.009, 1.5983, 1.3219, 1, 185.9, 20, 4.7
1.1558, 1.0104, 1.5924, 1.3186, 1, 185.9, 20, 4.7
1.1583, 1.0365, 1.5299, 1.2782, 0, 54.8, 19, 4.9
1.1575, 1.0363, 1.5263, 1.2755, 0, 54.8, 19, 4.9
1.1578, 1.035, 1.5215, 1.2735, 0, 54.8, 19, 4.9
1.162, 1.0442, 1.5272, 1.2807, 0, 54.8, 19, 4.9
1.1627, 1.0448, 1.5226, 1.278, 0, 54.8, 19, 4.9
1.1614, 1.0453, 1.517, 1.279, 0, 54.8, 19, 4.9
1.1685, 1.0594, 1.516, 1.2729, 0, 54.8, 19, 4.9
1.1694, 1.0614, 1.5117, 1.2706, 0, 54.8, 19, 4.9
1.1681, 1.0596, 1.5066, 1.2679, 0, 54.8, 19, 4.9
1.14268899134514, 1.04797451155663, 1.48915101090723, 1.27414552676882, 1, 332.9, 14, 2.1
1.14090133462752, 1.04556853530839, 1.48198466702635, 1.26309056702629, 1, 332.9, 14, 2.1
1.14193629377983, 1.04737301749457, 1.4747420854446, 1.27414552676882, 1, 332.9, 14, 2.1
1.15237997249858, 1.06619118886477, 1.67189277986974, 1.29085079926863, 1, 332.9, 14, 2.1
1.15256814688991, 1.06378521261652, 1.66266801806562, 1.27697068314746, 1, 332.9, 14, 2.1
1.15162727493327, 1.06292593538501, 1.65435810867183, 1.28802564288998, 1, 332.9, 14, 2.1
1.15567302434684, 1.04969306601967, 1.53283521350027, 1.28937680463629, 1, 332.9, 14, 2.1
